strategy,pair,func,dim,n,improve_pct,wilcoxon_p,significant_005,significant_001,cohens_d,effect_size
best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,50,20,0.6898,0.189348,0,0,0.1683,small
best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,500,5,-0.0034,0.8125,0,0,-0.0031,small
best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,5000,2,4.6026,NaN,0,0,1.9944,large
best1bin,SMCO_vs_SMCO_EVO,Zakharov,100,15,0.2448,0.010254,1,0,0.6299,medium
best1bin,SMCO_vs_SMCO_EVO,Zakharov,200,10,0.1831,0.048828,1,0,0.7257,medium
best1bin,SMCO_vs_SMCO_EVO,Zakharov,50,20,0.5102,6.3e-05,1,1,0.9974,large
best1bin,SMCO_vs_SMCO_EVO,Zakharov,500,5,0.1775,0.1875,0,0,0.3516,small
best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,100,15,0.6341,6.1e-05,1,1,7.5265,large
best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,1000,5,0.9958,0.0625,0,0,17.6413,large
best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,200,10,0.9425,0.001953,1,1,8.7717,large
best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,2000,3,1.1774,0.25,0,0,81.2103,large
best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,3000,2,2.7465,NaN,0,0,199.3677,large
best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,4000,2,1.9461,NaN,0,0,165.6941,large
best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,50,20,0.5687,2e-06,1,1,4.5427,large
best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,500,5,0.981,0.0625,0,0,17.4125,large
best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,5000,2,1.8672,NaN,0,0,59.3865,large
best1bin,SMCO_R_vs_SMCO_R_EVO,Griewank,100,15,0.0313,0.25238,0,0,0.1979,small
best1bin,SMCO_R_vs_SMCO_R_EVO,Griewank,200,10,-0.0492,0.130859,0,0,-0.3532,small
best1bin,SMCO_R_vs_SMCO_R_EVO,Griewank,50,20,-0.0252,0.521673,0,0,-0.1171,small
best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,100,15,0.0203,0.524475,0,0,0.0157,small
best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,1000,5,-0.0,1.0,0,0,-0.0001,small
best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,200,10,-0.0,0.845703,0,0,-0.0,small
best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,2000,3,0.0244,0.75,0,0,0.0646,small
best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,3000,2,0.0307,NaN,0,0,1.2262,large
best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,4000,2,0.005,NaN,0,0,0.0247,small
best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,50,20,0.0472,0.728506,0,0,0.0243,small
best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,500,5,-0.0,1.0,0,0,-0.0,small
best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,5000,2,0.0201,NaN,0,0,0.1368,small
best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,100,15,0.4337,0.599487,0,0,0.1435,small
best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,1000,5,2.0298,0.8125,0,0,0.8331,large
best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,200,10,1.4653,0.845703,0,0,0.5089,medium
best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,2000,3,2.4387,0.25,0,0,1.0502,large
best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,3000,2,3.7459,NaN,0,0,2.988,large
best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,4000,2,3.5902,NaN,0,0,8.3241,large
best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,50,20,1.1736,0.105398,0,0,0.2542,small
best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,500,5,0.1471,0.0625,0,0,0.1036,small
best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,5000,2,4.0557,NaN,0,0,12.4163,large
best1bin,SMCO_R_vs_SMCO_R_EVO,Zakharov,100,15,0.5419,0.005371,1,1,0.7979,medium
best1bin,SMCO_R_vs_SMCO_R_EVO,Zakharov,200,10,0.682,0.001953,1,1,1.2717,large
best1bin,SMCO_R_vs_SMCO_R_EVO,Zakharov,50,20,0.6252,4e-06,1,1,0.7308,medium
best1bin,SMCO_R_vs_SMCO_R_EVO,Zakharov,500,5,0.2303,0.625,0,0,0.2567,small
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,100,15,0.7562,6.1e-05,1,1,9.7739,large
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,1000,5,1.083,0.0625,0,0,21.2699,large
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,200,10,1.0428,0.001953,1,1,11.2959,large
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,2000,3,1.1557,0.25,0,0,59.113,large
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,3000,2,1.186,NaN,0,0,27.0962,large
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,4000,2,1.1669,NaN,0,0,112.2949,large
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,50,20,0.635,2e-06,1,1,7.8756,large
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,500,5,1.0408,0.0625,0,0,16.5643,large
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,5000,2,1.1788,NaN,0,0,56.6064,large
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Griewank,100,15,0.1155,0.168823,0,0,0.2866,small
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Griewank,200,10,0.1496,0.769531,0,0,0.2965,small
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Griewank,50,20,-0.0255,0.452375,0,0,-0.0633,small
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,100,15,0.0605,0.846924,0,0,0.0466,small
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,1000,5,-0.0026,0.625,0,0,-0.0053,small
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,200,10,0.0013,0.921875,0,0,0.0012,small
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,2000,3,-0.0004,1.0,0,0,-0.001,small
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,3000,2,0.005,NaN,0,0,0.1856,small
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,4000,2,0.0051,NaN,0,0,0.0279,small
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,50,20,-0.0285,0.784126,0,0,-0.0151,small
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,500,5,0.002,0.625,0,0,0.0045,small
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,5000,2,-0.0012,NaN,0,0,-0.0082,small
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,100,15,0.783,0.015076,1,0,0.2437,small
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,1000,5,6.8506,0.0625,0,0,4.2668,large
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,200,10,3.2845,0.013672,1,0,1.1718,large
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,2000,3,10.9469,0.25,0,0,11.0248,large
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,3000,2,11.1157,NaN,0,0,13.6921,large
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,4000,2,16.7062,NaN,0,0,34.3006,large
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,50,20,2.9537,0.002712,1,1,0.602,medium
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,500,5,4.4945,0.0625,0,0,1.4567,large
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,5000,2,16.0724,NaN,0,0,24.9929,large
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Zakharov,100,15,1.6089,0.000122,1,1,1.0485,large
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Zakharov,200,10,1.3429,0.005859,1,1,1.0862,large
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Zakharov,50,20,1.8426,4e-06,1,1,1.1122,large
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Zakharov,500,5,0.6266,0.4375,0,0,0.3764,small
sobol,SMCO_vs_SMCO_EVO,Ackley,100,15,1.9484,6.1e-05,1,1,11.1611,large
sobol,SMCO_vs_SMCO_EVO,Ackley,1000,5,2.5304,0.0625,0,0,44.1569,large
sobol,SMCO_vs_SMCO_EVO,Ackley,200,10,2.3648,0.001953,1,1,22.6467,large
sobol,SMCO_vs_SMCO_EVO,Ackley,2000,3,2.2192,0.25,0,0,63.3761,large
sobol,SMCO_vs_SMCO_EVO,Ackley,3000,2,1.6114,NaN,0,0,132.2222,large
sobol,SMCO_vs_SMCO_EVO,Ackley,4000,2,1.0491,NaN,0,0,17.5403,large
sobol,SMCO_vs_SMCO_EVO,Ackley,50,20,1.5738,2e-06,1,1,9.14,large
sobol,SMCO_vs_SMCO_EVO,Ackley,500,5,2.4948,0.0625,0,0,33.2052,large
sobol,SMCO_vs_SMCO_EVO,Ackley,5000,2,0.8415,NaN,0,0,62.804,large
sobol,SMCO_vs_SMCO_EVO,Griewank,100,15,0.0113,0.561401,0,0,0.1351,small
sobol,SMCO_vs_SMCO_EVO,Griewank,200,10,-0.0149,0.625,0,0,-0.1921,small
sobol,SMCO_vs_SMCO_EVO,Griewank,50,20,-0.0046,0.409098,0,0,-0.0338,small
sobol,SMCO_vs_SMCO_EVO,Rastrigin,100,15,-0.2137,0.389404,0,0,-0.1614,small
sobol,SMCO_vs_SMCO_EVO,Rastrigin,1000,5,0.0011,1.0,0,0,0.0022,small
sobol,SMCO_vs_SMCO_EVO,Rastrigin,200,10,-0.0012,0.695312,0,0,-0.0011,small
sobol,SMCO_vs_SMCO_EVO,Rastrigin,2000,3,0.0022,0.75,0,0,0.006,small
sobol,SMCO_vs_SMCO_EVO,Rastrigin,3000,2,0.007,NaN,0,0,0.3009,small
sobol,SMCO_vs_SMCO_EVO,Rastrigin,4000,2,-0.0043,NaN,0,0,-0.021,small
sobol,SMCO_vs_SMCO_EVO,Rastrigin,50,20,0.1088,0.898317,0,0,0.0604,small
sobol,SMCO_vs_SMCO_EVO,Rastrigin,500,5,0.0009,1.0,0,0,0.002,small
sobol,SMCO_vs_SMCO_EVO,Rastrigin,5000,2,-0.0173,NaN,0,0,-0.1174,small
sobol,SMCO_vs_SMCO_EVO,Rosenbrock,100,15,0.0224,0.890381,0,0,0.0073,small
sobol,SMCO_vs_SMCO_EVO,Rosenbrock,1000,5,0.0003,0.8125,0,0,0.0006,small
sobol,SMCO_vs_SMCO_EVO,Rosenbrock,200,10,0.0361,0.375,0,0,0.0208,small
sobol,SMCO_vs_SMCO_EVO,Rosenbrock,2000,3,-0.0148,0.75,0,0,-0.0217,small
sobol,SMCO_vs_SMCO_EVO,Rosenbrock,3000,2,-0.0365,NaN,0,0,-0.3837,small
sobol,SMCO_vs_SMCO_EVO,Rosenbrock,4000,2,0.005,NaN,0,0,0.0168,small
sobol,SMCO_vs_SMCO_EVO,Rosenbrock,50,20,-0.0341,0.388376,0,0,-0.0085,small
sobol,SMCO_vs_SMCO_EVO,Rosenbrock,500,5,-0.0291,0.3125,0,0,-0.0263,small
sobol,SMCO_vs_SMCO_EVO,Rosenbrock,5000,2,0.0059,NaN,0,0,0.027,small
sobol,SMCO_vs_SMCO_EVO,Zakharov,100,15,-0.0124,0.761536,0,0,-0.0386,small
sobol,SMCO_vs_SMCO_EVO,Zakharov,200,10,0.023,0.769531,0,0,0.0872,small
sobol,SMCO_vs_SMCO_EVO,Zakharov,50,20,-0.108,0.009436,1,1,-0.2123,small
sobol,SMCO_vs_SMCO_EVO,Zakharov,500,5,-0.0095,0.8125,0,0,-0.0201,small
sobol,SMCO_R_vs_SMCO_R_EVO,Ackley,100,15,0.0275,0.276855,0,0,0.4177,small
sobol,SMCO_R_vs_SMCO_R_EVO,Ackley,1000,5,0.0568,0.3125,0,0,0.9217,large
sobol,SMCO_R_vs_SMCO_R_EVO,Ackley,200,10,0.1476,0.007812,1,1,1.1365,large
sobol,SMCO_R_vs_SMCO_R_EVO,Ackley,2000,3,0.2055,0.25,0,0,12.1123,large
sobol,SMCO_R_vs_SMCO_R_EVO,Ackley,3000,2,1.7428,NaN,0,0,71.45,large
sobol,SMCO_R_vs_SMCO_R_EVO,Ackley,4000,2,1.0335,NaN,0,0,36.2245,large
sobol,SMCO_R_vs_SMCO_R_EVO,Ackley,50,20,0.01,0.794586,0,0,0.1452,small
sobol,SMCO_R_vs_SMCO_R_EVO,Ackley,500,5,0.0053,1.0,0,0,0.0703,small
sobol,SMCO_R_vs_SMCO_R_EVO,Ackley,5000,2,0.8816,NaN,0,0,71.739,large
sobol,SMCO_R_vs_SMCO_R_EVO,Griewank,100,15,0.0346,0.187622,0,0,0.2179,small
sobol,SMCO_R_vs_SMCO_R_EVO,Griewank,200,10,-0.038,0.193359,0,0,-0.2845,small
sobol,SMCO_R_vs_SMCO_R_EVO,Griewank,50,20,-0.0042,0.701181,0,0,-0.0195,small
sobol,SMCO_R_vs_SMCO_R_EVO,Rastrigin,100,15,0.0205,0.803955,0,0,0.0158,small
sobol,SMCO_R_vs_SMCO_R_EVO,Rastrigin,1000,5,-0.0001,0.8125,0,0,-0.0003,small
sobol,SMCO_R_vs_SMCO_R_EVO,Rastrigin,200,10,-0.0002,1.0,0,0,-0.0002,small
sobol,SMCO_R_vs_SMCO_R_EVO,Rastrigin,2000,3,0.0245,0.75,0,0,0.0646,small
sobol,SMCO_R_vs_SMCO_R_EVO,Rastrigin,3000,2,0.028,NaN,0,0,1.1541,large
sobol,SMCO_R_vs_SMCO_R_EVO,Rastrigin,4000,2,0.0065,NaN,0,0,0.0317,small
sobol,SMCO_R_vs_SMCO_R_EVO,Rastrigin,50,20,0.0467,0.674223,0,0,0.0241,small
sobol,SMCO_R_vs_SMCO_R_EVO,Rastrigin,500,5,-0.0001,1.0,0,0,-0.0002,small
sobol,SMCO_R_vs_SMCO_R_EVO,Rastrigin,5000,2,0.0177,NaN,0,0,0.1212,small
sobol,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,100,15,-0.0325,0.890381,0,0,-0.0106,small
sobol,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,1000,5,-0.0103,1.0,0,0,-0.0142,small
sobol,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,200,10,-0.0459,0.695312,0,0,-0.0256,small
sobol,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,2000,3,0.0327,0.5,0,0,0.0539,small
sobol,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,3000,2,-0.0098,NaN,0,0,-0.2722,small
sobol,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,4000,2,0.0092,NaN,0,0,0.1076,small
sobol,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,50,20,-0.1436,0.784126,0,0,-0.0357,small
sobol,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,500,5,0.0368,0.4375,0,0,0.0271,small
sobol,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,5000,2,0.0093,NaN,0,0,0.0398,small
sobol,SMCO_R_vs_SMCO_R_EVO,Zakharov,100,15,-0.0594,0.120544,0,0,-0.1029,small
sobol,SMCO_R_vs_SMCO_R_EVO,Zakharov,200,10,-0.033,0.275391,0,0,-0.0719,small
sobol,SMCO_R_vs_SMCO_R_EVO,Zakharov,50,20,0.0326,0.927279,0,0,0.0378,small
sobol,SMCO_R_vs_SMCO_R_EVO,Zakharov,500,5,0.0293,0.8125,0,0,0.0356,small
sobol,SMCO_BR_vs_SMCO_BR_EVO,Ackley,100,15,-0.0027,0.761536,0,0,-0.0366,small
sobol,SMCO_BR_vs_SMCO_BR_EVO,Ackley,1000,5,-0.0046,1.0,0,0,-0.1028,small
sobol,SMCO_BR_vs_SMCO_BR_EVO,Ackley,200,10,0.0217,0.083984,0,0,0.1825,small
sobol,SMCO_BR_vs_SMCO_BR_EVO,Ackley,2000,3,0.003,0.5,0,0,0.2006,small
sobol,SMCO_BR_vs_SMCO_BR_EVO,Ackley,3000,2,0.0213,NaN,0,0,1.33,large
sobol,SMCO_BR_vs_SMCO_BR_EVO,Ackley,4000,2,0.0866,NaN,0,0,3.2453,large
sobol,SMCO_BR_vs_SMCO_BR_EVO,Ackley,50,20,0.0124,0.398063,0,0,0.1239,small
sobol,SMCO_BR_vs_SMCO_BR_EVO,Ackley,500,5,0.0782,0.1875,0,0,1.1005,large
sobol,SMCO_BR_vs_SMCO_BR_EVO,Ackley,5000,2,0.1103,NaN,0,0,4.0271,large
sobol,SMCO_BR_vs_SMCO_BR_EVO,Griewank,100,15,0.0638,0.063721,0,0,0.205,small
sobol,SMCO_BR_vs_SMCO_BR_EVO,Griewank,200,10,-0.0141,1.0,0,0,-0.0453,small
sobol,SMCO_BR_vs_SMCO_BR_EVO,Griewank,50,20,-0.006,0.728506,0,0,-0.0145,small
sobol,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,100,15,0.0497,0.761536,0,0,0.0379,small
sobol,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,1000,5,0.0014,1.0,0,0,0.0029,small
sobol,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,200,10,0.0095,0.625,0,0,0.0093,small
sobol,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,2000,3,0.0005,1.0,0,0,0.0014,small
sobol,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,3000,2,-0.0052,NaN,0,0,-0.1733,small
sobol,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,4000,2,0.0042,NaN,0,0,0.0233,small
sobol,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,50,20,-0.0271,0.840822,0,0,-0.0144,small
sobol,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,500,5,-0.0052,0.8125,0,0,-0.0115,small
sobol,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,5000,2,0.0006,NaN,0,0,0.0042,small
sobol,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,100,15,-0.0503,0.302795,0,0,-0.0155,small
sobol,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,1000,5,-0.0498,0.8125,0,0,-0.0454,small
sobol,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,200,10,-0.0906,0.275391,0,0,-0.049,small
sobol,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,2000,3,0.0359,0.75,0,0,0.1064,small
sobol,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,3000,2,0.0367,NaN,0,0,0.3093,small
sobol,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,4000,2,-0.0224,NaN,0,0,-0.0693,small
sobol,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,50,20,-0.1906,0.20245,0,0,-0.0466,small
sobol,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,500,5,-0.074,0.125,0,0,-0.049,small
sobol,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,5000,2,0.0126,NaN,0,0,0.0525,small
sobol,SMCO_BR_vs_SMCO_BR_EVO,Zakharov,100,15,0.0174,1.0,0,0,0.0158,small
sobol,SMCO_BR_vs_SMCO_BR_EVO,Zakharov,200,10,0.0007,0.845703,0,0,0.0007,small
sobol,SMCO_BR_vs_SMCO_BR_EVO,Zakharov,50,20,0.0204,0.474905,0,0,0.0115,small
sobol,SMCO_BR_vs_SMCO_BR_EVO,Zakharov,500,5,0.0425,1.0,0,0,0.0247,small
