strategy,pair,func,dim,n,improve_pct,wilcoxon_p,significant_005,significant_001,cohens_d,effect_size
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,2000,3,0.0264,0.25,0,0,0.07,small
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,3000,2,0.0301,NaN,0,0,1.0144,large
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,4000,2,0.0123,NaN,0,0,0.0603,small
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,50,20,0.0468,0.927279,0,0,0.0241,small
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,500,5,0.0001,0.8125,0,0,0.0003,small
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,5000,2,0.0194,NaN,0,0,0.1345,small
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,100,15,0.1572,0.890381,0,0,0.0517,small
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,1000,5,-0.0051,0.8125,0,0,-0.007,small
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,200,10,-0.0333,0.625,0,0,-0.0184,small
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,2000,3,0.7253,0.25,0,0,0.8198,large
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,3000,2,0.2287,NaN,0,0,0.9743,large
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,4000,2,4.2362,NaN,0,0,2.2543,large
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,50,20,0.8421,0.132727,0,0,0.2128,small
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,500,5,0.055,0.0625,0,0,0.0405,small
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,5000,2,3.766,NaN,0,0,4.0416,large
rand1bin,SMCO_R_vs_SMCO_R_EVO,Zakharov,100,15,0.3167,0.003357,1,1,0.5499,medium
rand1bin,SMCO_R_vs_SMCO_R_EVO,Zakharov,200,10,0.2736,0.048828,1,0,0.586,medium
rand1bin,SMCO_R_vs_SMCO_R_EVO,Zakharov,50,20,0.4951,0.002712,1,1,0.5548,medium
rand1bin,SMCO_R_vs_SMCO_R_EVO,Zakharov,500,5,0.3514,0.125,0,0,0.4396,small
