strategy,func,algo,spearman_rho,spearman_p,correlation,significant,n_dims,fopt_50D,fopt_maxD
current-to-best1bin,Rastrigin,GenSA,1.0,0.0,increasing,1,9,2017.66450969,201766.21261094
current-to-best1bin,Rastrigin,SA,1.0,0.0,increasing,1,9,2016.65940883,144455.59698672
current-to-best1bin,Rastrigin,DEoptim,1.0,0.0,increasing,1,9,1319.76307953,95772.36984368
current-to-best1bin,Rastrigin,GA,1.0,0.0,increasing,1,9,1677.50704804,94743.88053802
current-to-best1bin,Rastrigin,PSO,1.0,0.0,increasing,1,9,1513.66428745,144957.97011654
current-to-best1bin,Ackley,SMCO,0.2833,0.46003,increasing,0,9,21.63699628,21.69704496
current-to-best1bin,Ackley,SMCO_R,-0.9167,0.000507,decreasing,1,9,22.07309395,21.7257027
current-to-best1bin,Ackley,SMCO_BR,-0.95,8.8e-05,decreasing,1,9,22.06999457,21.91259762
current-to-best1bin,Ackley,SMCO_EVO,-0.8833,0.001591,decreasing,1,9,22.15062549,22.06094277
current-to-best1bin,Ackley,SMCO_R_EVO,-0.9167,0.000507,decreasing,1,9,22.18863316,22.11214145
current-to-best1bin,Ackley,SMCO_BR_EVO,-0.8833,0.001591,decreasing,1,9,22.18122964,22.15204417
current-to-best1bin,Ackley,GenSA,-1.0,0.0,decreasing,1,9,22.29973317,21.7314873
current-to-best1bin,Ackley,SA,-1.0,0.0,decreasing,1,9,22.06548527,21.66547433
current-to-best1bin,Ackley,DEoptim,-1.0,0.0,decreasing,1,9,21.83010022,21.32833238
current-to-best1bin,Ackley,GA,-1.0,0.0,decreasing,1,9,21.87333817,21.38560647
current-to-best1bin,Ackley,PSO,-0.9833,2e-06,decreasing,1,9,22.08361389,21.7214349
current-to-best1bin,Rosenbrock,SMCO,1.0,0.0,increasing,1,9,28590556.0892473,1953961917.8469484
current-to-best1bin,Rosenbrock,SMCO_R,1.0,0.0,increasing,1,9,27764812.00991679,1699574361.5793364
current-to-best1bin,Rosenbrock,SMCO_BR,1.0,0.0,increasing,1,9,25826421.53841371,1318276891.8457017
current-to-best1bin,Rosenbrock,SMCO_EVO,1.0,0.0,increasing,1,9,28580313.2879377,1953906656.3506606
current-to-best1bin,Rosenbrock,SMCO_R_EVO,1.0,0.0,increasing,1,9,27768828.65318396,1767633840.916448
current-to-best1bin,Rosenbrock,SMCO_BR_EVO,1.0,0.0,increasing,1,9,25824113.6415854,1529914988.3765254
current-to-best1bin,Rosenbrock,GenSA,1.0,0.0,increasing,1,9,39986469.0,4049887419.0
current-to-best1bin,Rosenbrock,SA,1.0,0.0,increasing,1,9,27331490.25,2720911801.5
current-to-best1bin,Rosenbrock,DEoptim,1.0,0.0,increasing,1,9,19070985.76680293,703836218.4663241
current-to-best1bin,Rosenbrock,GA,1.0,0.0,increasing,1,9,26248513.5119487,863871393.4097356
current-to-best1bin,Rosenbrock,PSO,1.0,0.0,increasing,1,9,30841751.25,2607259441.5
current-to-best1bin,Griewank,SMCO,1.0,0.0,increasing,1,3,4400.89200506,17226.59242376
current-to-best1bin,Griewank,SMCO_R,1.0,0.0,increasing,1,3,4332.10767341,16732.05754061
current-to-best1bin,Griewank,SMCO_BR,1.0,0.0,increasing,1,3,4161.670566,15582.82164854
current-to-best1bin,Griewank,SMCO_EVO,1.0,0.0,increasing,1,3,4400.25843678,17224.22871924
current-to-best1bin,Griewank,SMCO_R_EVO,1.0,0.0,increasing,1,3,4330.99675258,16723.82607777
current-to-best1bin,Griewank,SMCO_BR_EVO,1.0,0.0,increasing,1,3,4160.10517731,15579.36184013
current-to-best1bin,Griewank,GenSA,1.0,0.0,increasing,1,3,4501.0,18001.0
current-to-best1bin,Griewank,SA,1.0,0.0,increasing,1,3,4501.0,18001.0
current-to-best1bin,Griewank,DEoptim,1.0,0.0,increasing,1,3,2632.15324533,7992.15823964
current-to-best1bin,Griewank,GA,1.0,0.0,increasing,1,3,4252.25924766,13845.08661474
