evo_algo,func,dim,strategy,fopt_mean,rank_among_strategies
SMCO_EVO,Rosenbrock,3000,rand1bin,1239484708.4143791,1
SMCO_EVO,Rosenbrock,3000,current-to-best1bin,1239385157.2331452,2
SMCO_EVO,Rosenbrock,3000,best1bin,1239385157.2331452,3
SMCO_EVO,Rosenbrock,3000,sobol,1239270944.6241322,4
SMCO_EVO,Rosenbrock,4000,best1bin,1607755773.5210905,1
SMCO_EVO,Rosenbrock,4000,current-to-best1bin,1601826824.5663753,2
SMCO_EVO,Rosenbrock,4000,rand1bin,1601772804.8045108,3
SMCO_EVO,Rosenbrock,4000,sobol,1601691257.611319,4
SMCO_EVO,Rosenbrock,5000,best1bin,2043895340.4396203,1
SMCO_EVO,Rosenbrock,5000,sobol,1954076967.4365642,2
SMCO_EVO,Rosenbrock,5000,current-to-best1bin,1953906656.3506606,3
SMCO_EVO,Rosenbrock,5000,rand1bin,1953822312.2048445,4
SMCO_EVO,Griewank,50,sobol,4400.68998186,1
SMCO_EVO,Griewank,50,rand1bin,4400.65907896,2
SMCO_EVO,Griewank,50,best1bin,4400.5449855,3
SMCO_EVO,Griewank,50,current-to-best1bin,4400.25843678,4
SMCO_EVO,Griewank,100,rand1bin,8741.11846355,1
SMCO_EVO,Griewank,100,sobol,8741.08656828,2
SMCO_EVO,Griewank,100,current-to-best1bin,8741.0768169,3
SMCO_EVO,Griewank,100,best1bin,8741.0768169,4
SMCO_EVO,Griewank,200,rand1bin,17224.57012777,1
SMCO_EVO,Griewank,200,current-to-best1bin,17224.22871924,2
SMCO_EVO,Griewank,200,best1bin,17224.22871924,3
SMCO_EVO,Griewank,200,sobol,17224.01728074,4
SMCO_EVO,Zakharov,50,best1bin,1552340893079980.0,1
SMCO_EVO,Zakharov,50,rand1bin,1547305404807157.0,2
SMCO_EVO,Zakharov,50,current-to-best1bin,1547233201559311.5,3
SMCO_EVO,Zakharov,50,sobol,1542792371747628.0,4
SMCO_EVO,Zakharov,100,current-to-best1bin,3.73893546280408e+17,1
SMCO_EVO,Zakharov,100,best1bin,3.73584180255514e+17,2
SMCO_EVO,Zakharov,100,rand1bin,3.730718501511657e+17,3
SMCO_EVO,Zakharov,100,sobol,3.726256176222943e+17,4
SMCO_EVO,Zakharov,200,rand1bin,8.927761864045686e+19,1
SMCO_EVO,Zakharov,200,best1bin,8.921407920290213e+19,2
SMCO_EVO,Zakharov,200,current-to-best1bin,8.92076331233532e+19,3
SMCO_EVO,Zakharov,200,sobol,8.907148913005378e+19,4
SMCO_EVO,Zakharov,500,current-to-best1bin,1.2564853484884616e+23,1
SMCO_EVO,Zakharov,500,best1bin,1.2552496853334792e+23,2
SMCO_EVO,Zakharov,500,sobol,1.252906110152591e+23,3
SMCO_EVO,Zakharov,500,rand1bin,1.2528603542628458e+23,4
SMCO_R_EVO,Rastrigin,50,best1bin,1712.20786165,1
SMCO_R_EVO,Rastrigin,50,rand1bin,1712.20163598,2
SMCO_R_EVO,Rastrigin,50,sobol,1712.19966993,3
SMCO_R_EVO,Rastrigin,50,current-to-best1bin,1712.19921362,4
SMCO_R_EVO,Rastrigin,100,sobol,3269.60940248,1
SMCO_R_EVO,Rastrigin,100,rand1bin,3269.60914948,2
SMCO_R_EVO,Rastrigin,100,current-to-best1bin,3269.60192309,3
SMCO_R_EVO,Rastrigin,100,best1bin,3269.60192309,4
SMCO_R_EVO,Rastrigin,200,rand1bin,6344.2044079,1
SMCO_R_EVO,Rastrigin,200,current-to-best1bin,6344.19792757,2
SMCO_R_EVO,Rastrigin,200,best1bin,6344.19792757,3
SMCO_R_EVO,Rastrigin,200,sobol,6344.18981226,4
SMCO_R_EVO,Rastrigin,500,rand1bin,14794.55983703,1
SMCO_R_EVO,Rastrigin,500,current-to-best1bin,14794.53721476,2
SMCO_R_EVO,Rastrigin,500,best1bin,14794.53721476,3
SMCO_R_EVO,Rastrigin,500,sobol,14794.52248396,4
SMCO_R_EVO,Rastrigin,1000,rand1bin,29138.0368996,1
SMCO_R_EVO,Rastrigin,1000,current-to-best1bin,29138.02210024,2
SMCO_R_EVO,Rastrigin,1000,best1bin,29138.02210024,3
SMCO_R_EVO,Rastrigin,1000,sobol,29137.99021097,4
SMCO_R_EVO,Rastrigin,2000,rand1bin,57944.88808556,1
SMCO_R_EVO,Rastrigin,2000,sobol,57943.79006555,2
