evo_algo,func,dim,strategy,fopt_mean,rank_among_strategies
SMCO_BR_EVO,Zakharov,50,sobol,1302917253201241.0,4
SMCO_BR_EVO,Zakharov,100,best1bin,3.056030285630536e+17,1
SMCO_BR_EVO,Zakharov,100,current-to-best1bin,3.0432878251545683e+17,2
SMCO_BR_EVO,Zakharov,100,rand1bin,3.0262312051554906e+17,3
SMCO_BR_EVO,Zakharov,100,sobol,3.008164305279717e+17,4
SMCO_BR_EVO,Zakharov,200,current-to-best1bin,6.5618726300327985e+19,1
SMCO_BR_EVO,Zakharov,200,best1bin,6.5499903812275495e+19,2
SMCO_BR_EVO,Zakharov,200,rand1bin,6.520086193040035e+19,3
SMCO_BR_EVO,Zakharov,200,sobol,6.463244383320889e+19,4
SMCO_BR_EVO,Zakharov,500,current-to-best1bin,8.054490557151366e+22,1
SMCO_BR_EVO,Zakharov,500,best1bin,7.997779138805416e+22,2
SMCO_BR_EVO,Zakharov,500,rand1bin,7.98763530022454e+22,3
SMCO_BR_EVO,Zakharov,500,sobol,7.951359634206635e+22,4
