strategy,pair,func,dim,base_fopt,evo_fopt,absolute_diff,pct_diff
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,500,14794.53924205,14794.55983703,0.02059497,0.0001
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,5000,142512.25069086,142539.9339122,27.68322134,0.0194
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,100,52616803.95826252,52699529.12167532,82725.1634128,0.1572
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,1000,422712947.9742656,422691334.4917344,-21613.48253125,-0.0051
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,200,98101461.91474606,98068775.4764937,-32686.43825236,-0.0333
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,2000,775822748.1332974,781450086.1351376,5627338.00184011,0.7253
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,3000,1094303115.940483,1096805777.1641424,2502661.22365928,0.2287
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,4000,1399385030.0219135,1458666064.155912,59281034.13399839,4.2362
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,50,27764812.00991679,27998607.69056036,233795.68064357,0.8421
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,500,226905423.5312902,227030141.56131357,124718.03002337,0.055
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,5000,1699574361.5793364,1763579913.2363734,64005551.65703726,3.766
rand1bin,SMCO_R_vs_SMCO_R_EVO,Zakharov,100,3.5073620183415974e+17,3.518469888496277e+17,1110787015467967.9,0.3167
rand1bin,SMCO_R_vs_SMCO_R_EVO,Zakharov,200,8.126408086905997e+19,8.148645008091346e+19,2.2236921185348813e+17,0.2736
rand1bin,SMCO_R_vs_SMCO_R_EVO,Zakharov,50,1472185536847872.8,1479474019474247.8,7288482626375.0,0.4951
rand1bin,SMCO_R_vs_SMCO_R_EVO,Zakharov,500,1.0966824087560668e+23,1.1005364578881726e+23,3.854049132105821e+20,0.3514
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,100,22.03412869,22.20386099,0.1697323,0.7703
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,1000,21.94129771,22.19297949,0.25168177,1.1471
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,200,21.97232981,22.19753446,0.22520465,1.0249
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,2000,21.92156924,22.18821204,0.2666428,1.2163
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,3000,21.90992625,22.17783126,0.267905,1.2228
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,4000,21.90941467,22.18100381,0.27158915,1.2396
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,50,22.06999457,22.21172599,0.14173142,0.6422
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,500,21.94777331,22.18415327,0.23637996,1.077
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,5000,21.91259762,22.18490993,0.27231231,1.2427
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Griewank,100,8146.54301849,8149.34328134,2.80026285,0.0344
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Griewank,200,15582.82164854,15579.65369232,-3.16795621,-0.0203
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Griewank,50,4161.670566,4160.22636653,-1.44419946,-0.0347
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,100,3259.31062261,3261.50566115,2.19503854,0.0673
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,1000,29126.31025437,29126.29918232,-0.01107206,-0.0
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,200,6336.63125565,6337.26304679,0.63179115,0.01
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,2000,57911.78566871,57914.65963311,2.87396439,0.005
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,3000,86027.3630172,86030.44584423,3.08282703,0.0036
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,4000,114314.06385418,114315.02117796,0.95732377,0.0008
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,50,1713.6892573,1713.14177105,-0.54748625,-0.0319
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,500,14784.4241961,14784.19551548,-0.22868062,-0.0015
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,5000,142460.14573843,142458.56569411,-1.58004432,-0.0011
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,100,47986687.78786815,48148821.41426232,162133.62639418,0.3379
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,1000,348193067.76848793,367745225.4843526,19552157.71586466,5.6153
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,200,87336134.89183861,87656387.0616571,320252.16981849,0.3667
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,2000,618155929.2741712,681642200.328956,63486271.05478477,10.2703
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,3000,859724697.6735848,984001031.0391653,124276333.36558044,14.4554
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,4000,1091605069.4387069,1284332464.5678978,192727395.12919092,17.6554
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,50,25826421.5384137,26245254.52744256,418832.98902885,1.6217
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,500,194451615.14885083,201857043.123427,7405427.97457614,3.8084
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,5000,1318276891.8457017,1571387343.601668,253110451.7559662,19.2001
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Zakharov,100,3.007640369869114e+17,3.0262312051554906e+17,1859083528637632.0,0.6181
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Zakharov,200,6.463198018702149e+19,6.520086193040035e+19,5.688817433788662e+17,0.8802
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Zakharov,50,1302651618260598.5,1321042363222150.5,18390744961552.0,1.4118
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Zakharov,500,7.947977905345289e+22,7.98763530022454e+22,3.965739487925182e+20,0.499
current-to-best1bin,SMCO_vs_SMCO_EVO,Ackley,100,21.53521368,22.11409043,0.57887676,2.688
current-to-best1bin,SMCO_vs_SMCO_EVO,Ackley,1000,21.35674794,22.08734507,0.73059712,3.4209
current-to-best1bin,SMCO_vs_SMCO_EVO,Ackley,200,21.41822237,22.09952213,0.68129976,3.1809
current-to-best1bin,SMCO_vs_SMCO_EVO,Ackley,2000,21.41223117,22.08847639,0.67624522,3.1582
current-to-best1bin,SMCO_vs_SMCO_EVO,Ackley,3000,21.53221419,22.0323172,0.50010301,2.3226
current-to-best1bin,SMCO_vs_SMCO_EVO,Ackley,4000,21.66499532,22.06464569,0.39965037,1.8447
current-to-best1bin,SMCO_vs_SMCO_EVO,Ackley,50,21.63699628,22.15062549,0.51362921,2.3738
current-to-best1bin,SMCO_vs_SMCO_EVO,Ackley,500,21.36773333,22.08341999,0.71568665,3.3494
current-to-best1bin,SMCO_vs_SMCO_EVO,Ackley,5000,21.69704496,22.06094277,0.36389782,1.6772
current-to-best1bin,SMCO_vs_SMCO_EVO,Griewank,100,8740.09630003,8741.0768169,0.98051688,0.0112
current-to-best1bin,SMCO_vs_SMCO_EVO,Griewank,200,17226.59242376,17224.22871924,-2.36370452,-0.0137
current-to-best1bin,SMCO_vs_SMCO_EVO,Griewank,50,4400.89200506,4400.25843678,-0.63356828,-0.0144
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,100,3268.52822567,3261.57660545,-6.95162022,-0.2127
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,1000,29109.96616976,29109.53341967,-0.43275008,-0.0015
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,200,6337.69809851,6337.65098984,-0.04710866,-0.0007
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,2000,57881.3549303,57883.29476627,1.93983597,0.0034
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,3000,86021.13959544,86028.14017522,7.00057978,0.0081
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,4000,114310.45677346,114314.91250138,4.45572792,0.0039
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,50,1711.62747192,1713.45619882,1.8287269,0.1068
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,500,14779.85184275,14779.68241267,-0.16943008,-0.0011
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,5000,142458.32504619,142432.29777746,-26.02726873,-0.0183
current-to-best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,100,54630111.70819072,54630038.65914771,-73.04904301,-0.0001
