config,strategy,func,dim,algo,fopt_mean,rank
rand1bin_Ackley_4000,rand1bin,Ackley,4000,SMCO_BR,21.90941466516003,4
rand1bin_Ackley_4000,rand1bin,Ackley,4000,GenSA,21.864770869740198,5
rand1bin_Ackley_4000,rand1bin,Ackley,4000,SA,21.842683492138292,6
rand1bin_Ackley_4000,rand1bin,Ackley,4000,PSO,21.711805007306616,7
rand1bin_Ackley_4000,rand1bin,Ackley,4000,SMCO_R,21.696596470859426,8
rand1bin_Ackley_4000,rand1bin,Ackley,4000,SMCO,21.664995317854874,9
rand1bin_Ackley_4000,rand1bin,Ackley,4000,GA,21.397228574401577,10
rand1bin_Ackley_4000,rand1bin,Ackley,4000,DEoptim,21.34122138647738,11
rand1bin_Ackley_50,rand1bin,Ackley,50,GenSA,22.29973316565109,1
rand1bin_Ackley_50,rand1bin,Ackley,50,SMCO_BR_EVO,22.21172599155435,2
rand1bin_Ackley_50,rand1bin,Ackley,50,SMCO_R_EVO,22.200242013243386,3
rand1bin_Ackley_50,rand1bin,Ackley,50,SMCO_EVO,22.161752258880856,4
rand1bin_Ackley_50,rand1bin,Ackley,50,PSO,22.083613893804547,5
rand1bin_Ackley_50,rand1bin,Ackley,50,SMCO_R,22.073093951668508,6
rand1bin_Ackley_50,rand1bin,Ackley,50,SMCO_BR,22.06999457051177,7
rand1bin_Ackley_50,rand1bin,Ackley,50,SA,22.06548526711626,8
rand1bin_Ackley_50,rand1bin,Ackley,50,ADAM,22.016121221635128,9
rand1bin_Ackley_50,rand1bin,Ackley,50,GD,22.016107988046617,10
rand1bin_Ackley_50,rand1bin,Ackley,50,optimLBFGS,22.015419090037362,11
rand1bin_Ackley_50,rand1bin,Ackley,50,SignGD,22.01465884255967,12
rand1bin_Ackley_50,rand1bin,Ackley,50,BOBYQA,22.012311057872928,13
rand1bin_Ackley_50,rand1bin,Ackley,50,GA,21.873338174265168,14
rand1bin_Ackley_50,rand1bin,Ackley,50,optimNM,21.83530948980501,15
rand1bin_Ackley_50,rand1bin,Ackley,50,DEoptim,21.830100224256995,16
rand1bin_Ackley_50,rand1bin,Ackley,50,SPSA,21.673553842872963,17
rand1bin_Ackley_50,rand1bin,Ackley,50,SMCO,21.6369962777482,18
rand1bin_Ackley_500,rand1bin,Ackley,500,SMCO_BR_EVO,22.184153270084725,1
rand1bin_Ackley_500,rand1bin,Ackley,500,SMCO_R_EVO,22.16470133872907,2
rand1bin_Ackley_500,rand1bin,Ackley,500,GenSA,22.164634579124705,3
rand1bin_Ackley_500,rand1bin,Ackley,500,SMCO_EVO,22.1089496723529,4
rand1bin_Ackley_500,rand1bin,Ackley,500,SA,22.03743132546698,5
rand1bin_Ackley_500,rand1bin,Ackley,500,SMCO_BR,21.947773314504367,6
rand1bin_Ackley_500,rand1bin,Ackley,500,SMCO_R,21.94761009790387,7
rand1bin_Ackley_500,rand1bin,Ackley,500,PSO,21.873543919805268,8
rand1bin_Ackley_500,rand1bin,Ackley,500,GA,21.534768239986803,9
rand1bin_Ackley_500,rand1bin,Ackley,500,DEoptim,21.47007228392053,10
rand1bin_Ackley_500,rand1bin,Ackley,500,SMCO,21.367733334983292,11
rand1bin_Ackley_5000,rand1bin,Ackley,5000,SMCO_BR_EVO,22.184909932388898,1
rand1bin_Ackley_5000,rand1bin,Ackley,5000,SMCO_R_EVO,22.152934041512637,2
rand1bin_Ackley_5000,rand1bin,Ackley,5000,SMCO_EVO,22.11147899382847,3
rand1bin_Ackley_5000,rand1bin,Ackley,5000,SMCO_BR,21.912597619812423,4
rand1bin_Ackley_5000,rand1bin,Ackley,5000,GenSA,21.73148729514309,5
rand1bin_Ackley_5000,rand1bin,Ackley,5000,SMCO_R,21.72570270016472,6
rand1bin_Ackley_5000,rand1bin,Ackley,5000,PSO,21.721434902688344,7
rand1bin_Ackley_5000,rand1bin,Ackley,5000,SMCO,21.697044955860562,8
rand1bin_Ackley_5000,rand1bin,Ackley,5000,SA,21.665474326389205,9
rand1bin_Ackley_5000,rand1bin,Ackley,5000,GA,21.385606465715362,10
rand1bin_Ackley_5000,rand1bin,Ackley,5000,DEoptim,21.328332378863344,11
rand1bin_Griewank_100,rand1bin,Griewank,100,BOBYQA,9001.000000000051,1
rand1bin_Griewank_100,rand1bin,Griewank,100,GenSA,9001.0,2
rand1bin_Griewank_100,rand1bin,Griewank,100,SA,9001.0,3
rand1bin_Griewank_100,rand1bin,Griewank,100,PSO,9001.0,4
rand1bin_Griewank_100,rand1bin,Griewank,100,SMCO_EVO,8741.118463550123,5
rand1bin_Griewank_100,rand1bin,Griewank,100,SMCO,8740.096300027286,6
rand1bin_Griewank_100,rand1bin,Griewank,100,SMCO_R_EVO,8568.841352200292,7
rand1bin_Griewank_100,rand1bin,Griewank,100,SMCO_R,8565.920689918474,8
rand1bin_Griewank_100,rand1bin,Griewank,100,SMCO_BR_EVO,8149.343281343913,9
rand1bin_Griewank_100,rand1bin,Griewank,100,SMCO_BR,8146.543018494601,10
rand1bin_Griewank_100,rand1bin,Griewank,100,GA,7833.490229109933,11
rand1bin_Griewank_100,rand1bin,Griewank,100,optimLBFGS,6051.517985300458,12
rand1bin_Griewank_100,rand1bin,Griewank,100,DEoptim,4549.277577784492,13
rand1bin_Griewank_100,rand1bin,Griewank,100,GD,4318.531612684141,14
rand1bin_Griewank_100,rand1bin,Griewank,100,SignGD,3641.5841157428863,15
rand1bin_Griewank_100,rand1bin,Griewank,100,ADAM,3464.147045545212,16
rand1bin_Griewank_100,rand1bin,Griewank,100,optimNM,3455.17997108155,17
rand1bin_Griewank_100,rand1bin,Griewank,100,SPSA,3418.8544324324453,18
rand1bin_Griewank_200,rand1bin,Griewank,200,BOBYQA,18001.000000000222,1
rand1bin_Griewank_200,rand1bin,Griewank,200,GenSA,18001.0,2
rand1bin_Griewank_200,rand1bin,Griewank,200,SA,18001.0,3
rand1bin_Griewank_200,rand1bin,Griewank,200,PSO,18001.0,4
rand1bin_Griewank_200,rand1bin,Griewank,200,SMCO,17226.59242376168,5
rand1bin_Griewank_200,rand1bin,Griewank,200,SMCO_EVO,17224.570127769693,6
rand1bin_Griewank_200,rand1bin,Griewank,200,SMCO_R,16732.05754060517,7
rand1bin_Griewank_200,rand1bin,Griewank,200,SMCO_R_EVO,16723.670490141812,8
rand1bin_Griewank_200,rand1bin,Griewank,200,SMCO_BR,15582.821648537065,9
rand1bin_Griewank_200,rand1bin,Griewank,200,SMCO_BR_EVO,15579.653692324451,10
rand1bin_Griewank_200,rand1bin,Griewank,200,GA,13845.086614735043,11
rand1bin_Griewank_200,rand1bin,Griewank,200,GD,8478.375474099297,12
rand1bin_Griewank_200,rand1bin,Griewank,200,optimLBFGS,8309.999512656617,13
rand1bin_Griewank_200,rand1bin,Griewank,200,DEoptim,7992.158239639424,14
rand1bin_Griewank_200,rand1bin,Griewank,200,SignGD,7180.128094227461,15
rand1bin_Griewank_200,rand1bin,Griewank,200,ADAM,6823.042271976459,16
rand1bin_Griewank_200,rand1bin,Griewank,200,optimNM,6748.127292238173,17
rand1bin_Griewank_200,rand1bin,Griewank,200,SPSA,6734.352114533676,18
rand1bin_Griewank_50,rand1bin,Griewank,50,BOBYQA,4501.000000000015,1
rand1bin_Griewank_50,rand1bin,Griewank,50,GenSA,4501.0,2
rand1bin_Griewank_50,rand1bin,Griewank,50,optimLBFGS,4501.0,3
rand1bin_Griewank_50,rand1bin,Griewank,50,SA,4501.0,4
