strategy,func,algo,dim,fopt_mean,fopt_std
rand1bin,Rastrigin,GA,5000,94743.88053802,23.08936978
rand1bin,Rastrigin,PSO,50,1513.66428745,14.78525768
rand1bin,Rastrigin,PSO,100,2980.09045883,18.15601053
rand1bin,Rastrigin,PSO,200,5904.81625745,39.28593368
rand1bin,Rastrigin,PSO,500,14588.07120404,8.08122392
rand1bin,Rastrigin,PSO,1000,29165.33059818,48.87384343
rand1bin,Rastrigin,PSO,2000,58152.53797893,176.28901244
rand1bin,Rastrigin,PSO,3000,87035.34159179,13.13594858
rand1bin,Rastrigin,PSO,4000,115988.19110692,116.46625603
rand1bin,Rastrigin,PSO,5000,144957.97011654,69.69212458
rand1bin,Ackley,SMCO,50,21.63699628,0.03960883
rand1bin,Ackley,SMCO,100,21.53521368,0.04720168
rand1bin,Ackley,SMCO,200,21.41822237,0.02787407
rand1bin,Ackley,SMCO,500,21.36773333,0.01603146
rand1bin,Ackley,SMCO,1000,21.35674794,0.01336454
rand1bin,Ackley,SMCO,2000,21.41223117,0.00643105
rand1bin,Ackley,SMCO,3000,21.53221419,0.00356824
rand1bin,Ackley,SMCO,4000,21.66499532,0.00260253
rand1bin,Ackley,SMCO,5000,21.69704496,0.00367952
rand1bin,Ackley,SMCO_R,50,22.07309395,0.01255335
rand1bin,Ackley,SMCO_R,100,22.03846438,0.00867916
rand1bin,Ackley,SMCO_R,200,21.95328103,0.03017082
rand1bin,Ackley,SMCO_R,500,21.9476101,0.01512724
rand1bin,Ackley,SMCO_R,1000,21.94929137,0.00976383
rand1bin,Ackley,SMCO_R,2000,21.90054567,0.00294097
rand1bin,Ackley,SMCO_R,3000,21.56366743,0.00415411
rand1bin,Ackley,SMCO_R,4000,21.69659647,0.00257511
rand1bin,Ackley,SMCO_R,5000,21.7257027,0.00345012
rand1bin,Ackley,SMCO_BR,50,22.06999457,0.01553984
rand1bin,Ackley,SMCO_BR,100,22.03412869,0.01311026
rand1bin,Ackley,SMCO_BR,200,21.97232981,0.02708793
rand1bin,Ackley,SMCO_BR,500,21.94777331,0.01524843
rand1bin,Ackley,SMCO_BR,1000,21.94129771,0.00968927
rand1bin,Ackley,SMCO_BR,2000,21.92156924,0.00343249
rand1bin,Ackley,SMCO_BR,3000,21.90992625,0.00253492
rand1bin,Ackley,SMCO_BR,4000,21.90941467,0.00302392
rand1bin,Ackley,SMCO_BR,5000,21.91259762,0.00350619
rand1bin,Ackley,SMCO_EVO,50,22.16175226,0.03307598
rand1bin,Ackley,SMCO_EVO,100,22.1478847,0.01747335
rand1bin,Ackley,SMCO_EVO,200,22.11989292,0.0131929
rand1bin,Ackley,SMCO_EVO,500,22.10894967,0.00562043
rand1bin,Ackley,SMCO_EVO,1000,22.11808487,0.0155162
rand1bin,Ackley,SMCO_EVO,2000,22.11583147,0.01167724
rand1bin,Ackley,SMCO_EVO,3000,22.08619358,0.00117069
