strategy,func,dim,algo,fopt_mean,time_mean,is_pareto,is_evo
rand1bin,Ackley,50,SMCO,21.63699628,5.88,0,False
rand1bin,Ackley,50,SMCO_BR_EVO,22.21172599,7.42,0,True
rand1bin,Ackley,50,DEoptim,21.83010022,25.84,0,False
rand1bin,Ackley,50,GD,22.01610799,5.4,0,False
rand1bin,Ackley,50,PSO,22.08361389,0.34,1,False
rand1bin,Ackley,50,ADAM,22.01612122,5.81,0,False
rand1bin,Ackley,500,GenSA,22.16463458,48.91,1,False
rand1bin,Ackley,500,SMCO_EVO,22.10894967,278.42,0,True
rand1bin,Ackley,500,SMCO_BR,21.94777331,289.37,0,False
rand1bin,Ackley,500,SMCO_R_EVO,22.16470134,277.36,1,True
rand1bin,Ackley,500,SA,22.03743133,179.3,0,False
rand1bin,Ackley,500,SMCO,21.36773333,272.32,0,False
rand1bin,Ackley,500,GA,21.53476824,1.88,0,False
rand1bin,Ackley,500,SMCO_R,21.9476101,280.74,0,False
rand1bin,Ackley,500,DEoptim,21.47007228,620.92,0,False
rand1bin,Ackley,500,SMCO_BR_EVO,22.18415327,280.07,1,True
rand1bin,Ackley,500,PSO,21.87354392,0.87,1,False
rand1bin,Ackley,5000,GenSA,21.7314873,2169.47,1,False
rand1bin,Ackley,5000,SMCO_EVO,22.11147899,31293.02,0,True
rand1bin,Ackley,5000,SMCO_BR,21.91259762,29562.76,1,False
rand1bin,Ackley,5000,SMCO_R_EVO,22.15293404,30009.94,0,True
rand1bin,Ackley,5000,SA,21.66547433,1217.26,0,False
rand1bin,Ackley,5000,SMCO,21.69704496,31540.94,0,False
rand1bin,Ackley,5000,GA,21.38560647,7.81,0,False
rand1bin,Ackley,5000,SMCO_R,21.7257027,31057.99,0,False
rand1bin,Ackley,5000,DEoptim,21.32833238,39610.19,0,False
rand1bin,Ackley,5000,SMCO_BR_EVO,22.18490993,29967.61,1,True
rand1bin,Ackley,5000,PSO,21.7214349,3.42,1,False
rand1bin,Griewank,100,GenSA,9001.0,6.95,0,False
rand1bin,Griewank,100,optimNM,3455.17997108,0.3,0,False
rand1bin,Griewank,100,SPSA,3418.85443243,0.29,0,False
rand1bin,Griewank,100,optimLBFGS,6051.5179853,5.72,0,False
rand1bin,Griewank,100,SMCO_EVO,8741.11846355,12.28,0,True
rand1bin,Griewank,100,SMCO_R_EVO,8568.8413522,11.79,0,True
rand1bin,Griewank,100,SA,9001.0,7.66,0,False
rand1bin,Griewank,100,SMCO_BR,8146.54301849,12.35,0,False
rand1bin,Griewank,100,BOBYQA,9001.0,503.47,1,False
rand1bin,Griewank,100,SMCO,8740.09630003,10.92,0,False
rand1bin,Griewank,100,GA,7833.49022911,0.82,0,False
rand1bin,Griewank,100,SignGD,3641.58411574,4.47,0,False
rand1bin,Griewank,100,SMCO_BR_EVO,8149.34328134,12.0,0,True
rand1bin,Griewank,100,SMCO_R,8565.92068992,13.23,0,False
rand1bin,Griewank,100,DEoptim,4549.27757778,63.94,0,False
rand1bin,Griewank,100,GD,4318.53161268,13.01,0,False
rand1bin,Griewank,100,PSO,9001.0,0.26,1,False
rand1bin,Griewank,100,ADAM,3464.14704555,12.21,0,False
rand1bin,Griewank,200,GenSA,18001.0,18.46,0,False
rand1bin,Griewank,200,optimNM,6748.12729224,1.03,0,False
rand1bin,Griewank,200,SPSA,6734.35211453,0.5,0,False
rand1bin,Griewank,200,optimLBFGS,8309.99951266,8.39,0,False
rand1bin,Griewank,200,SMCO_BR,15582.82164854,41.29,0,False
rand1bin,Griewank,200,SMCO_EVO,17224.57012777,40.95,0,True
rand1bin,Griewank,200,SA,18001.0,19.39,0,False
rand1bin,Griewank,200,SMCO_R_EVO,16723.67049014,41.44,0,True
rand1bin,Griewank,200,BOBYQA,18001.0,1183.5,1,False
rand1bin,Griewank,200,SignGD,7180.12809423,12.38,0,False
rand1bin,Griewank,200,GA,13845.08661474,1.01,0,False
rand1bin,Griewank,200,SMCO,17226.59242376,42.7,0,False
rand1bin,Griewank,200,SMCO_BR_EVO,15579.65369232,44.58,0,True
rand1bin,Griewank,200,SMCO_R,16732.05754061,43.81,0,False
rand1bin,Griewank,200,DEoptim,7992.15823964,167.47,0,False
rand1bin,Griewank,200,GD,8478.3754741,51.69,0,False
rand1bin,Griewank,200,PSO,18001.0,0.36,1,False
rand1bin,Griewank,200,ADAM,6823.04227198,48.91,0,False
rand1bin,Griewank,50,GenSA,4501.0,2.69,0,False
rand1bin,Griewank,50,optimNM,1893.46200496,0.23,1,False
rand1bin,Griewank,50,SMCO_EVO,4400.65907896,4.62,0,True
rand1bin,Griewank,50,SMCO_BR,4161.670566,4.69,0,False
rand1bin,Griewank,50,SPSA,1789.17989747,0.17,1,False
rand1bin,Griewank,50,optimLBFGS,4501.0,3.4,0,False
rand1bin,Griewank,50,SA,4501.0,3.47,0,False
rand1bin,Griewank,50,SMCO_R_EVO,4331.19851129,4.79,0,True
rand1bin,Griewank,50,BOBYQA,4501.0,125.68,1,False
rand1bin,Griewank,50,SignGD,1903.02860135,1.72,0,False
rand1bin,Griewank,50,SMCO_R,4332.10767341,4.32,0,False
rand1bin,Griewank,50,SMCO,4400.89200506,4.14,0,False
rand1bin,Griewank,50,GA,4252.25924766,0.67,0,False
rand1bin,Griewank,50,SMCO_BR_EVO,4160.22636653,5.09,0,True
rand1bin,Griewank,50,DEoptim,2632.15324533,26.74,0,False
rand1bin,Griewank,50,GD,2250.81817728,4.89,0,False
rand1bin,Griewank,50,PSO,4501.0,0.24,1,False
rand1bin,Griewank,50,ADAM,1812.40276489,5.83,0,False
rand1bin,Rastrigin,100,GenSA,4035.32901938,5.12,1,False
rand1bin,Rastrigin,100,optimNM,2115.50277644,0.37,0,False
rand1bin,Rastrigin,100,SPSA,3171.26815847,0.31,1,False
rand1bin,Rastrigin,100,optimLBFGS,2896.34551655,0.13,1,False
rand1bin,Rastrigin,100,SMCO_BR,3259.31062261,9.13,0,False
rand1bin,Rastrigin,100,SMCO_EVO,3261.53398029,8.98,0,True
rand1bin,Rastrigin,100,SMCO_R_EVO,3269.60914948,9.98,0,True
rand1bin,Rastrigin,100,SA,4034.39092278,21.1,0,False
rand1bin,Rastrigin,100,BOBYQA,2883.36658284,43.06,0,False
rand1bin,Rastrigin,100,SignGD,2949.96238462,3.69,0,False
rand1bin,Rastrigin,100,GA,2944.84156431,0.82,0,False
rand1bin,Rastrigin,100,SMCO,3268.52822567,9.33,0,False
rand1bin,Rastrigin,100,SMCO_R,3268.93924566,10.75,0,False
rand1bin,Rastrigin,100,SMCO_BR_EVO,3261.50566115,10.2,0,True
rand1bin,Rastrigin,100,DEoptim,2384.78720425,57.76,0,False
rand1bin,Rastrigin,100,GD,2902.69261042,1.77,0,False
rand1bin,Rastrigin,100,PSO,2980.09045883,0.26,1,False
