strategy,func,algo,spearman_rho,degradation_pct,fopt_at_base_dim,fopt_at_max_dim,base_dim,max_dim,n_dims,scalability
current-to-best1bin,Rastrigin,SMCO_BR_EVO,1.0,-8217.16,1712.82566,142458.489544,50,5000,9,good
current-to-best1bin,Rastrigin,GenSA,1.0,-9899.99,2017.66451,201766.212611,50,5000,9,good
current-to-best1bin,Rastrigin,SA,1.0,-7063.11,2016.659409,144455.596987,50,5000,9,good
current-to-best1bin,Rastrigin,DEoptim,1.0,-7156.79,1319.76308,95772.369844,50,5000,9,good
current-to-best1bin,Rastrigin,GA,1.0,-5547.9,1677.507048,94743.880538,50,5000,9,good
current-to-best1bin,Rastrigin,PSO,1.0,-9476.63,1513.664287,144957.970117,50,5000,9,good
current-to-best1bin,Ackley,SMCO,0.2833,-0.28,21.636996,21.697045,50,5000,9,good
current-to-best1bin,Ackley,SMCO_R,-0.9167,1.57,22.073094,21.725703,50,5000,9,poor
current-to-best1bin,Ackley,SMCO_BR,-0.95,0.71,22.069995,21.912598,50,5000,9,poor
current-to-best1bin,Ackley,SMCO_EVO,-0.8833,0.4,22.150625,22.060943,50,5000,9,poor
current-to-best1bin,Ackley,SMCO_R_EVO,-0.9167,0.34,22.188633,22.112141,50,5000,9,poor
current-to-best1bin,Ackley,SMCO_BR_EVO,-0.8833,0.13,22.18123,22.152044,50,5000,9,poor
current-to-best1bin,Ackley,GenSA,-1.0,2.55,22.299733,21.731487,50,5000,9,poor
current-to-best1bin,Ackley,SA,-1.0,1.81,22.065485,21.665474,50,5000,9,poor
current-to-best1bin,Ackley,DEoptim,-1.0,2.3,21.8301,21.328332,50,5000,9,poor
current-to-best1bin,Ackley,GA,-1.0,2.23,21.873338,21.385606,50,5000,9,poor
current-to-best1bin,Ackley,PSO,-0.9833,1.64,22.083614,21.721435,50,5000,9,poor
current-to-best1bin,Rosenbrock,SMCO,1.0,-6734.29,28590556.089247,1953961917.846948,50,5000,9,good
current-to-best1bin,Rosenbrock,SMCO_R,1.0,-6021.32,27764812.009917,1699574361.579336,50,5000,9,good
current-to-best1bin,Rosenbrock,SMCO_BR,1.0,-5004.37,25826421.538414,1318276891.845702,50,5000,9,good
current-to-best1bin,Rosenbrock,SMCO_EVO,1.0,-6736.55,28580313.287938,1953906656.35066,50,5000,9,good
current-to-best1bin,Rosenbrock,SMCO_R_EVO,1.0,-6265.53,27768828.653184,1767633840.916448,50,5000,9,good
current-to-best1bin,Rosenbrock,SMCO_BR_EVO,1.0,-5824.37,25824113.641585,1529914988.376526,50,5000,9,good
current-to-best1bin,Rosenbrock,GenSA,1.0,-10028.14,39986469.0,4049887419.0,50,5000,9,good
current-to-best1bin,Rosenbrock,SA,1.0,-9855.23,27331490.25,2720911801.5,50,5000,9,good
current-to-best1bin,Rosenbrock,DEoptim,1.0,-3590.61,19070985.766803,703836218.466324,50,5000,9,good
current-to-best1bin,Rosenbrock,GA,1.0,-3191.13,26248513.511949,863871393.409736,50,5000,9,good
current-to-best1bin,Rosenbrock,PSO,1.0,-8353.67,30841751.25,2607259441.5,50,5000,9,good
current-to-best1bin,Griewank,SMCO,1.0,-291.43,4400.892005,17226.592424,50,200,3,good
current-to-best1bin,Griewank,SMCO_R,1.0,-286.23,4332.107673,16732.057541,50,200,3,good
current-to-best1bin,Griewank,SMCO_BR,1.0,-274.44,4161.670566,15582.821649,50,200,3,good
current-to-best1bin,Griewank,SMCO_EVO,1.0,-291.44,4400.258437,17224.228719,50,200,3,good
current-to-best1bin,Griewank,SMCO_R_EVO,1.0,-286.14,4330.996753,16723.826078,50,200,3,good
current-to-best1bin,Griewank,SMCO_BR_EVO,1.0,-274.49,4160.105177,15579.36184,50,200,3,good
current-to-best1bin,Griewank,GenSA,1.0,-299.93,4501.0,18001.0,50,200,3,good
