evo_algo,func,dim,best_strategy,best_fopt,worst_strategy,worst_fopt,strategy_gap_pct
SMCO_R_EVO,Zakharov,100,best1bin,3.526370052594049e+17,sobol,3.5052787329684006e+17,0.6017
SMCO_R_EVO,Zakharov,200,current-to-best1bin,8.182450588926935e+19,sobol,8.123722670750595e+19,0.7229
SMCO_R_EVO,Zakharov,500,rand1bin,1.1005364578881726e+23,sobol,1.0970032264928559e+23,0.3221
SMCO_BR_EVO,Rastrigin,50,sobol,1713.224869,current-to-best1bin,1712.82566,0.0233
SMCO_BR_EVO,Rastrigin,100,rand1bin,3261.505661,sobol,3260.929737,0.0177
SMCO_BR_EVO,Rastrigin,200,rand1bin,6337.263047,current-to-best1bin,6336.711422,0.0087
SMCO_BR_EVO,Rastrigin,500,current-to-best1bin,14784.723364,sobol,14783.661395,0.0072
SMCO_BR_EVO,Rastrigin,1000,sobol,29126.721814,current-to-best1bin,29125.553585,0.004
SMCO_BR_EVO,Rastrigin,2000,rand1bin,57914.659633,current-to-best1bin,57911.570647,0.0053
SMCO_BR_EVO,Rastrigin,3000,current-to-best1bin,86031.645888,sobol,86022.921318,0.0101
SMCO_BR_EVO,Rastrigin,4000,current-to-best1bin,114319.866047,rand1bin,114315.021178,0.0042
SMCO_BR_EVO,Rastrigin,5000,sobol,142460.964118,current-to-best1bin,142458.489544,0.0017
SMCO_BR_EVO,Ackley,50,rand1bin,22.211726,sobol,22.072731,0.6297
SMCO_BR_EVO,Ackley,100,rand1bin,22.203861,sobol,22.033526,0.7731
SMCO_BR_EVO,Ackley,200,best1bin,22.201451,sobol,21.97709,1.0209
SMCO_BR_EVO,Ackley,500,rand1bin,22.184153,sobol,21.964939,0.998
SMCO_BR_EVO,Ackley,1000,rand1bin,22.192979,sobol,21.940278,1.1518
SMCO_BR_EVO,Ackley,2000,rand1bin,22.188212,sobol,21.922234,1.2133
SMCO_BR_EVO,Ackley,3000,rand1bin,22.177831,sobol,21.91459,1.2012
SMCO_BR_EVO,Ackley,4000,rand1bin,22.181004,sobol,21.928384,1.152
