strategy,pair,func,dim,improve_pct,time_overhead_pct,cost_benefit
rand1bin,SMCO_R_vs_SMCO_R_EVO,Zakharov,200,0.2736,3.39,0.0807
rand1bin,SMCO_R_vs_SMCO_R_EVO,Zakharov,500,0.3514,-4.67,inf
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,50,-0.0319,-2.98,inf
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,100,0.0673,11.66,0.0058
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,200,0.01,-1.35,inf
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,500,-0.0015,3.84,-0.0004
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,1000,-0.0,-7.12,inf
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,2000,0.005,-2.63,inf
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,3000,0.0036,3.93,0.0009
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,4000,0.0008,4.38,0.0002
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,5000,-0.0011,1.17,-0.0009
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,50,0.6422,29.84,0.0215
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,100,0.7703,-7.69,inf
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,200,1.0249,-5.86,inf
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,500,1.077,-3.21,inf
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,1000,1.1471,9.07,0.1265
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,2000,1.2163,-1.06,inf
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,3000,1.2228,1.86,0.6558
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,4000,1.2396,3.1,0.4002
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,5000,1.2427,1.37,0.9074
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,50,1.6217,-4.73,inf
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,100,0.3379,-6.82,inf
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,200,0.3667,-0.3,inf
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,500,3.8084,0.88,4.3319
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,1000,5.6153,2.17,2.5917
