task_id,algo,func,dim,rep,fopt,time,iterations,pair
47,SMCO_BR_EVO,Rastrigin,500,7,15175.452491504584,217.96043856209144,173,SMCO_BR_vs_SMCO_BR_EVO
5,SMCO_BR_EVO,Rastrigin,500,0,14724.71239778641,219.3855895139277,173,SMCO_BR_vs_SMCO_BR_EVO
48,SMCO_R,Rastrigin,500,8,14759.948301398355,143.96863993105944,173,SMCO_R_vs_SMCO_R_EVO
50,SMCO,Rastrigin,500,8,14744.240335626002,138.95040278404485,323,SMCO_vs_SMCO_EVO
54,SMCO_R,Rastrigin,500,9,14739.864708524728,144.30589998804498,173,SMCO_R_vs_SMCO_R_EVO
52,SMCO_BR,Rastrigin,500,8,14748.943151381609,156.9215694060549,98,SMCO_BR_vs_SMCO_BR_EVO
49,SMCO_R_EVO,Rastrigin,500,8,14759.965006108796,162.28590322402306,323,SMCO_R_vs_SMCO_R_EVO
53,SMCO_BR_EVO,Rastrigin,500,8,14749.546758152508,159.89913385198452,173,SMCO_BR_vs_SMCO_BR_EVO
51,SMCO_EVO,Rastrigin,500,8,14745.58152057635,166.1170999390306,323,SMCO_vs_SMCO_EVO
57,SMCO_EVO,Rastrigin,500,9,14725.33072230958,157.6305377219105,323,SMCO_vs_SMCO_EVO
56,SMCO,Rastrigin,500,9,14725.760343282927,165.31822957098484,323,SMCO_vs_SMCO_EVO
58,SMCO_BR,Rastrigin,500,9,14731.635655256314,173.4240209159907,98,SMCO_BR_vs_SMCO_BR_EVO
55,SMCO_R_EVO,Rastrigin,500,9,14739.84795663903,186.3983486139914,323,SMCO_R_vs_SMCO_R_EVO
59,SMCO_BR_EVO,Rastrigin,500,9,14728.030081710082,184.77596675395034,173,SMCO_BR_vs_SMCO_BR_EVO
60,SMCO_R,Ackley,500,0,21.964987173351005,249.522857250995,173,SMCO_R_vs_SMCO_R_EVO
61,SMCO_R_EVO,Ackley,500,0,22.149682297841554,248.16756810608786,323,SMCO_R_vs_SMCO_R_EVO
67,SMCO_R_EVO,Ackley,500,1,22.11222464317325,236.2062087940285,323,SMCO_R_vs_SMCO_R_EVO
62,SMCO,Ackley,500,0,21.3780396102968,252.58570402197074,323,SMCO_vs_SMCO_EVO
71,SMCO_BR_EVO,Ackley,500,1,22.146954224579826,246.16363202501088,173,SMCO_BR_vs_SMCO_BR_EVO
63,SMCO_EVO,Ackley,500,0,22.086590091907333,266.04255736793857,323,SMCO_vs_SMCO_EVO
65,SMCO_BR_EVO,Ackley,500,0,22.115749017315096,278.7611275940435,173,SMCO_BR_vs_SMCO_BR_EVO
70,SMCO_BR,Ackley,500,1,21.925720705952592,273.0435027189087,98,SMCO_BR_vs_SMCO_BR_EVO
77,SMCO_BR_EVO,Ackley,500,2,22.144679975910343,260.08227822196204,173,SMCO_BR_vs_SMCO_BR_EVO
64,SMCO_BR,Ackley,500,0,21.96476989905499,300.5357137590181,98,SMCO_BR_vs_SMCO_BR_EVO
68,SMCO,Ackley,500,1,21.337440068095805,293.1788409479195,323,SMCO_vs_SMCO_EVO
66,SMCO_R,Ackley,500,1,21.925363495733006,305.1726225069724,173,SMCO_R_vs_SMCO_R_EVO
75,SMCO_EVO,Ackley,500,2,22.077878478975336,280.72583505895454,323,SMCO_vs_SMCO_EVO
72,SMCO_R,Ackley,500,2,21.939311210967663,289.03486745094415,173,SMCO_R_vs_SMCO_R_EVO
69,SMCO_EVO,Ackley,500,1,22.058070958397824,305.740365389036,323,SMCO_vs_SMCO_EVO
74,SMCO,Ackley,500,2,21.352022992720947,297.31181691703387,323,SMCO_vs_SMCO_EVO
73,SMCO_R_EVO,Ackley,500,2,22.13855704915135,300.8115423339186,323,SMCO_R_vs_SMCO_R_EVO
84,SMCO_R,Ackley,500,4,21.96355289415044,292.9465446550166,173,SMCO_R_vs_SMCO_R_EVO
85,SMCO_R_EVO,Ackley,500,4,22.132806734085502,294.33825233997777,323,SMCO_R_vs_SMCO_R_EVO
91,SMCO_R_EVO,Ackley,500,5,22.116575371327674,291.4823796181008,323,SMCO_R_vs_SMCO_R_EVO
92,SMCO,Ackley,500,5,21.3379676704094,290.11249698896427,323,SMCO_vs_SMCO_EVO
78,SMCO_R,Ackley,500,3,21.952027691542558,300.51355930196587,173,SMCO_R_vs_SMCO_R_EVO
82,SMCO_BR,Ackley,500,3,21.951695984488016,299.17961581703275,98,SMCO_BR_vs_SMCO_BR_EVO
80,SMCO,Ackley,500,3,21.37440672000971,301.7974822749384,323,SMCO_vs_SMCO_EVO
83,SMCO_BR_EVO,Ackley,500,3,22.14658991324812,303.9977580748964,173,SMCO_BR_vs_SMCO_BR_EVO
86,SMCO,Ackley,500,4,21.37677915850735,301.4267973600654,323,SMCO_vs_SMCO_EVO
89,SMCO_BR_EVO,Ackley,500,4,22.16670913559643,302.81110428692773,173,SMCO_BR_vs_SMCO_BR_EVO
81,SMCO_EVO,Ackley,500,3,22.08143725561918,307.9884299680125,323,SMCO_vs_SMCO_EVO
90,SMCO_R,Ackley,500,5,21.925781059783617,304.99699903593864,173,SMCO_R_vs_SMCO_R_EVO
94,SMCO_BR,Ackley,500,5,21.930271525649193,303.1531513900263,98,SMCO_BR_vs_SMCO_BR_EVO
88,SMCO_BR,Ackley,500,4,21.96205522096987,313.08552634203807,98,SMCO_BR_vs_SMCO_BR_EVO
76,SMCO_BR,Ackley,500,2,21.93791494900118,322.96591649891343,98,SMCO_BR_vs_SMCO_BR_EVO
79,SMCO_R_EVO,Ackley,500,3,22.15967633805965,321.39462610601913,323,SMCO_R_vs_SMCO_R_EVO
87,SMCO_EVO,Ackley,500,4,22.07262678540149,317.92596094007604,323,SMCO_vs_SMCO_EVO
93,SMCO_EVO,Ackley,500,5,22.06532874763644,318.48307425691746,323,SMCO_vs_SMCO_EVO
95,SMCO_BR_EVO,Ackley,500,5,22.15346292361635,328.57484352204483,173,SMCO_BR_vs_SMCO_BR_EVO
96,SMCO_R,Ackley,500,6,21.936833702514758,273.69941186194774,173,SMCO_R_vs_SMCO_R_EVO
97,SMCO_R_EVO,Ackley,500,6,22.144094145733252,274.77999526797794,323,SMCO_R_vs_SMCO_R_EVO
99,SMCO_EVO,Ackley,500,6,22.0640143550407,253.91634546592832,323,SMCO_vs_SMCO_EVO
104,SMCO,Ackley,500,7,21.32725108362068,245.3097353989724,323,SMCO_vs_SMCO_EVO
100,SMCO_BR,Ackley,500,6,21.935296291856048,258.28637202095706,98,SMCO_BR_vs_SMCO_BR_EVO
101,SMCO_BR_EVO,Ackley,500,6,22.14203580278436,261.9529927839758,173,SMCO_BR_vs_SMCO_BR_EVO
103,SMCO_R_EVO,Ackley,500,7,22.123280348910928,265.60499072808307,323,SMCO_R_vs_SMCO_R_EVO
98,SMCO,Ackley,500,6,21.36078792711937,290.55152703495696,323,SMCO_vs_SMCO_EVO
102,SMCO_R,Ackley,500,7,21.96093566566374,284.38925730308983,173,SMCO_R_vs_SMCO_R_EVO
106,SMCO_BR,Ackley,500,7,21.960690071834566,267.6064450639533,98,SMCO_BR_vs_SMCO_BR_EVO
107,SMCO_BR_EVO,Ackley,500,7,22.13714438776279,262.91144898498897,173,SMCO_BR_vs_SMCO_BR_EVO
105,SMCO_EVO,Ackley,500,7,22.066395545687474,280.8562729640398,323,SMCO_vs_SMCO_EVO
121,SMCO_R_EVO,Rosenbrock,500,0,235930259.7916076,126.28021262097172,323,SMCO_R_vs_SMCO_R_EVO
125,SMCO_BR_EVO,Rosenbrock,500,0,200576132.98988134,129.13381260400638,173,SMCO_BR_vs_SMCO_BR_EVO
122,SMCO,Rosenbrock,500,0,253860116.3855525,146.83804458705708,323,SMCO_vs_SMCO_EVO
120,SMCO_R,Rosenbrock,500,0,236168426.29686427,153.37377322406974,173,SMCO_R_vs_SMCO_R_EVO
127,SMCO_R_EVO,Rosenbrock,500,1,228399779.85778433,132.76974709611386,323,SMCO_R_vs_SMCO_R_EVO
128,SMCO,Rosenbrock,500,1,245886812.13596684,132.8170376549242,323,SMCO_vs_SMCO_EVO
129,SMCO_EVO,Rosenbrock,500,1,246080775.0666628,145.56355463492218,323,SMCO_vs_SMCO_EVO
123,SMCO_EVO,Rosenbrock,500,0,253780211.53397596,155.50356193992775,323,SMCO_vs_SMCO_EVO
126,SMCO_R,Rosenbrock,500,1,228256024.43178207,152.48289924801793,173,SMCO_R_vs_SMCO_R_EVO
124,SMCO_BR,Rosenbrock,500,0,200917194.7289474,158.91832366597373,98,SMCO_BR_vs_SMCO_BR_EVO
136,SMCO_BR,Rosenbrock,500,2,192701931.57001066,140.177370314952,98,SMCO_BR_vs_SMCO_BR_EVO
130,SMCO_BR,Rosenbrock,500,1,193437351.87724447,151.62568671803456,98,SMCO_BR_vs_SMCO_BR_EVO
131,SMCO_BR_EVO,Rosenbrock,500,1,194385180.05079296,150.68566848698538,173,SMCO_BR_vs_SMCO_BR_EVO
134,SMCO,Rosenbrock,500,2,245178687.13777655,145.29968625598121,323,SMCO_vs_SMCO_EVO
132,SMCO_R,Rosenbrock,500,2,227743464.4980123,151.45589536300395,173,SMCO_R_vs_SMCO_R_EVO
133,SMCO_R_EVO,Rosenbrock,500,2,227840323.85248172,162.14666665391997,323,SMCO_R_vs_SMCO_R_EVO
135,SMCO_EVO,Rosenbrock,500,2,245080080.4803049,162.2541709940415,323,SMCO_vs_SMCO_EVO
140,SMCO,Rosenbrock,500,3,247519899.27738547,151.1334745399654,323,SMCO_vs_SMCO_EVO
137,SMCO_BR_EVO,Rosenbrock,500,2,192342759.98170197,161.82189936295617,173,SMCO_BR_vs_SMCO_BR_EVO
138,SMCO_R,Rosenbrock,500,3,229751530.56079483,160.9769813210005,173,SMCO_R_vs_SMCO_R_EVO
146,SMCO,Rosenbrock,500,4,243085485.481939,136.3573704540031,323,SMCO_vs_SMCO_EVO
141,SMCO_EVO,Rosenbrock,500,3,247673131.06409663,157.28679621207993,323,SMCO_vs_SMCO_EVO
139,SMCO_R_EVO,Rosenbrock,500,3,230159726.55699176,160.47329999797512,323,SMCO_R_vs_SMCO_R_EVO
145,SMCO_R_EVO,Rosenbrock,500,4,227402793.9619156,138.97132012201473,323,SMCO_R_vs_SMCO_R_EVO
142,SMCO_BR,Rosenbrock,500,3,195097931.65509978,156.07936281396542,98,SMCO_BR_vs_SMCO_BR_EVO
143,SMCO_BR_EVO,Rosenbrock,500,3,199746489.896388,153.1274322309764,173,SMCO_BR_vs_SMCO_BR_EVO
110,SMCO,Ackley,500,8,21.35437457284679,287.1632727640681,323,SMCO_vs_SMCO_EVO
108,SMCO_R,Ackley,500,8,21.916899416652782,298.8077657999238,173,SMCO_R_vs_SMCO_R_EVO
147,SMCO_EVO,Rosenbrock,500,4,243027530.63386905,152.08403603592888,323,SMCO_vs_SMCO_EVO
109,SMCO_R_EVO,Ackley,500,8,22.1350327468978,305.0404624090297,323,SMCO_R_vs_SMCO_R_EVO
