label,name,dim,maximize,n_replications,best_opt,algo,time_avg,rMSE,AE50,AE95,AE99,fopt_mean,fopt_sd
table2_Rastrigin_d200_max,Rastrigin,200,True,10,6443.991268163376,SMCO_EVO,30.56769007330295,124.59553223965924,102.57119594443611,194.75097649208982,198.29612265954043,6331.689546935928,56.885558247692984
table2_Rastrigin_d200_max,Rastrigin,200,True,10,6443.991268163376,SMCO_R_EVO,30.800074570800643,122.66037363448542,100.51552104600614,192.4626581945091,196.06705151956785,6333.824620184283,56.85143341496182
table2_Rastrigin_d200_max,Rastrigin,200,True,10,6443.991268163376,SMCO_BR_EVO,30.83826046300819,122.74859628806581,100.6133709929245,192.57387064476342,196.18091295810095,6333.724625587223,56.847607451593504
