label,name,dim,maximize,repetitions,iter_max,n_starts,seed,evolution_strategy,best_opt,algo,time_avg,rMSE,AE50,AE95,AE99,fopt_mean,fopt_sd
Ackley_10d,Ackley,10,False,20,300,10,20260828,best1bin,0.03153000336684686,SMCO,0.9411106331506744,0.20616559505386522,0.1930029793560184,0.25933842710544897,0.26371417808612735,0.23369173527927717,0.041484134368403834
Ackley_10d,Ackley,10,False,20,300,10,20260828,best1bin,0.03153000336684686,SMCO_BR,0.956887541746255,0.02694338815952947,0.027669215302811523,0.03539745390470746,0.035756985339105575,0.05730520075258196,0.008051502981069804
Ackley_10d,Ackley,10,False,20,300,10,20260828,best1bin,0.03153000336684686,SMCO_BR_EVO,0.952400283148745,0.025800186946582516,0.024130738560428355,0.03663448057509751,0.03718599164160036,0.05563570468694747,0.009434807355560206
Ackley_10d,Ackley,10,False,20,300,10,20260828,best1bin,0.03153000336684686,SMCO_EVO,0.9453864022449124,0.18924825903554157,0.1923372177372542,0.23208709988195633,0.2423910893329984,0.21701870872838508,0.038509653352782676
Ackley_10d,Ackley,10,False,20,300,10,20260828,best1bin,0.03153000336684686,SMCO_R,0.948557227398851,0.02205152661062768,0.021354880783476915,0.029506092517503826,0.030806930429749604,0.051999511298558065,0.008414840955611994
Ackley_10d,Ackley,10,False,20,300,10,20260828,best1bin,0.03153000336684686,SMCO_R_EVO,0.9472006038035033,0.02527285098191093,0.0260009613343275,0.03320848258642535,0.03454040512222768,0.056142661056432085,0.0058879071618447324
Bukin6_2d,Bukin6,2,False,20,300,10,20262028,best1bin,0.040159862668839495,SMCO,0.0843624984001508,0.14805875204145333,0.1269311017512406,0.26976603254578885,0.32241862806808574,0.1649648297902512,0.08172556282362199
Bukin6_2d,Bukin6,2,False,20,300,10,20262028,best1bin,0.040159862668839495,SMCO_BR,0.09280801079294179,0.10684152666150024,0.0991180891097874,0.16165129172183754,0.17538882666409505,0.13756744060957377,0.04503654164389113
Bukin6_2d,Bukin6,2,False,20,300,10,20262028,best1bin,0.040159862668839495,SMCO_BR_EVO,0.08750630379363429,0.07616990776850886,0.06040723356264806,0.12305082744997876,0.12827483232882317,0.10698747279326626,0.03749982981744905
Bukin6_2d,Bukin6,2,False,20,300,10,20262028,best1bin,0.040159862668839495,SMCO_EVO,0.08716849810734857,0.15261113442983995,0.11467994930053069,0.22664075319575863,0.3366194347023723,0.17425814454160835,0.0747473579940357
