label,name,dim,maximize,repetitions,iter_max,n_starts,seed,best_opt,algo,time_avg,rMSE,AE50,AE95,AE99,fopt_mean,fopt_sd
Eggholder_2d,Eggholder,2,False,20,300,10,20261928,-959.640662720851,SMCO,0.086592646050849,186.73520187011337,189.82392905889031,286.20212793498257,328.40481048543137,-800.7661856702298,100.67632429232978
Eggholder_2d,Eggholder,2,False,20,300,10,20261928,-959.640662720851,SMCO_R,0.09059034024830907,174.6270514362767,155.77373479173366,247.3217586531725,313.47096414951164,-812.1603193319413,95.93942939615778
Eggholder_2d,Eggholder,2,False,20,300,10,20261928,-959.640662720851,SMCO_BR,0.08970993084658403,161.38666502141092,168.8137432106472,242.9694427492305,242.97030051760942,-822.5021953038997,87.29078085560931
Eggholder_2d,Eggholder,2,False,20,300,10,20261928,-959.640662720851,SMCO_EVO,0.08611767170659732,157.1576811220942,105.1495747605461,257.20202498923527,269.3019107527141,-833.1891757547589,95.74394679086902
Eggholder_2d,Eggholder,2,False,20,300,10,20261928,-959.640662720851,SMCO_R_EVO,0.09120255120215007,115.43755281089663,65.06557351541875,208.80398360130974,236.1362052364544,-867.6149933443955,71.50343955498596
Eggholder_2d,Eggholder,2,False,20,300,10,20261928,-959.640662720851,SMCO_BR_EVO,0.09345511974242982,114.00631403838436,65.06442418856068,241.47415444291408,241.4741947023243,-877.2395992631916,80.83449225791723
Eggholder_2d,Eggholder,2,False,20,300,10,20261928,-959.640662720851,GD,0.07371626725362149,192.27981515047966,181.43072088223778,330.03328775293363,330.0400495743787,-799.6672842288539,109.44859638521432
Eggholder_2d,Eggholder,2,False,20,300,10,20261928,-959.640662720851,SignGD,0.027452668795012868,434.6376272555622,405.1552738088172,661.6051678073668,666.5393030262651,-558.7043402229978,172.1686209206805
Eggholder_2d,Eggholder,2,False,20,300,10,20261928,-959.640662720851,ADAM,0.09548336519510485,510.0248720629216,520.6842864330474,695.533899635684,729.9812715373613,-476.55419843153203,167.81204443080503
Eggholder_2d,Eggholder,2,False,20,300,10,20261928,-959.640662720851,SPSA,0.08826555935374927,417.2727554580113,365.1324118153555,656.2755864079221,693.0637493549015,-581.9801823066838,182.06162629540609
Eggholder_2d,Eggholder,2,False,20,300,10,20261928,-959.640662720851,optimLBFGS,0.01785458448866848,161.86057499759184,70.69153745512239,258.592712540838,315.7241276673708,-834.2594434760855,105.02328363020547
Eggholder_2d,Eggholder,2,False,20,300,10,20261928,-959.640662720851,optimNM,0.025690193302580155,169.10486376351037,104.56786955274839,249.76669591191936,345.3846678171244,-825.3082759130602,105.38782913349631
Eggholder_2d,Eggholder,2,False,20,300,10,20261928,-959.640662720851,BOBYQA,1.1074528913013637,173.65099673306233,155.77943514852234,247.80258697285979,313.566102550072,-814.2282058998206,97.38629573782323
Eggholder_2d,Eggholder,2,False,20,300,10,20261928,-959.640662720851,GenSA,0.04307614670251496,45.42618424717649,24.302711160617378,70.69153745415372,70.6915374555758,-924.2900604660502,29.26958427556711
Eggholder_2d,Eggholder,2,False,20,300,10,20261928,-959.640662720851,SA,0.42520305840589573,524.4546063687533,490.1366634684169,763.0445532498893,914.677170290191,-473.3301711570246,201.45455262939342
Eggholder_2d,Eggholder,2,False,20,300,10,20261928,-959.640662720851,DEoptim,0.06815207454783376,63.818473144736735,3.5539725086504177,73.95715865795367,209.1667619307655,-927.6773306769653,56.672121793772746
Eggholder_2d,Eggholder,2,False,20,300,10,20261928,-959.640662720851,GA,0.3061685311491601,177.80324478971067,157.8587787637057,253.9812984823188,352.8805853859143,-815.4011250866891,106.6669664291275
Eggholder_2d,Eggholder,2,False,20,300,10,20261928,-959.640662720851,PSO,0.04173421460436657,51.31392315246306,0.0,75.81269401051017,153.6542737156866,-934.1565111941185,45.695522414062886
