strategy,start_fraction,n_starts,algo,func,dim,rep,fopt,time,iterations,seed
rand1bin,4/5,25,SMCO,Rastrigin,1000,3,29348.976105416084,843.9289494191762,325,172460067
rand1bin,4/5,25,SMCO_R,Rastrigin,1000,3,29377.122250072924,846.3285809180234,175,172460067
rand1bin,1/2,16,SMCO,Ackley,1000,0,21.33147995465879,718.9141901170369,316,1120682288
rand1bin,1/2,16,SMCO_R,Ackley,1000,0,21.91298404476991,736.7968476631213,166,1120682288
rand1bin,3/4,24,SMCO,Rastrigin,1000,4,29124.420714641732,790.5168696029577,324,1626558576
rand1bin,3/4,24,SMCO_R,Rastrigin,1000,4,29154.139250845055,792.1396687182132,174,1626558576
rand1bin,3/4,24,SMCO_BR,Rastrigin,1000,4,29135.839470998086,821.2601650210563,99,1626558576
rand1bin,4/5,25,SMCO_BR,Rastrigin,1000,4,29119.037843586833,814.7359187810216,100,1626558576
rand1bin,4/5,25,SMCO,Rastrigin,1000,4,29104.162815289856,833.8266931851394,325,1626558576
rand1bin,1/2,16,SMCO_BR,Ackley,1000,0,21.93910850729053,783.8321011399385,91,1120682288
rand1bin,1/2,16,SMCO_R,Ackley,1000,1,21.93057217430326,724.0222633630037,166,1434004311
rand1bin,1/2,16,SMCO_BR,Ackley,1000,1,21.929358629664495,732.8474665312096,91,1434004311
rand1bin,1/2,16,SMCO,Ackley,1000,1,21.33869823816813,743.0807024999522,316,1434004311
rand1bin,4/5,25,SMCO_R,Rastrigin,1000,4,29133.918000669146,862.6348912171088,175,1626558576
rand1bin,2/3,21,SMCO_R,Ackley,1000,0,21.958981671396607,996.8791608179454,171,1120682288
rand1bin,2/3,21,SMCO_BR,Ackley,1000,0,21.94911781394686,1019.1831441989634,96,1120682288
rand1bin,2/3,21,SMCO_BR,Ackley,1000,1,21.937230662436715,952.1861740821041,96,1434004311
rand1bin,2/3,21,SMCO,Ackley,1000,0,21.35906225398079,1036.5094512300566,321,1120682288
rand1bin,2/3,21,SMCO_R,Ackley,1000,1,21.945884640585888,980.0801594001241,171,1434004311
rand1bin,2/3,21,SMCO,Ackley,1000,1,21.362994323703266,1014.4793059339281,321,1434004311
rand1bin,3/4,24,SMCO_BR,Ackley,1000,0,21.93903474093037,1084.6034496000502,99,1120682288
rand1bin,3/4,24,SMCO,Ackley,1000,0,21.328364657178682,1090.25197014492,324,1120682288
rand1bin,3/4,24,SMCO_R,Ackley,1000,0,21.91376157199014,1086.7012956079561,174,1120682288
rand1bin,4/5,25,SMCO_BR,Ackley,1000,0,21.939110863011063,1132.7555625510868,100,1120682288
rand1bin,4/5,25,SMCO_R,Ackley,1000,0,21.932402074329183,1152.5979852771852,175,1120682288
rand1bin,1/2,16,SMCO,Ackley,1000,2,21.33631625850268,768.0832714368589,316,531629005
rand1bin,1/2,16,SMCO_R,Ackley,1000,2,21.933203096778428,733.9201893089339,166,531629005
rand1bin,3/4,24,SMCO,Ackley,1000,1,21.361155207896267,1162.4701449719723,324,1434004311
rand1bin,4/5,25,SMCO,Ackley,1000,0,21.38812706081135,1215.2037527950015,325,1120682288
rand1bin,3/4,24,SMCO_R,Ackley,1000,1,21.920785226101625,1172.916434068,174,1434004311
rand1bin,1/2,16,SMCO_BR,Ackley,1000,2,21.933952105492722,782.9473459171131,91,531629005
rand1bin,3/4,24,SMCO_BR,Ackley,1000,1,21.929268330242135,1109.3780075020622,99,1434004311
rand1bin,4/5,25,SMCO_R,Ackley,1000,1,21.944034021226216,1122.2963557310868,175,1434004311
rand1bin,1/2,16,SMCO_R,Ackley,1000,3,21.90947352910507,734.2829634360969,166,1600534947
rand1bin,4/5,25,SMCO,Ackley,1000,1,21.408283830794765,1201.9273201478645,325,1434004311
rand1bin,1/2,16,SMCO,Ackley,1000,3,21.327715920266087,779.6503426581621,316,1600534947
rand1bin,1/2,16,SMCO_BR,Ackley,1000,3,21.91106931677022,770.2027138168924,91,1600534947
rand1bin,2/3,21,SMCO,Ackley,1000,2,21.33615961444855,999.7386472758371,321,531629005
rand1bin,2/3,21,SMCO_BR,Ackley,1000,2,21.94608663346164,982.1907386798412,96,531629005
rand1bin,2/3,21,SMCO_R,Ackley,1000,2,21.953765989726435,1004.2574298030231,171,531629005
rand1bin,1/2,16,SMCO_R,Rosenbrock,1000,0,463472975.7437159,319.7066069289576,166,1738798582
rand1bin,4/5,25,SMCO_BR,Ackley,1000,1,21.92928154550101,1203.559928667033,100,1434004311
rand1bin,1/2,16,SMCO,Rosenbrock,1000,0,489863593.21571004,338.564941134071,316,1738798582
rand1bin,1/2,16,SMCO_BR,Rosenbrock,1000,0,407504902.3004619,325.39467576588504,91,1738798582
rand1bin,2/3,21,SMCO,Ackley,1000,3,21.342008966281913,956.3143774899654,321,1600534947
rand1bin,3/4,24,SMCO_R,Ackley,1000,2,21.933053615895243,1158.4721891111694,174,531629005
rand1bin,2/3,21,SMCO_R,Ackley,1000,3,21.931569890376064,953.7943193581887,171,1600534947
rand1bin,3/4,24,SMCO,Ackley,1000,2,21.33710366574873,1184.9640451020095,324,531629005
rand1bin,1/2,16,SMCO,Ackley,1000,4,21.33937752625406,735.5809497509617,316,961780609
rand1bin,2/3,21,SMCO,Rosenbrock,1000,0,476552460.868057,395.29482013802044,321,1738798582
rand1bin,1/2,16,SMCO_BR,Ackley,1000,4,21.953745970916682,730.5300771452021,91,961780609
rand1bin,2/3,21,SMCO_BR,Ackley,1000,3,21.92400721565313,1013.9250605271664,96,1600534947
rand1bin,2/3,21,SMCO_R,Rosenbrock,1000,0,444655447.8089795,376.1126173560042,171,1738798582
rand1bin,4/5,25,SMCO_R,Ackley,1000,2,21.926966144291438,1132.2742784691509,175,531629005
rand1bin,3/4,24,SMCO_BR,Ackley,1000,2,21.93397077506007,1188.459882922005,99,531629005
rand1bin,4/5,25,SMCO,Ackley,1000,2,21.419244482317595,1202.911173665896,325,531629005
rand1bin,4/5,25,SMCO_BR,Ackley,1000,2,21.933990076502536,1132.970013851067,100,531629005
rand1bin,1/2,16,SMCO_R,Ackley,1000,4,21.953484415593135,792.0987942200154,166,961780609
rand1bin,2/3,21,SMCO_BR,Rosenbrock,1000,0,381039537.3108403,383.7169880690053,96,1738798582
rand1bin,3/4,24,SMCO_BR,Ackley,1000,3,21.925129368925262,1084.3133599320427,99,1600534947
rand1bin,3/4,24,SMCO_R,Ackley,1000,3,21.91466328735789,1092.2811670938972,174,1600534947
rand1bin,1/2,16,SMCO,Rosenbrock,1000,1,499724067.95621276,307.4563481658697,316,543623709
rand1bin,1/2,16,SMCO_R,Rosenbrock,1000,1,472919266.45804405,313.6031524138525,166,543623709
rand1bin,1/2,16,SMCO_BR,Rosenbrock,1000,1,415595021.484938,321.255401203176,91,543623709
rand1bin,3/4,24,SMCO,Rosenbrock,1000,0,469004977.2362024,455.43619831698015,324,1738798582
rand1bin,3/4,24,SMCO,Ackley,1000,3,21.31990363480421,1160.262071867939,324,1600534947
rand1bin,3/4,24,SMCO_R,Rosenbrock,1000,0,434790889.00250715,478.91664811992086,174,1738798582
rand1bin,3/4,24,SMCO_BR,Rosenbrock,1000,0,367151254.6534139,474.6683671330102,99,1738798582
rand1bin,4/5,25,SMCO,Rosenbrock,1000,0,466237596.4073061,478.56418379885145,325,1738798582
rand1bin,4/5,25,SMCO_R,Rosenbrock,1000,0,431278844.0905977,479.71306762401946,175,1738798582
rand1bin,4/5,25,SMCO,Ackley,1000,3,21.382541436007386,1222.794974210905,325,1600534947
rand1bin,4/5,25,SMCO_BR,Rosenbrock,1000,0,363359573.9155195,497.5736129821744,100,1738798582
rand1bin,2/3,21,SMCO,Rosenbrock,1000,1,485624241.11969906,423.847475937102,321,543623709
rand1bin,1/2,16,SMCO,Rosenbrock,1000,2,502215507.0993932,273.2552031399682,316,1350984772
rand1bin,2/3,21,SMCO_BR,Ackley,1000,4,21.956616167988255,953.7067005119752,96,961780609
rand1bin,1/2,16,SMCO_R,Rosenbrock,1000,2,476999045.13783956,274.0151332821697,166,1350984772
rand1bin,2/3,21,SMCO_R,Rosenbrock,1000,1,453552440.4402971,374.7750829830766,171,543623709
rand1bin,2/3,21,SMCO,Ackley,1000,4,21.37750152090685,1014.6200173560064,321,961780609
rand1bin,1/2,16,SMCO_BR,Rosenbrock,1000,2,421861609.9079614,314.3035550110508,91,1350984772
rand1bin,2/3,21,SMCO_BR,Rosenbrock,1000,1,388315695.70555365,403.2876927740872,96,543623709
rand1bin,3/4,24,SMCO,Rosenbrock,1000,1,482383559.0026892,432.93402549717575,324,543623709
rand1bin,2/3,21,SMCO_R,Ackley,1000,4,21.96592614142608,1045.4912407819647,171,961780609
rand1bin,4/5,25,SMCO_R,Ackley,1000,3,21.93349109043565,1167.7450458449312,175,1600534947
rand1bin,3/4,24,SMCO_BR,Rosenbrock,1000,1,378195411.26814675,419.48508161795326,99,543623709
rand1bin,2/3,21,SMCO_R,Rosenbrock,1000,2,458890405.8894156,369.4052717140876,171,1350984772
rand1bin,3/4,24,SMCO_R,Rosenbrock,1000,1,447473759.38794863,454.9890718208626,174,543623709
rand1bin,2/3,21,SMCO,Rosenbrock,1000,2,489200328.3079891,389.70599957485683,321,1350984772
rand1bin,3/4,24,SMCO,Ackley,1000,4,21.340200169288103,1103.0424669589847,324,961780609
rand1bin,4/5,25,SMCO,Rosenbrock,1000,1,480125128.86349404,455.1540811478626,325,543623709
rand1bin,4/5,25,SMCO_R,Rosenbrock,1000,1,444335466.3911028,445.63839624496177,175,543623709
rand1bin,1/2,16,SMCO,Rosenbrock,1000,3,496708968.62198603,305.4822778881062,316,1782911400
rand1bin,1/2,16,SMCO_R,Rosenbrock,1000,3,470990591.2770821,304.29861279786564,166,1782911400
rand1bin,2/3,21,SMCO_BR,Rosenbrock,1000,2,396087656.44300854,412.39466240792535,96,1350984772
rand1bin,3/4,24,SMCO,Rosenbrock,1000,2,482599195.3913019,416.66815239493735,324,1350984772
rand1bin,4/5,25,SMCO_BR,Rosenbrock,1000,1,373942744.8739994,465.8085526369978,100,543623709
rand1bin,1/2,16,SMCO_BR,Rosenbrock,1000,3,414901715.24970233,300.0660334841814,91,1782911400
rand1bin,3/4,24,SMCO_R,Ackley,1000,4,21.953337634284047,1093.4128231059294,174,961780609
rand1bin,3/4,24,SMCO_R,Rosenbrock,1000,2,449587560.5909604,404.4952980130911,174,1350984772
rand1bin,3/4,24,SMCO_BR,Rosenbrock,1000,2,383151094.51846755,412.70677234302275,99,1350984772
rand1bin,3/4,24,SMCO_BR,Ackley,1000,4,21.953671902921567,1101.0987825710326,99,961780609
rand1bin,4/5,25,SMCO_BR,Ackley,1000,3,21.92516313966692,1271.0401812610216,100,1600534947
rand1bin,1/2,16,SMCO,Rosenbrock,1000,4,497616881.68580556,233.20747893094085,316,547454240
rand1bin,4/5,25,SMCO,Rosenbrock,1000,2,480447572.5428879,436.8241619239561,325,1350984772
rand1bin,4/5,25,SMCO_R,Ackley,1000,4,21.94069018044258,1097.2874458150472,175,961780609
rand1bin,4/5,25,SMCO_R,Rosenbrock,1000,2,446604742.38798934,432.47577533707954,175,1350984772
rand1bin,2/3,21,SMCO,Rosenbrock,1000,3,490875865.04641056,367.18014677404426,321,1782911400
rand1bin,4/5,25,SMCO_BR,Rosenbrock,1000,2,379118695.07853055,448.82534673507325,100,1350984772
rand1bin,1/2,16,SMCO_BR,Rosenbrock,1000,4,414330153.8098538,251.52239231811836,91,547454240
rand1bin,2/3,21,SMCO_R,Rosenbrock,1000,3,458245618.51808894,361.64937849901617,171,1782911400
rand1bin,1/2,16,SMCO_R,Rosenbrock,1000,4,471294412.6498375,280.35549068893306,166,547454240
rand1bin,4/5,25,SMCO,Ackley,1000,4,21.406194734819568,1173.1491097081453,325,961780609
rand1bin,2/3,21,SMCO_BR,Rosenbrock,1000,3,392167510.4042104,362.5933836409822,96,1782911400
