label,name,dim,direction,algo,rMSE,AE99,time_avg,source
table1_Ackley_d2_max,Ackley,2,max,SMCO,0.19240993431313574,0.40547102073701186,0.04235670742869843,result/comparison-rerun-2026-05-13
table1_Ackley_d2_max,Ackley,2,max,SMCO_R,0.12118914055555555,0.26947918702852136,0.041476201841374856,result/comparison-rerun-2026-05-13
table1_Ackley_d2_max,Ackley,2,max,GD,2.2233858344651765,8.8134207284341,0.019151499944156967,result/comparison-rerun-2026-05-13
table1_Ackley_d2_max,Ackley,2,max,SignGD,2.416226777250922,10.066435760837878,0.03527633025788236,result/comparison-rerun-2026-05-13
table1_Ackley_d2_max,Ackley,2,max,ADAM,2.416175820133481,10.066435757927506,0.016001106875017285,result/comparison-rerun-2026-05-13
table1_Ackley_d2_max,Ackley,2,max,SPSA,2.414565159762674,10.067763397809403,0.0076277576842112465,result/comparison-rerun-2026-05-13
table1_Ackley_d2_max,Ackley,2,max,optimLBFGS,2.04312956789167,8.800794725829565,0.0021639717085054143,result/comparison-rerun-2026-05-13
table1_Ackley_d2_max,Ackley,2,max,BOBYQA,2.3306644845855704,9.030350394405241,0.0334151387414895,result/comparison-rerun-2026-05-13
table1_Ackley_d2_min,Ackley,2,min,SMCO,0.04461221366561804,0.12974824004382193,0.04226039522560313,result/comparison-rerun-2026-05-13
table1_Ackley_d2_min,Ackley,2,min,SMCO_R,0.04335433845808843,0.08167068300520401,0.041773843783070336,result/comparison-rerun-2026-05-13
table1_Ackley_d2_min,Ackley,2,min,GD,18.71434083402795,20.844255276760137,0.0185298262067372,result/comparison-rerun-2026-05-13
table1_Ackley_d2_min,Ackley,2,min,SignGD,18.774507364109493,20.843966353558233,0.03595211119879969,result/comparison-rerun-2026-05-13
table1_Ackley_d2_min,Ackley,2,min,ADAM,18.773803939710817,20.843966353670098,0.016099669400253334,result/comparison-rerun-2026-05-13
table1_Ackley_d2_min,Ackley,2,min,SPSA,18.78934810507115,20.844251736417693,0.0016892863502725958,result/comparison-rerun-2026-05-13
table1_Ackley_d2_min,Ackley,2,min,optimLBFGS,18.29004742757964,20.88602230215039,0.002790387595654465,result/comparison-rerun-2026-05-13
table1_Ackley_d2_min,Ackley,2,min,BOBYQA,18.77267698039605,20.844250837456705,0.034712220305460506,result/comparison-rerun-2026-05-13
table1_Griewank_d2_max,Griewank,2,max,SMCO,0.6635717285162125,1.0954471841701832,0.032826107664383014,result/comparison-rerun-2026-05-13
table1_Griewank_d2_max,Griewank,2,max,SMCO_R,0.19884166112886603,0.4099582839950813,0.03291750663798303,result/comparison-rerun-2026-05-13
table1_Griewank_d2_max,Griewank,2,max,GD,125.6036656111392,177.07947137201333,0.024389854260953144,result/comparison-rerun-2026-05-13
table1_Griewank_d2_max,Griewank,2,max,SignGD,125.6000733179228,177.0794643522088,0.025523281650384887,result/comparison-rerun-2026-05-13
table1_Griewank_d2_max,Griewank,2,max,ADAM,125.61057217338102,177.07946435983095,0.029704682575888,result/comparison-rerun-2026-05-13
table1_Griewank_d2_max,Griewank,2,max,SPSA,126.07143763895341,177.78794673853415,0.025327072593267077,result/comparison-rerun-2026-05-13
table1_Griewank_d2_max,Griewank,2,max,optimLBFGS,122.18718207609439,177.07946435568977,0.0021546274588909,result/comparison-rerun-2026-05-13
table1_Griewank_d2_max,Griewank,2,max,BOBYQA,125.54229577989472,177.07946435220663,0.04413090112153441,result/comparison-rerun-2026-05-13
table1_Griewank_d2_min,Griewank,2,min,SMCO,0.014643355052381471,0.036278839297591466,0.03183917284407653,result/comparison-rerun-2026-05-13
table1_Griewank_d2_min,Griewank,2,min,SMCO_R,0.016895630843275427,0.047392990835346455,0.031425644665025176,result/comparison-rerun-2026-05-13
table1_Griewank_d2_min,Griewank,2,min,GD,71.63373445385996,161.48490239787895,0.023011537776561453,result/comparison-rerun-2026-05-13
table1_Griewank_d2_min,Griewank,2,min,SignGD,71.62407815422974,161.4840325842595,0.024352648111060263,result/comparison-rerun-2026-05-13
table1_Griewank_d2_min,Griewank,2,min,ADAM,71.62382468999827,161.4840350435206,0.028109784395433962,result/comparison-rerun-2026-05-13
table1_Griewank_d2_min,Griewank,2,min,SPSA,72.00050256017892,161.61761877304906,0.02418128097197041,result/comparison-rerun-2026-05-13
table1_Griewank_d2_min,Griewank,2,min,optimLBFGS,68.10106521663636,159.96589927396357,0.0021634061180520804,result/comparison-rerun-2026-05-13
table1_Griewank_d2_min,Griewank,2,min,BOBYQA,71.4509235544122,161.48403258373762,0.04304569640383124,result/comparison-rerun-2026-05-13
table1_Michalewicz_d2_max,Michalewicz,2,max,SMCO,2.368158922636814e-40,3.8744151317471106e-45,0.018264655171078628,result/comparison-rerun-2026-05-13
table1_Michalewicz_d2_max,Michalewicz,2,max,SMCO_R,6.820165719984403e-40,1.2666971397870813e-58,0.018410912314080635,result/comparison-rerun-2026-05-13
table1_Michalewicz_d2_max,Michalewicz,2,max,GD,9.282031793690863e-06,7.009962014447757e-06,0.013767574234399945,result/comparison-rerun-2026-05-13
table1_Michalewicz_d2_max,Michalewicz,2,max,SignGD,3.7654784709292506e-41,5.095665717376968e-46,0.012084606497199274,result/comparison-rerun-2026-05-13
table1_Michalewicz_d2_max,Michalewicz,2,max,ADAM,0.00011549215892884218,0.00038360239151092115,0.03475378283089958,result/comparison-rerun-2026-05-13
table1_Michalewicz_d2_max,Michalewicz,2,max,SPSA,0.0015964370592460118,0.00892280068120753,0.018126326843048445,result/comparison-rerun-2026-05-13
table1_Michalewicz_d2_max,Michalewicz,2,max,optimLBFGS,3.3824979356205436e-06,1.6891362412777192e-05,0.0012023314147954806,result/comparison-rerun-2026-05-13
table1_Michalewicz_d2_max,Michalewicz,2,max,BOBYQA,7.37236862332652e-21,8.587745850448767e-22,0.05907299477269407,result/comparison-rerun-2026-05-13
table1_Michalewicz_d2_min,Michalewicz,2,min,SMCO,3.3887125590123715e-06,1.2024081044597052e-05,0.03627257998369168,result/comparison-rerun-2026-05-13
table1_Michalewicz_d2_min,Michalewicz,2,min,SMCO_R,6.350961698832853e-06,1.5717446963892102e-05,0.03603852523386013,result/comparison-rerun-2026-05-13
table1_Michalewicz_d2_min,Michalewicz,2,min,GD,1.2870472395682286,1.8013034100985534,0.008527213949011639,result/comparison-rerun-2026-05-13
table1_Michalewicz_d2_min,Michalewicz,2,min,SignGD,0.7142365558115843,1.3885473228307263,0.03230264797876589,result/comparison-rerun-2026-05-13
table1_Michalewicz_d2_min,Michalewicz,2,min,ADAM,0.880382537415388,1.8013034100985534,0.013765417146962135,result/comparison-rerun-2026-05-13
table1_Michalewicz_d2_min,Michalewicz,2,min,SPSA,1.336320020579037,1.8013034100985534,0.0031629194120178,result/comparison-rerun-2026-05-13
table1_Michalewicz_d2_min,Michalewicz,2,min,optimLBFGS,1.2385834896994612,1.8013034100985534,0.0017564110754756258,result/comparison-rerun-2026-05-13
table1_Michalewicz_d2_min,Michalewicz,2,min,BOBYQA,0.8883866327048788,1.8013034100985534,0.042114037249120884,result/comparison-rerun-2026-05-13
table1_Rastrigin_d2_max,Rastrigin,2,max,SMCO,2.954606979769243,10.848304793995977,0.02609364932065364,result/comparison-rerun-2026-05-13
table1_Rastrigin_d2_max,Rastrigin,2,max,SMCO_R,2.1879471463398867,8.040880709784682,0.026323095195461065,result/comparison-rerun-2026-05-13
table1_Rastrigin_d2_max,Rastrigin,2,max,GD,21.170656147430535,29.102135894198025,0.0008914888210128992,result/comparison-rerun-2026-05-13
table1_Rastrigin_d2_max,Rastrigin,2,max,SignGD,26.278606474832472,40.20403459034147,0.02266747671959456,result/comparison-rerun-2026-05-13
table1_Rastrigin_d2_max,Rastrigin,2,max,ADAM,26.27551051984146,40.20403440987562,0.010416040824493393,result/comparison-rerun-2026-05-13
table1_Rastrigin_d2_max,Rastrigin,2,max,SPSA,15.55435299498326,31.580086076217306,0.006110109395696782,result/comparison-rerun-2026-05-13
table1_Rastrigin_d2_max,Rastrigin,2,max,optimLBFGS,21.754083036320583,25.540229307306817,0.0008424249332165346,result/comparison-rerun-2026-05-13
table1_Rastrigin_d2_max,Rastrigin,2,max,BOBYQA,26.342013254690478,40.20403474450173,0.03242303320940118,result/comparison-rerun-2026-05-13
table1_Rastrigin_d2_min,Rastrigin,2,min,SMCO,0.11775372960897101,0.9949663661601242,0.026302000173251145,result/comparison-rerun-2026-05-13
table1_Rastrigin_d2_min,Rastrigin,2,min,SMCO_R,0.18353049170681712,0.9954191362890207,0.026115263521205634,result/comparison-rerun-2026-05-13
table1_Rastrigin_d2_min,Rastrigin,2,min,GD,22.008145069901765,42.34948276397488,0.011931214288226329,result/comparison-rerun-2026-05-13
table1_Rastrigin_d2_min,Rastrigin,2,min,SignGD,21.090295283283503,49.74744590490608,0.0229582969637122,result/comparison-rerun-2026-05-13
table1_Rastrigin_d2_min,Rastrigin,2,min,ADAM,21.08677544206298,49.74744587133612,0.010443133946158924,result/comparison-rerun-2026-05-13
table1_Rastrigin_d2_min,Rastrigin,2,min,SPSA,11.211386884737315,44.177760324977314,0.007572327359230258,result/comparison-rerun-2026-05-13
table1_Rastrigin_d2_min,Rastrigin,2,min,optimLBFGS,17.862100955696846,49.747445869084494,0.002374456562567502,result/comparison-rerun-2026-05-13
table1_Rastrigin_d2_min,Rastrigin,2,min,BOBYQA,21.157591365511312,49.74744630502515,0.03362182880949695,result/comparison-rerun-2026-05-13
table1_Ackley_d2_max,Ackley,2,max,SMCO_BR,0.11369764071314156,0.23995265984345995,0.04338057624734938,result/comparison-targeted-br-gensa-2026-05-14
table1_Ackley_d2_max,Ackley,2,max,GenSA,0.001399886427466968,0.006540334515715784,0.09051197735941968,result/comparison-targeted-br-gensa-2026-05-14
table1_Ackley_d2_min,Ackley,2,min,SMCO_BR,0.0490569476367687,0.09418490175878885,0.04318732753326185,result/comparison-targeted-br-gensa-2026-05-14
