label,name,dim,direction,algo,rMSE,AE99,time_avg,source
table2_Michalewicz_d200_min,Michalewicz,200,min,SMCO_BR_old,13.680420910825044,15.151882784917664,143.1209999835002,result/comparison-rerun-2026-05-13-d200
table2_Michalewicz_d200_min,Michalewicz,200,min,GenSA,0.23296171866813395,0.3807341702184204,52.72237764858873,result/comparison-rerun-2026-05-13-d200
table2_Michalewicz_d200_min,Michalewicz,200,min,SA,100.12393320443618,106.10051980791994,3025.699237660307,result/comparison-rerun-2026-05-13-d200
table2_Michalewicz_d200_min,Michalewicz,200,min,DEoptim,150.7286000939835,152.23121487489135,173.15589542719536,result/comparison-rerun-2026-05-13-d200
table2_Michalewicz_d200_min,Michalewicz,200,min,GA,160.85214185037168,163.14061257190752,1.2924565589870327,result/comparison-rerun-2026-05-13-d200
table2_Michalewicz_d200_min,Michalewicz,200,min,PSO,133.63134197422045,150.27005967586723,0.6228455961216242,result/comparison-rerun-2026-05-13-d200
table2_Rastrigin_d200_max,Rastrigin,200,max,SMCO,1745.2334754009003,1785.341386905281,28.575080767582403,result/comparison-rerun-2026-05-13-d200
table2_Rastrigin_d200_max,Rastrigin,200,max,SMCO_R,1743.091896526452,1783.1226093221812,28.543819244304906,result/comparison-rerun-2026-05-13-d200
table2_Rastrigin_d200_max,Rastrigin,200,max,SMCO_BR_old,1743.0842048485326,1783.0999965439505,57.11711520629469,result/comparison-rerun-2026-05-13-d200
table2_Rastrigin_d200_max,Rastrigin,200,max,GenSA,1.087253918688505e-09,2.7761780074797575e-09,11.07006598849548,result/comparison-rerun-2026-05-13-d200
table2_Rastrigin_d200_max,Rastrigin,200,max,SA,2354.907689038722,2491.1276877277182,711.0038255894033,result/comparison-rerun-2026-05-13-d200
table2_Rastrigin_d200_max,Rastrigin,200,max,DEoptim,3623.389431926098,3685.8217135502455,150.34203860490234,result/comparison-rerun-2026-05-13-d200
table2_Rastrigin_d200_max,Rastrigin,200,max,GA,3887.0443983241007,3944.7076365593402,0.8909358942939434,result/comparison-rerun-2026-05-13-d200
table2_Rastrigin_d200_max,Rastrigin,200,max,PSO,2173.807809875729,2194.286681866047,0.26630167349940165,result/comparison-rerun-2026-05-13-d200
table2_Rastrigin_d200_min,Rastrigin,200,min,SMCO,319.2047009436424,347.3810961496697,28.311152218899224,result/comparison-rerun-2026-05-13-d200
table2_Rastrigin_d200_min,Rastrigin,200,min,SMCO_R,319.25759626749806,350.9840155393988,28.350183208205273,result/comparison-rerun-2026-05-13-d200
table2_Rastrigin_d200_min,Rastrigin,200,min,SMCO_BR_old,319.6148245060914,353.89134425971866,56.97330996511155,result/comparison-rerun-2026-05-13-d200
table2_Rastrigin_d200_min,Rastrigin,200,min,GenSA,7.050783985801647e-12,1.3915268937125803e-11,13.54186851089471,result/comparison-rerun-2026-05-13-d200
table2_Rastrigin_d200_min,Rastrigin,200,min,SA,1731.934677907161,1937.212270516612,583.3518957253021,result/comparison-rerun-2026-05-13-d200
table2_Rastrigin_d200_min,Rastrigin,200,min,DEoptim,2004.932775879271,2053.434362490655,149.7534855434904,result/comparison-rerun-2026-05-13-d200
table2_Rastrigin_d200_min,Rastrigin,200,min,GA,2773.5146174494334,2911.6883637295196,0.8992815166944638,result/comparison-rerun-2026-05-13-d200
table2_Rastrigin_d200_min,Rastrigin,200,min,PSO,1873.4695402130417,2019.8348448631705,0.280776698992122,result/comparison-rerun-2026-05-13-d200
table2_Ackley_d200_max,Ackley,200,max,SMCO_BR,0.062119112163883126,0.09026553433131781,48.89407901540399,result/comparison-targeted-br-gensa-2026-05-14
table2_Ackley_d200_min,Ackley,200,min,SMCO_BR,0.0032331820092002363,0.004862525702277374,47.75030395708745,result/comparison-targeted-br-gensa-2026-05-14
table2_Griewank_d200_max,Griewank,200,max,SMCO_BR,115.22516880557414,157.82053285120557,36.96542301320005,result/comparison-targeted-br-gensa-2026-05-14
table2_Griewank_d200_min,Griewank,200,min,SMCO_BR,0.017191939313705017,0.030499676254680926,34.498236899706534,result/comparison-targeted-br-gensa-2026-05-14
table2_Michalewicz_d200_max,Michalewicz,200,max,SMCO_BR,4.837533093970461e-13,6.961274947975579e-13,61.01490223211003,result/comparison-targeted-br-gensa-2026-05-14
table2_Michalewicz_d200_min,Michalewicz,200,min,SMCO_BR,1.5853974587403394,2.769357151512466,76.79567864610581,result/comparison-targeted-br-gensa-2026-05-14
table2_Rastrigin_d200_max,Rastrigin,200,max,SMCO_BR,220.27177810382236,282.79379081749636,30.396198537782766,result/comparison-targeted-br-gensa-2026-05-14
table2_Rastrigin_d200_min,Rastrigin,200,min,SMCO_BR,61.09651109749808,97.66797967319141,30.131854423403276,result/comparison-targeted-br-gensa-2026-05-14
