strategy,pair,func,dim,base_std,evo_std,base_cv_pct,evo_cv_pct,std_ratio,evo_more_stable
best1bin,SMCO_vs_SMCO_EVO,Ackley,100,0.04720167767411756,0.02527120354839109,0.21918369784109984,0.11413470639783849,0.5353878250443677,1
best1bin,SMCO_vs_SMCO_EVO,Ackley,1000,0.013364542590192896,0.006002440809895802,0.06257761072347288,0.02716111593082706,0.4491317805594397,1
best1bin,SMCO_vs_SMCO_EVO,Ackley,200,0.027874071254363426,0.016963982834163335,0.13014185196021133,0.0767233726703692,0.6085936524793729,1
best1bin,SMCO_vs_SMCO_EVO,Ackley,2000,0.006431051740783011,0.008299839120281788,0.030034477446189797,0.03754808785491722,1.2905881424725163,0
best1bin,SMCO_vs_SMCO_EVO,Ackley,3000,0.0035682364805552673,0.018643425146294496,0.016571618919797207,0.08443620269229951,5.224828916998606,0
best1bin,SMCO_vs_SMCO_EVO,Ackley,4000,0.0026025262831285228,0.017395727278975325,0.012012586409301878,0.0787521182510104,6.6841696822610945,0
best1bin,SMCO_vs_SMCO_EVO,Ackley,50,0.039608831130713985,0.022568393983427602,0.1830606735901151,0.10183093398036121,0.5697818728593415,1
best1bin,SMCO_vs_SMCO_EVO,Ackley,500,0.01603145793238707,0.00670756585133376,0.07502647885510784,0.03035596705166174,0.4184002403039715,1
best1bin,SMCO_vs_SMCO_EVO,Ackley,5000,0.0036795236739315634,0.016117010923803684,0.016958639673821996,0.07293033094401451,4.380189489739766,0
best1bin,SMCO_vs_SMCO_EVO,Griewank,100,8.42755298256758,5.620003576135052,0.09642402890390658,0.06429417901083011,0.6668606637964837,1
best1bin,SMCO_vs_SMCO_EVO,Griewank,200,12.774118779968944,13.805512517400397,0.0741534858765732,0.08015170224706329,1.0807408914224892,0
best1bin,SMCO_vs_SMCO_EVO,Griewank,50,5.904611855805622,5.711062861867137,0.13416852422241748,0.1297808085289618,0.9672207083776081,1
best1bin,SMCO_vs_SMCO_EVO,Rastrigin,100,41.54759579646438,44.87162208620216,1.2711407987893288,1.3757647761896459,1.080005262061894,0
best1bin,SMCO_vs_SMCO_EVO,Rastrigin,1000,141.88767118775237,142.29818301826012,0.48741956744412124,0.48883704512448534,1.0028932170573477,0
best1bin,SMCO_vs_SMCO_EVO,Rastrigin,200,65.48378906504749,65.51713882669688,1.0332424809012146,1.0337763775837439,1.0005092827114244,0
best1bin,SMCO_vs_SMCO_EVO,Rastrigin,2000,215.46586719506854,218.03769757880207,0.3722543597234711,0.3766850150103266,1.0119361382719851,0
best1bin,SMCO_vs_SMCO_EVO,Rastrigin,3000,26.78539022317753,14.22798555882795,0.03113814854017134,0.016538757585423513,0.5311845539781013,1
best1bin,SMCO_vs_SMCO_EVO,Rastrigin,4000,234.33160425472224,236.60886495609873,0.2049957728006647,0.20697987670965498,1.00971811168459,0
best1bin,SMCO_vs_SMCO_EVO,Rastrigin,50,31.961785810345667,29.682064490169115,1.867333069528839,1.7322077620631342,0.9286735311442256,1
best1bin,SMCO_vs_SMCO_EVO,Rastrigin,500,67.19184402636769,67.45848745230192,0.4546178455728818,0.45642717866849297,1.0039683897621503,0
best1bin,SMCO_vs_SMCO_EVO,Rastrigin,5000,194.88279805421254,221.06656363687858,0.13679986620018658,0.15520817053887512,1.134356473963301,0
best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,100,1678805.4878597786,1663094.6215566483,3.073040554680166,3.035949867410823,0.9906416398941135,1
best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,1000,2712843.2105423748,2643318.9820067342,0.5854353104374945,0.5703644791832692,0.9743721906723313,1
best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,200,1790986.633885248,1773727.9518339054,1.736722250993466,1.7197250345533655,0.9903635896969801,1
best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,2000,6089094.399197151,6239990.871614101,0.7005017107122344,0.7180348815709361,1.0247814309524987,0
best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,3000,1018451.972388438,1392657.82472092,0.08215158354135967,0.1123668309720561,1.3674261157891496,0
best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,4000,5187853.9367573485,3835610.808947776,0.32391476762996196,0.23856924491383022,0.739344410175359,1
best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,50,1143423.4365575619,1198967.836202588,3.999304640974071,4.164851424662346,1.0485772793080492,0
best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,500,2673938.4339337614,2763239.7486902224,1.0971621634136586,1.1338427870023964,1.0333969225406157,0
best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,5000,3915142.6489223037,63651980.00870523,0.20036944492942632,3.1142485013451995,16.257895488489112,0
best1bin,SMCO_vs_SMCO_EVO,Zakharov,100,1250349683025672.0,1622417446257678.8,0.33550950449183814,0.43428430110397653,1.2975709661729626,0
best1bin,SMCO_vs_SMCO_EVO,Zakharov,200,2.5670340792716826e+17,1.8725640335268483e+17,0.28826547925170376,0.2098955736872005,0.7294659812456137,1
best1bin,SMCO_vs_SMCO_EVO,Zakharov,50,7992420858986.234,7808034253482.65,0.5174895353723121,0.502984511217174,0.9769298177915305,1
best1bin,SMCO_vs_SMCO_EVO,Zakharov,500,6.107884466985734e+20,6.536774412748781e+20,0.4874508420060114,0.5207549134746187,1.0702190665329834,0
best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,100,0.00867915909867792,0.024780562833084028,0.03938186866121694,0.11173386624043573,2.8551801564346024,0
best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,1000,0.009763825410394208,0.014550159938432677,0.04448355641854022,0.06563625054822779,1.4902109907601495,0
best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,200,0.0301708205752624,0.01422927247387318,0.13743194257026747,0.06421098484506081,0.4716236483650702,1
best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,2000,0.0029409715954453945,0.0033933949374238583,0.013428759445646837,0.015314253690374221,1.1538346520174216,0
best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,3000,0.0041541136793326805,0.0006264469894447783,0.019264411733003996,0.0028274484401997384,0.15080160000469972,1
best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,4000,0.002575113612246743,0.0025212456376331937,0.011868744554959869,0.011398634919348567,0.9790813211668163,1
best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,50,0.012553348150200145,0.03701124750045825,0.05687171983088142,0.16672759576636847,2.9483168201519336,0
best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,500,0.015127240003064016,0.008772781091324356,0.06892431538369985,0.039583149796407445,0.5799326968797635,1
best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,5000,0.003450117430746136,0.009023011742276842,0.015880349088639504,0.040770261115551605,2.6152767038788847,0
best1bin,SMCO_R_vs_SMCO_R_EVO,Griewank,100,12.907435941144286,14.166582073485767,0.15068357983206043,0.16533130861280018,1.0975519954608315,0
best1bin,SMCO_R_vs_SMCO_R_EVO,Griewank,200,22.18238310558957,24.37174879009901,0.1325741502607053,0.14573069988149126,1.0986983983681067,0
best1bin,SMCO_R_vs_SMCO_R_EVO,Griewank,50,9.003288354138066,9.65027807708363,0.20782697552502927,0.22281791877609447,1.0718614907683366,0
best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,100,42.25257423755054,42.376844173921555,1.2925469414486168,1.2960857367579905,1.0029411210704549,0
best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,1000,142.43430034967813,142.48285145469708,0.48882607745462364,0.48899287317621126,1.0003408666655418,0
best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,200,65.70271310045561,65.69518601711185,1.0356343396122831,1.0355160221534683,0.9998854372523057,1
best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,2000,217.77665629624664,220.92695337037887,0.3759334546557269,0.3812784089069592,1.0144657243237623,0
best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,3000,22.785796814904863,20.265292401669544,0.026474143980644998,0.02353841338861223,0.8893826521095552,1
best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,4000,235.51437718314193,229.28342451573235,0.20591463403098667,0.20045671975325832,0.9735432174377863,1
best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,50,32.7229944152743,33.639383342489104,1.9120591452437392,1.964678710799111,1.0280044336892058,0
best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,500,67.51736059715904,67.55356663504473,0.4563667681196648,0.4566115563767738,1.000536247826714,0
best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,5000,196.6013838655595,220.74933621429253,0.13795402354007139,0.1548674343495236,1.1228269703597098,0
best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,100,1624365.0965780935,1554427.0281729056,3.087160325941873,2.9414846075210925,0.9569443664158259,1
best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,1000,3073704.2272202345,14237947.632555163,0.7271374680974662,3.301220985871782,4.632178823995545,0
best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,200,1735329.2707150243,3598283.525468927,1.7689127530261397,3.614951410672574,2.0735451111167458,0
best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,2000,4752104.9516167,25031038.026408818,0.6125245699550202,3.1495759152408884,5.267357998457732,0
best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,3000,23405.683707445085,19401361.074655104,0.0021388665870086102,1.7089275770972647,828.9166561916646,0
best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,4000,911116.5293732516,8486848.57669811,0.06510835187074883,0.5854508479738229,9.314778409888065,0
best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,50,1123684.5684027986,1422932.8307627426,4.04715352656251,5.065499508471254,1.2663098442165976,0
best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,500,3088818.7330746027,3351886.928549052,1.361280257211946,1.475047502383946,1.0851678969236864,0
best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,5000,3749109.166294941,6898095.544312119,0.22059106391856056,0.3900525050718638,1.8399292307428765,0
best1bin,SMCO_R_vs_SMCO_R_EVO,Zakharov,100,1926915758823682.0,2763693377182369.5,0.5493917504799789,0.7837218828322785,1.434257499076925,0
best1bin,SMCO_R_vs_SMCO_R_EVO,Zakharov,200,3.836824921014385e+17,4.8238666285388794e+17,0.47214278190097597,0.5895826989330802,1.2572548208072885,0
best1bin,SMCO_R_vs_SMCO_R_EVO,Zakharov,50,12426341458557.328,12760240739932.238,0.8440744150471432,0.8613698590312221,1.0268702805639525,0
best1bin,SMCO_R_vs_SMCO_R_EVO,Zakharov,500,9.345209817156776e+20,1.0308398632983866e+21,0.8521345598819955,0.9378025333213625,1.1030676501301,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,100,0.013110256694948398,0.020234555744838595,0.05949977364432872,0.09114352440887144,1.543414153945232,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,1000,0.009689272615169239,0.012479937414714835,0.04415997969708044,0.05626934657842741,1.2880159234220134,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,200,0.027087928706985155,0.009438472078076339,0.12328200489603017,0.04251286192559333,0.34843830918834495,1
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,2000,0.003432494844941156,0.004995446872621333,0.015658070855768515,0.022527466124190574,1.4553399490122092,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,3000,0.0025349175617985485,0.01332350271584276,0.011569722018068811,0.06009758076432149,5.255990536587551,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,4000,0.003023920524546516,0.0011056421182212516,0.013801922921086077,0.00498821753218383,0.36563200297304765,1
