strategy,func,dim,algo,is_evo,mean,p01,p05,p10,worst,ae_from_best
best1bin,Ackley,100,ADAM,False,21.995917549968397,21.923628427994103,21.93169847365821,21.948894239312406,21.92161091657808,0.28829538983887204
best1bin,Ackley,100,BOBYQA,False,21.967177999030817,21.90041746349289,21.908998889523044,21.921573426759903,21.898272106985353,0.3170349407764519
best1bin,Ackley,100,DEoptim,False,21.698946113905727,21.672239450591604,21.67237816955007,21.673828211552394,21.672204770851987,0.5852668259015417
best1bin,Ackley,100,GA,False,21.747230058586418,21.71125178062293,21.71451537651155,21.716770509766263,21.710435881650778,0.536982881220851
best1bin,Ackley,100,GD,False,21.996070927635813,21.92485169413189,21.932125186108507,21.948894231668156,21.923033321137734,0.2881420121714555
best1bin,Ackley,100,GenSA,False,22.28421293980727,22.276343594733458,22.2764678757525,22.276650230247597,22.276312524478698,0.0
best1bin,Ackley,100,PSO,False,22.034127095732682,21.969267497433567,21.992256811346575,22.00533050812045,21.963520168955313,0.25008584407458656
best1bin,Ackley,100,SA,False,22.057599567521812,22.010179987031254,22.02313738484479,22.032018512378563,22.00694063757787,0.2266133722854562
best1bin,Ackley,100,SMCO,False,21.535213676492056,21.472377323007198,21.4764778799948,21.483041280971978,21.471352183760295,0.7489992633152127
best1bin,Ackley,100,SMCO_BR,False,22.034128689829082,22.012746647940183,22.01473803847449,22.01718778310696,22.012248800306605,0.2500842499781868
best1bin,Ackley,100,SMCO_BR_EVO,True,22.20076069701455,22.16173276805241,22.172522581469053,22.181810700643386,22.15903531469825,0.0834522427927169
best1bin,Ackley,100,SMCO_EVO,True,22.14155916807938,22.104541589177664,22.10467158612236,22.108357970870966,22.10450908994149,0.14265377172788973
best1bin,Ackley,100,SMCO_R,False,22.038464384055782,22.021382703374655,22.02363717543242,22.02790068512276,22.020819085360213,0.24574855575148646
best1bin,Ackley,100,SMCO_R_EVO,True,22.178202246899524,22.136507879461213,22.139054238021217,22.14719198218299,22.13587128982121,0.1060106929077449
best1bin,Ackley,100,SPSA,False,21.522155498683365,21.449714132136524,21.45976548550949,21.468606831756357,21.447201293793285,0.7620574411239041
best1bin,Ackley,100,SignGD,False,21.9938398998415,21.92224831292817,21.93032698141765,21.94756564093578,21.9202286458058,0.29037303996576824
best1bin,Ackley,100,optimLBFGS,False,21.99607926083114,21.924851949421413,21.932124996194727,21.94889353527142,21.923033687728086,0.2881336789761271
best1bin,Ackley,100,optimNM,False,21.56106255398637,21.475726329745005,21.475775004785017,21.49221799368123,21.475714160985,0.7231503858208974
best1bin,Ackley,1000,DEoptim,False,21.402380589659607,21.3886014517025,21.389963546103175,21.391666164104016,21.38826092810233,0.776546612419196
best1bin,Ackley,1000,GA,False,21.469110045827815,21.455910346664727,21.456872852520814,21.458075984840924,21.455669720200703,0.7098171562509883
best1bin,Ackley,1000,GenSA,False,22.1311893631594,21.976294104790234,22.00826264595669,22.048223322414763,21.968301969498622,0.047737838919402975
