strategy,func,dim,algo,mean_fopt,std_fopt,min_fopt,max_fopt,mean_time,n
best1bin,Ackley,1000,DEoptim,21.402380589659607,0.009779648184995486,21.38826092810233,21.412692405018877,2397.115629496984,5
best1bin,Ackley,1000,GA,21.469110045827815,0.01047325008091374,21.455669720200703,21.482104625167935,2.750231302017346,5
best1bin,Ackley,1000,GenSA,22.1311893631594,0.09109798044719541,21.968301969498622,22.175473807750674,194.46388419079594,5
best1bin,Ackley,1000,PSO,21.78589313424506,0.021669698475422765,21.75594338196764,21.80574237092324,1.4225413668435067,5
best1bin,Ackley,1000,SA,21.962780464187713,0.022901522377783656,21.944405470882025,22.002402668552477,470.5762094329577,5
best1bin,Ackley,1000,SMCO,21.356747941768013,0.013364542590192896,21.337583900051573,21.374533682120955,1348.1257533671335,5
best1bin,Ackley,1000,SMCO_BR,21.941297712620617,0.009689272615169239,21.929693626699013,21.95394197390219,1308.6468814022373,5
best1bin,Ackley,1000,SMCO_BR_EVO,22.178927202078803,0.012479937414714835,22.163447650364546,22.196987126037108,1331.061814822536,5
best1bin,Ackley,1000,SMCO_EVO,22.099389528701984,0.006002440809895802,22.094128749951842,22.10802626422429,1301.6344517053572,5
best1bin,Ackley,1000,SMCO_R,21.949291370787886,0.009763825410394208,21.9392344992085,21.963110072205776,1337.8012177993078,5
best1bin,Ackley,1000,SMCO_R_EVO,22.167871895335647,0.014550159938432677,22.146894764154887,22.187452879729445,1310.4154699750245,5
best1bin,Ackley,2000,DEoptim,21.363056928357512,0.002786215346803029,21.35990395755304,21.36518755930775,8558.336169395907,3
best1bin,Ackley,2000,GA,21.423978267424815,0.014201670964009922,21.41429647958347,21.4402814777046,4.152940183800335,3
best1bin,Ackley,2000,GenSA,21.940011709686967,0.009973032279569204,21.928742057229446,21.94769777285094,597.4264203427205,3
best1bin,Ackley,2000,PSO,21.77345900855943,0.012209929827131585,21.76163202902955,21.786018873485563,2.4351846563319364,3
best1bin,Ackley,2000,SA,21.892474502729865,0.008146404866298343,21.887555551104764,21.90187781382474,744.5677791530421,3
best1bin,Ackley,2000,SMCO,21.412231167680464,0.006431051740783011,21.40845332420365,21.419656726529173,5867.163980279972,3
best1bin,Ackley,2000,SMCO_BR,21.921569244123116,0.003432494844941156,21.919129933783417,21.925494328031725,5499.683234168294,3
best1bin,Ackley,2000,SMCO_BR_EVO,22.174916810804092,0.004995446872621333,22.169320471757093,22.178925447762282,5495.612055901748,3
best1bin,Ackley,2000,SMCO_EVO,22.10455869910525,0.008299839120281788,22.09949799004213,22.114137404313134,5614.451755240094,3
best1bin,Ackley,2000,SMCO_R,21.90054567102072,0.0029409715954453945,21.898326474637166,21.903881407007788,5670.896572014938,3
best1bin,Ackley,2000,SMCO_R_EVO,22.15840880027198,0.0033933949374238583,22.15501203522029,22.161798815024124,5358.154226249007,3
best1bin,Ackley,3000,DEoptim,21.34290122913012,0.0015953827023398016,21.341773123202707,21.34402933505753,17439.731888727518,2
best1bin,Ackley,3000,GA,21.404660691573028,0.011147254901717665,21.396778392040407,21.412542991105646,6.028015676536597,2
best1bin,Ackley,3000,GenSA,21.905400336903423,0.020714278966834074,21.890753129778584,21.92004754402826,1258.8272133588325,2
best1bin,Ackley,3000,PSO,21.74146523673044,0.015502636772863843,21.730503217142076,21.752427256318803,3.321532942005433,2
best1bin,Ackley,3000,SA,21.864929046117897,0.014097150859862597,21.85496085514948,21.874897237086316,1029.1172902374528,2
best1bin,Ackley,3000,SMCO,21.532214189963604,0.0035682364805552673,21.529691065751326,21.53473731417588,11586.358518595574,2
best1bin,Ackley,3000,SMCO_BR,21.90992625267647,0.0025349175617985485,21.908133795278776,21.91171871007417,11436.664167159004,2
