strategy,evo_algo,baseline,func,dim,n,evo_wins,baseline_wins,evo_win_rate,evo_mean,baseline_mean
best1bin,SMCO_EVO,SA,Rastrigin,4000,2,0,2,0.0,114314.91250137634,115692.09726627979
best1bin,SMCO_EVO,SA,Rastrigin,50,20,0,20,0.0,1713.53951530713,2016.6594088317984
best1bin,SMCO_EVO,SA,Rastrigin,500,5,0,5,0.0,14779.682412667544,20176.645096911565
best1bin,SMCO_EVO,SA,Rastrigin,5000,2,0,2,0.0,142432.29777746001,144455.59698672255
best1bin,SMCO_EVO,SA,Rosenbrock,100,15,8,7,53.333333333333336,54780042.29941387,52882416.0
best1bin,SMCO_EVO,SA,Rosenbrock,1000,5,0,5,0.0,463443829.07431805,542589309.0
best1bin,SMCO_EVO,SA,Rosenbrock,200,10,1,9,10.0,103140206.49786988,108594778.5
best1bin,SMCO_EVO,SA,Rosenbrock,2000,3,0,3,0.0,869037289.3809952,1082940579.0
best1bin,SMCO_EVO,SA,Rosenbrock,3000,2,0,2,0.0,1239385157.2331452,1590726046.5
best1bin,SMCO_EVO,SA,Rosenbrock,4000,2,0,2,0.0,1607755773.5210905,2174326321.5
best1bin,SMCO_EVO,SA,Rosenbrock,50,20,16,4,80.0,28787769.693364054,27331490.25
best1bin,SMCO_EVO,SA,Rosenbrock,500,5,0,5,0.0,243705721.84840137,269683542.0
best1bin,SMCO_EVO,SA,Rosenbrock,5000,2,0,2,0.0,2043895340.43962,2720911801.5
best1bin,SMCO_EVO,SA,Zakharov,100,15,0,15,0.0,3.73584180255514e+17,4.064859420438224e+17
best1bin,SMCO_EVO,SA,Zakharov,200,10,0,10,0.0,8.921407920290213e+19,1.020150500726003e+20
best1bin,SMCO_EVO,SA,Zakharov,50,20,0,20,0.0,1552340893079979.8,1651660441036249.5
best1bin,SMCO_EVO,SA,Zakharov,500,5,0,5,0.0,1.255249685333479e+23,1.538122607450211e+23
best1bin,SMCO_EVO,DEoptim,Ackley,100,15,15,0,100.0,22.14155916807938,21.698946113905727
best1bin,SMCO_EVO,DEoptim,Ackley,1000,5,5,0,100.0,22.099389528701984,21.402380589659607
best1bin,SMCO_EVO,DEoptim,Ackley,200,10,10,0,100.0,22.110580184015916,21.58458150439275
best1bin,SMCO_EVO,DEoptim,Ackley,2000,3,3,0,100.0,22.10455869910525,21.363056928357512
best1bin,SMCO_EVO,DEoptim,Ackley,3000,2,2,0,100.0,22.079895295901025,21.34290122913012
best1bin,SMCO_EVO,DEoptim,Ackley,4000,2,2,0,100.0,22.089218252554286,21.34122138647738
best1bin,SMCO_EVO,DEoptim,Ackley,50,20,20,0,100.0,22.162611203958978,21.830100224256995
best1bin,SMCO_EVO,DEoptim,Ackley,500,5,5,0,100.0,22.096366885358627,21.470072283920533
best1bin,SMCO_EVO,DEoptim,Ackley,5000,2,2,0,100.0,22.099187971841268,21.328332378863344
best1bin,SMCO_EVO,DEoptim,Griewank,100,15,15,0,100.0,8741.07681690497,4549.277577784492
best1bin,SMCO_EVO,DEoptim,Griewank,200,10,10,0,100.0,17224.22871924248,7992.158239639424
best1bin,SMCO_EVO,DEoptim,Griewank,50,20,20,0,100.0,4400.544985503508,2632.1532453328723
best1bin,SMCO_EVO,DEoptim,Rastrigin,100,15,15,0,100.0,3261.576605448482,2384.787204249496
best1bin,SMCO_EVO,DEoptim,Rastrigin,1000,5,5,0,100.0,29109.53341967424,19911.698094201394
best1bin,SMCO_EVO,DEoptim,Rastrigin,200,10,10,0,100.0,6337.65098984277,4431.440527515091
best1bin,SMCO_EVO,DEoptim,Rastrigin,2000,3,3,0,100.0,57883.29476627168,39049.42474348234
best1bin,SMCO_EVO,DEoptim,Rastrigin,3000,2,2,0,100.0,86028.14017521989,57968.501820506805
best1bin,SMCO_EVO,DEoptim,Rastrigin,4000,2,2,0,100.0,114314.91250137634,77000.13010232343
best1bin,SMCO_EVO,DEoptim,Rastrigin,50,20,20,0,100.0,1713.53951530713,1319.7630795275386
best1bin,SMCO_EVO,DEoptim,Rastrigin,500,5,5,0,100.0,14779.682412667544,10307.57974086208
best1bin,SMCO_EVO,DEoptim,Rastrigin,5000,2,2,0,100.0,142432.29777746001,95772.36984367606
