strategy,variant,base_algo,evo_algo,func,dim,improve_pct,win_rate,n
best1bin,R,SMCO_R,SMCO_R_EVO,Rosenbrock,200,1.4652750297129602,40.0,10
best1bin,R,SMCO_R,SMCO_R_EVO,Rosenbrock,2000,2.4387498390460465,100.0,3
best1bin,R,SMCO_R,SMCO_R_EVO,Rosenbrock,3000,3.745890879397222,100.0,2
best1bin,R,SMCO_R,SMCO_R_EVO,Rosenbrock,4000,3.590228352724739,100.0,2
best1bin,R,SMCO_R,SMCO_R_EVO,Rosenbrock,50,1.1736422670922824,65.0,20
best1bin,R,SMCO_R,SMCO_R_EVO,Rosenbrock,500,0.14712281841561461,100.0,5
best1bin,R,SMCO_R,SMCO_R_EVO,Rosenbrock,5000,4.055721029057737,100.0,2
best1bin,R,SMCO_R,SMCO_R_EVO,Zakharov,100,0.5419467438219993,73.33333333333333,15
best1bin,R,SMCO_R,SMCO_R_EVO,Zakharov,200,0.6820230187491043,100.0,10
best1bin,R,SMCO_R,SMCO_R_EVO,Zakharov,50,0.6251753887869544,95.0,20
best1bin,R,SMCO_R,SMCO_R_EVO,Zakharov,500,0.2302759019714715,60.0,5
best1bin,BR,SMCO_BR,SMCO_BR_EVO,Ackley,100,0.7562450484478969,100.0,15
best1bin,BR,SMCO_BR,SMCO_BR_EVO,Ackley,1000,1.0830238601680418,100.0,5
best1bin,BR,SMCO_BR,SMCO_BR_EVO,Ackley,200,1.0427701021506781,100.0,10
best1bin,BR,SMCO_BR,SMCO_BR_EVO,Ackley,2000,1.1556999586099195,100.0,3
best1bin,BR,SMCO_BR,SMCO_BR_EVO,Ackley,3000,1.186018912128925,100.0,2
best1bin,BR,SMCO_BR,SMCO_BR_EVO,Ackley,4000,1.1668935838691596,100.0,2
best1bin,BR,SMCO_BR,SMCO_BR_EVO,Ackley,50,0.6349557422330144,100.0,20
best1bin,BR,SMCO_BR,SMCO_BR_EVO,Ackley,500,1.0407719335081533,100.0,5
best1bin,BR,SMCO_BR,SMCO_BR_EVO,Ackley,5000,1.1787675823290196,100.0,2
best1bin,BR,SMCO_BR,SMCO_BR_EVO,Griewank,100,0.11545477996776857,66.66666666666666,15
best1bin,BR,SMCO_BR,SMCO_BR_EVO,Griewank,200,0.149585789183222,70.0,10
best1bin,BR,SMCO_BR,SMCO_BR_EVO,Griewank,50,-0.025543750232626793,55.00000000000001,20
best1bin,BR,SMCO_BR,SMCO_BR_EVO,Rastrigin,100,0.06054251216514589,40.0,15
best1bin,BR,SMCO_BR,SMCO_BR_EVO,Rastrigin,1000,-0.0025978886079665634,80.0,5
best1bin,BR,SMCO_BR,SMCO_BR_EVO,Rastrigin,200,0.0012651224594087279,60.0,10
best1bin,BR,SMCO_BR,SMCO_BR_EVO,Rastrigin,2000,-0.00037129250564273234,66.66666666666666,3
best1bin,BR,SMCO_BR,SMCO_BR_EVO,Rastrigin,3000,0.004978498221169264,50.0,2
best1bin,BR,SMCO_BR,SMCO_BR_EVO,Rastrigin,4000,0.00507566002280574,50.0,2
best1bin,BR,SMCO_BR,SMCO_BR_EVO,Rastrigin,50,-0.02846429370368655,50.0,20
best1bin,BR,SMCO_BR,SMCO_BR_EVO,Rastrigin,500,0.0020235339045064893,20.0,5
best1bin,BR,SMCO_BR,SMCO_BR_EVO,Rastrigin,5000,-0.0011625669613674905,50.0,2
best1bin,BR,SMCO_BR,SMCO_BR_EVO,Rosenbrock,100,0.7830233536522586,73.33333333333333,15
best1bin,BR,SMCO_BR,SMCO_BR_EVO,Rosenbrock,1000,6.8506022099717025,100.0,5
best1bin,BR,SMCO_BR,SMCO_BR_EVO,Rosenbrock,200,3.284478705265977,80.0,10
best1bin,BR,SMCO_BR,SMCO_BR_EVO,Rosenbrock,2000,10.946867247938359,100.0,3
best1bin,BR,SMCO_BR,SMCO_BR_EVO,Rosenbrock,3000,11.115681357617365,100.0,2
best1bin,BR,SMCO_BR,SMCO_BR_EVO,Rosenbrock,4000,16.706232789048695,100.0,2
best1bin,BR,SMCO_BR,SMCO_BR_EVO,Rosenbrock,50,2.9537237254100077,70.0,20
best1bin,BR,SMCO_BR,SMCO_BR_EVO,Rosenbrock,500,4.494540587147208,100.0,5
best1bin,BR,SMCO_BR,SMCO_BR_EVO,Rosenbrock,5000,16.07238304258046,100.0,2
best1bin,BR,SMCO_BR,SMCO_BR_EVO,Zakharov,100,1.6088996625459997,93.33333333333333,15
best1bin,BR,SMCO_BR,SMCO_BR_EVO,Zakharov,200,1.3428702365957947,90.0,10
best1bin,BR,SMCO_BR,SMCO_BR_EVO,Zakharov,50,1.8425819193437456,95.0,20
best1bin,BR,SMCO_BR,SMCO_BR_EVO,Zakharov,500,0.6265899836816922,80.0,5
current-to-best1bin,BASE,SMCO,SMCO_EVO,Ackley,100,2.6880474266689536,100.0,15
current-to-best1bin,BASE,SMCO,SMCO_EVO,Ackley,1000,3.4209193556915,100.0,5
current-to-best1bin,BASE,SMCO,SMCO_EVO,Ackley,200,3.180935110235216,100.0,10
current-to-best1bin,BASE,SMCO,SMCO_EVO,Ackley,2000,3.1582193163874464,100.0,3
current-to-best1bin,BASE,SMCO,SMCO_EVO,Ackley,3000,2.3225805080469786,100.0,2
current-to-best1bin,BASE,SMCO,SMCO_EVO,Ackley,4000,1.84468248042518,100.0,2
current-to-best1bin,BASE,SMCO,SMCO_EVO,Ackley,50,2.373847126831374,100.0,20
current-to-best1bin,BASE,SMCO,SMCO_EVO,Ackley,500,3.349380298772797,100.0,5
current-to-best1bin,BASE,SMCO,SMCO_EVO,Ackley,5000,1.6771768547706338,100.0,2
current-to-best1bin,BASE,SMCO,SMCO_EVO,Griewank,100,0.01121860496755372,66.66666666666666,15
current-to-best1bin,BASE,SMCO,SMCO_EVO,Griewank,200,-0.013721254099776571,50.0,10
current-to-best1bin,BASE,SMCO,SMCO_EVO,Griewank,50,-0.014396360540283717,40.0,20
