strategy,pair,func,dim,quality_gain_pct,time_overhead_pct,benefit_cost_ratio,base_mean_time,evo_mean_time,base_mean_fopt,evo_mean_fopt
best1bin,SMCO_vs_SMCO_EVO,Ackley,100,2.8156000711022093,1.8122412373124213,1.553656330697884,20.817265237666046,21.194524302783734,21.535213676492056,22.14155916807938
best1bin,SMCO_vs_SMCO_EVO,Ackley,1000,3.4773158767377916,-3.4485879040332676,-1.0083303582521197,1348.1257533671335,1301.6344517053572,21.356747941768013,22.099389528701984
best1bin,SMCO_vs_SMCO_EVO,Ackley,200,3.2325642997749546,0.002458861100883776,1314.6591723351476,73.45602774659638,73.45783392828889,21.418222373910474,22.110580184015916
best1bin,SMCO_vs_SMCO_EVO,Ackley,2000,3.2333273725803213,-4.307229623873899,-0.750674483352082,5867.163980279972,5614.451755240094,21.412231167680464,22.10455869910525
best1bin,SMCO_vs_SMCO_EVO,Ackley,3000,2.543542903231482,3.2035243876468336,0.7939826876422987,11586.358518595574,11957.53033937898,21.532214189963604,22.079895295901025
best1bin,SMCO_vs_SMCO_EVO,Ackley,4000,1.95810305276085,1.5213529227395244,1.287080087396725,23100.162310047424,23451.597304508905,21.664995317854874,22.089218252554286
best1bin,SMCO_vs_SMCO_EVO,Ackley,50,2.4292416538026043,1.1041787061785848,2.200043924239298,8.379471235256641,8.471995572326705,21.6369962777482,22.162611203958978
best1bin,SMCO_vs_SMCO_EVO,Ackley,500,3.409971188579048,4.37442983824908,0.7795235755670347,336.30495750098487,351.01638190941884,21.367733334983296,22.096366885358627
best1bin,SMCO_vs_SMCO_EVO,Ackley,5000,1.8534460190261208,13.891766041070422,0.13342047465718077,46529.58966527146,52993.37140144105,21.697044955860562,22.099187971841268
best1bin,SMCO_vs_SMCO_EVO,Griewank,100,0.01121860496755372,-1.0073192458274984,-0.01113708986899957,16.051924052384372,15.890229932079091,8740.096300027286,8741.07681690497
best1bin,SMCO_vs_SMCO_EVO,Griewank,200,-0.013721254099776571,2.0635468675445803,-0.006649354233521009,53.8550962140318,54.96642136496958,17226.59242376168,17224.22871924248
best1bin,SMCO_vs_SMCO_EVO,Griewank,50,-0.007885209448819321,3.106119832268514,-0.002538604392175192,5.7466989266802555,5.925198281742633,4400.892005055723,4400.544985503508
best1bin,SMCO_vs_SMCO_EVO,Rastrigin,100,-0.21268349984329224,-2.8798643034524583,0.07385191711578964,12.585664519341663,12.22321445949686,3268.5282256722076,3261.576605448482
best1bin,SMCO_vs_SMCO_EVO,Rastrigin,1000,-0.0014866045489453099,-1.0065586924631256,0.0014769178986547477,971.5581173986196,961.7788147156127,29109.966169755517,29109.53341967424
best1bin,SMCO_vs_SMCO_EVO,Rastrigin,200,-0.0007433087526116615,0.280905306398234,-0.002646118587585124,47.064677183236924,47.196884358883835,6337.698098507451,6337.65098984277
best1bin,SMCO_vs_SMCO_EVO,Rastrigin,2000,0.0033514004141743906,1.480332796929774,0.002263950661044078,4410.9437384663615,4476.240385280999,57881.35493030282,57883.29476627168
best1bin,SMCO_vs_SMCO_EVO,Rastrigin,3000,0.008138208594655123,1.9993087989680298,0.004070511068053004,9431.527922817506,9620.093290455523,86021.13959544411,86028.14017521989
best1bin,SMCO_vs_SMCO_EVO,Rastrigin,4000,0.003897918040931683,2.2425037137393593,0.0017381991463603563,18764.3456372855,19185.136785060517,114310.4567734591,114314.91250137634
best1bin,SMCO_vs_SMCO_EVO,Rastrigin,50,0.11170908484405523,-0.5361391447971524,-0.2083583822000541,4.398476234811824,4.374894281942398,1711.627471922306,1713.53951530713
best1bin,SMCO_vs_SMCO_EVO,Rastrigin,500,-0.0011463584539919225,7.372536554824925,-0.00015549037233890595,227.94080286091193,244.74582187519408,14779.85184274863,14779.682412667544
best1bin,SMCO_vs_SMCO_EVO,Rastrigin,5000,-0.01827009317980538,0.7587457062547106,-0.024079336501275854,43844.797445466975,44177.46796350053,142458.32504618834,142432.29777746001
best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,100,0.2744467959794852,0.05656915311262052,4.851527393968646,13.040549713854368,13.047926642388726,54630111.708190724,54780042.29941387
best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,1000,0.011818187686807905,5.992905255093507,0.0019720297891850295,518.244838541979,549.3027607052121,463389064.8849098,463443829.07431805
best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,200,0.015202909877453218,-0.4788036981034447,-0.03175186394272305,42.283866668422704,42.081409951113166,103124528.56873003,103140206.49786988
best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,2000,-0.024196050503709772,0.1048314530799322,-0.2308090729722185,1680.255622977934,1682.0170593629591,869247612.9724323,869037289.3809952
best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,3000,-0.027241298790770203,-0.3458109093789814,0.07877512840670939,3416.209948144504,3404.39632145653,1239722873.845387,1239385157.2331452
best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,4000,0.3836738918141251,0.19736558878563448,1.9439756148719847,5533.358251438476,5544.279196531046,1601610810.9908462,1607755773.5210905
best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,50,0.6897858282334384,11.39254910450957,0.06054710161050761,4.608509739290457,5.133536474325228,28590556.089247294,28787769.693364054
best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,500,-0.0034205626355150462,0.8454535841455431,-0.004045831373430198,171.6074763468001,173.05833790623583,243714058.24041504,243705721.84840137
best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,5000,4.6026190055826754,5.487865191930963,0.838690245589505,9829.821290741442,10369.26863178506,1953961917.8469486,2043895340.43962
best1bin,SMCO_vs_SMCO_EVO,Zakharov,100,0.24479144123040852,-1.2445299280758908,-0.19669389679432545,15.339718655186395,15.14881126563996,3.726719113127506e+17,3.73584180255514e+17
best1bin,SMCO_vs_SMCO_EVO,Zakharov,200,0.1830848491132973,5.988131366473497,0.030574621348215144,45.856591660389675,48.60254460920114,8.905104024024446e+19,8.921407920290213e+19
best1bin,SMCO_vs_SMCO_EVO,Zakharov,50,0.5102436011224646,-2.316866312159009,-0.2202300574895864,5.854516837606207,5.718875509256032,1544460382804846.5,1552340893079979.8
best1bin,SMCO_vs_SMCO_EVO,Zakharov,500,0.17748687796428161,-1.3488446707658828,-0.13158437128531889,179.41856393334456,176.99848619536496,1.2530257290868337e+23,1.255249685333479e+23
best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,100,0.6340635191662357,-1.3091352205936868,-0.4843376827633518,21.238973185078553,20.96092630662024,22.038464384055782,22.178202246899524
best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,1000,0.9958431953692494,-2.0470715275123617,-0.4864721051439839,1337.8012177993078,1310.4154699750245,21.949291370787886,22.167871895335647
best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,200,0.9424700669017787,-1.4885215103842258,-0.6331585135497995,73.76558670958039,72.66757008414716,21.953281028416217,22.160184130811867
best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,2000,1.1774278738290649,-5.514865979204597,-0.21350072300376807,5670.896572014938,5358.154226249007,21.90054567102072,22.15840880027198
best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,3000,2.7464929574838948,-0.7277380733855062,-3.7740130108995813,11554.922079079552,11470.832511760062,21.563667434577347,22.155912042043262
best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,4000,1.946120580951775,0.4304738869773987,4.520879523300684,22467.473527271533,22564.190133869997,21.696596470859426,22.118838400144877
