evo_algo,func,dim,best1bin_mean,current-to-best1bin_mean,winner,best1bin_wins,current-to-best1bin_wins,n
SMCO_R_EVO,Rosenbrock,2000,794743124.1546808,775870948.4175621,best1bin,2,0,3
SMCO_R_EVO,Rosenbrock,3000,1135294516.5534573,1110555709.568077,best1bin,2,0,2
SMCO_R_EVO,Rosenbrock,4000,1449626148.1335459,1433132239.4677372,best1bin,1,1,2
SMCO_R_EVO,Rosenbrock,5000,1768504356.366383,1767633840.916448,best1bin,1,1,2
SMCO_R_EVO,Zakharov,50,1481389278501526.8,1481998819953021.5,current-to-best1bin,10,10,20
SMCO_R_EVO,Zakharov,100,3.526370052594049e+17,3.519512055367801e+17,best1bin,7,5,15
SMCO_R_EVO,Zakharov,200,8.181832060656185e+19,8.182450588926935e+19,current-to-best1bin,6,4,10
SMCO_R_EVO,Zakharov,500,1.0992078040645922e+23,1.098959045083418e+23,best1bin,1,2,5
SMCO_BR_EVO,Ackley,50,22.210129268347746,22.18122964385055,best1bin,19,1,20
SMCO_BR_EVO,Ackley,100,22.20076069701455,22.184464637246702,best1bin,12,3,15
SMCO_BR_EVO,Ackley,200,22.201450691782874,22.187228125557585,best1bin,6,4,10
SMCO_BR_EVO,Ackley,500,22.17619957919172,22.16166040778051,best1bin,4,1,5
SMCO_BR_EVO,Ackley,1000,22.178927202078803,22.15998727312036,best1bin,5,0,5
SMCO_BR_EVO,Ackley,2000,22.174916810804092,22.15386391177425,best1bin,3,0,3
SMCO_BR_EVO,Ackley,3000,22.169782121666714,22.149006089907154,best1bin,2,0,2
SMCO_BR_EVO,Ackley,4000,22.16507421915107,22.140270553761873,best1bin,2,0,2
SMCO_BR_EVO,Ackley,5000,22.170896217000973,22.15204416815449,best1bin,2,0,2
SMCO_BR_EVO,Griewank,50,4160.607519261438,4160.105177307595,best1bin,14,6,20
SMCO_BR_EVO,Griewank,100,8155.948591811583,8149.538989072676,best1bin,1,0,15
SMCO_BR_EVO,Griewank,200,15606.131335277043,15579.361840127976,best1bin,1,0,10
SMCO_BR_EVO,Rastrigin,50,1713.201467752166,1712.8256597242355,best1bin,11,9,20
SMCO_BR_EVO,Rastrigin,100,3261.283891140544,3261.283891140544,tie,2,2,15
SMCO_BR_EVO,Rastrigin,200,6336.711421792165,6336.711421792165,tie,2,1,10
SMCO_BR_EVO,Rastrigin,500,14784.72336393406,14784.72336393406,tie,1,3,5
SMCO_BR_EVO,Rastrigin,1000,29125.55358527581,29125.55358527581,tie,3,2,5
SMCO_BR_EVO,Rastrigin,2000,57911.57064659148,57911.57064659148,tie,2,1,3
SMCO_BR_EVO,Rastrigin,3000,86031.64588793849,86031.64588793849,tie,1,1,2
SMCO_BR_EVO,Rastrigin,4000,114319.86604742098,114319.86604742098,tie,1,1,2
SMCO_BR_EVO,Rastrigin,5000,142458.4895438425,142458.4895438425,tie,0,0,2
SMCO_BR_EVO,Rosenbrock,50,26589262.678818237,25824113.641585406,best1bin,14,6,20
SMCO_BR_EVO,Rosenbrock,100,48362434.75989135,48026755.33157219,best1bin,5,0,15
