strategy,func,dim,algo,rank,mean_fopt,total_methods
best1bin,Ackley,500,SA,5,22.03743132546698,11
best1bin,Ackley,500,SMCO_BR,6,21.947773314504367,11
best1bin,Ackley,500,SMCO_R,7,21.94761009790387,11
best1bin,Ackley,500,PSO,8,21.873543919805268,11
best1bin,Ackley,500,GA,9,21.534768239986803,11
best1bin,Ackley,500,DEoptim,10,21.470072283920533,11
best1bin,Ackley,500,SMCO,11,21.367733334983296,11
best1bin,Ackley,5000,SMCO_BR_EVO,1,22.170896217000973,11
best1bin,Ackley,5000,SMCO_R_EVO,2,22.131356276340014,11
best1bin,Ackley,5000,SMCO_EVO,3,22.099187971841268,11
best1bin,Ackley,5000,SMCO_BR,4,21.912597619812423,11
best1bin,Ackley,5000,GenSA,5,21.73148729514309,11
best1bin,Ackley,5000,SMCO_R,6,21.72570270016472,11
best1bin,Ackley,5000,PSO,7,21.721434902688344,11
best1bin,Ackley,5000,SMCO,8,21.697044955860562,11
best1bin,Ackley,5000,SA,9,21.665474326389205,11
best1bin,Ackley,5000,GA,10,21.385606465715362,11
best1bin,Ackley,5000,DEoptim,11,21.328332378863344,11
best1bin,Griewank,100,BOBYQA,1,9001.000000000051,18
best1bin,Griewank,100,GenSA,2,9001.0,18
best1bin,Griewank,100,PSO,3,9001.0,18
best1bin,Griewank,100,SA,4,9001.0,18
best1bin,Griewank,100,SMCO_EVO,5,8741.07681690497,18
best1bin,Griewank,100,SMCO,6,8740.096300027286,18
best1bin,Griewank,100,SMCO_R_EVO,7,8568.602155483677,18
best1bin,Griewank,100,SMCO_R,8,8565.920689918474,18
best1bin,Griewank,100,SMCO_BR_EVO,9,8155.948591811583,18
best1bin,Griewank,100,SMCO_BR,10,8146.543018494601,18
best1bin,Griewank,100,GA,11,7833.490229109933,18
best1bin,Griewank,100,optimLBFGS,12,6051.517985300458,18
best1bin,Griewank,100,DEoptim,13,4549.277577784492,18
best1bin,Griewank,100,GD,14,4318.531612684141,18
best1bin,Griewank,100,SignGD,15,3641.5841157428863,18
best1bin,Griewank,100,ADAM,16,3464.147045545212,18
best1bin,Griewank,100,optimNM,17,3455.17997108155,18
best1bin,Griewank,100,SPSA,18,3418.8544324324453,18
best1bin,Griewank,200,BOBYQA,1,18001.000000000222,18
best1bin,Griewank,200,GenSA,2,18001.0,18
best1bin,Griewank,200,PSO,3,18001.0,18
best1bin,Griewank,200,SA,4,18001.0,18
best1bin,Griewank,200,SMCO,5,17226.59242376168,18
best1bin,Griewank,200,SMCO_EVO,6,17224.22871924248,18
best1bin,Griewank,200,SMCO_R,7,16732.05754060517,18
best1bin,Griewank,200,SMCO_R_EVO,8,16723.826077770987,18
best1bin,Griewank,200,SMCO_BR_EVO,9,15606.131335277043,18
best1bin,Griewank,200,SMCO_BR,10,15582.821648537065,18
best1bin,Griewank,200,GA,11,13845.086614735043,18
best1bin,Griewank,200,GD,12,8478.375474099297,18
best1bin,Griewank,200,optimLBFGS,13,8309.999512656617,18
best1bin,Griewank,200,DEoptim,14,7992.158239639424,18
best1bin,Griewank,200,SignGD,15,7180.128094227461,18
best1bin,Griewank,200,ADAM,16,6823.042271976459,18
best1bin,Griewank,200,optimNM,17,6748.127292238173,18
best1bin,Griewank,200,SPSA,18,6734.352114533676,18
best1bin,Griewank,50,BOBYQA,1,4501.000000000015,18
best1bin,Griewank,50,GenSA,2,4501.0,18
best1bin,Griewank,50,optimLBFGS,3,4501.0,18
best1bin,Griewank,50,PSO,4,4501.0,18
best1bin,Griewank,50,SA,5,4501.0,18
best1bin,Griewank,50,SMCO,6,4400.892005055723,18
best1bin,Griewank,50,SMCO_EVO,7,4400.544985503508,18
best1bin,Griewank,50,SMCO_R,8,4332.107673411131,18
best1bin,Griewank,50,SMCO_R_EVO,9,4331.015265778967,18
best1bin,Griewank,50,GA,10,4252.25924766195,18
best1bin,Griewank,50,SMCO_BR,11,4161.670565996321,18
best1bin,Griewank,50,SMCO_BR_EVO,12,4160.607519261438,18
best1bin,Griewank,50,DEoptim,13,2632.1532453328723,18
best1bin,Griewank,50,GD,14,2250.8181772810317,18
best1bin,Griewank,50,SignGD,15,1903.0286013502305,18
best1bin,Griewank,50,optimNM,16,1893.4620049564303,18
best1bin,Griewank,50,ADAM,17,1812.4027648920778,18
best1bin,Griewank,50,SPSA,18,1789.1798974678936,18
best1bin,Rastrigin,100,GenSA,1,4035.329019382616,18
best1bin,Rastrigin,100,SA,2,4034.390922782761,18
best1bin,Rastrigin,100,SMCO_R_EVO,3,3269.6019230890047,18
best1bin,Rastrigin,100,SMCO_R,4,3268.9392456568066,18
best1bin,Rastrigin,100,SMCO,5,3268.5282256722076,18
best1bin,Rastrigin,100,SMCO_EVO,6,3261.576605448482,18
best1bin,Rastrigin,100,SMCO_BR_EVO,7,3261.283891140544,18
best1bin,Rastrigin,100,SMCO_BR,8,3259.31062261035,18
