strategy,base_algo,evo_algo,func,dim,n,cohens_d,magnitude
best1bin,SMCO_R,SMCO_R_EVO,Rosenbrock,5000,2,21.88958176136989,large
best1bin,SMCO_R,SMCO_R_EVO,Zakharov,100,15,0.7882668805572633,medium
best1bin,SMCO_R,SMCO_R_EVO,Zakharov,200,10,1.3191650070425696,large
best1bin,SMCO_R,SMCO_R_EVO,Zakharov,50,20,1.2083925829344728,large
best1bin,SMCO_R,SMCO_R_EVO,Zakharov,500,5,0.15504648123482034,negligible
best1bin,SMCO_BR,SMCO_BR_EVO,Ackley,100,15,9.913427255189424,large
best1bin,SMCO_BR,SMCO_BR_EVO,Ackley,1000,5,23.656543484374982,large
best1bin,SMCO_BR,SMCO_BR_EVO,Ackley,200,10,7.59580097958656,large
best1bin,SMCO_BR,SMCO_BR_EVO,Ackley,2000,3,44.80831099116074,large
best1bin,SMCO_BR,SMCO_BR_EVO,Ackley,3000,2,24.08618602716721,large
best1bin,SMCO_BR,SMCO_BR_EVO,Ackley,4000,2,133.27552098174925,large
best1bin,SMCO_BR,SMCO_BR_EVO,Ackley,50,20,5.472451479901161,large
best1bin,SMCO_BR,SMCO_BR_EVO,Ackley,500,5,17.032895593605815,large
best1bin,SMCO_BR,SMCO_BR_EVO,Ackley,5000,2,135.14019111176358,large
best1bin,SMCO_BR,SMCO_BR_EVO,Griewank,100,15,0.3647480586386247,small
best1bin,SMCO_BR,SMCO_BR_EVO,Griewank,200,10,0.259859666662348,small
best1bin,SMCO_BR,SMCO_BR_EVO,Griewank,50,20,-0.17884783136469926,negligible
best1bin,SMCO_BR,SMCO_BR_EVO,Rastrigin,100,15,0.07441225002324227,negligible
best1bin,SMCO_BR,SMCO_BR_EVO,Rastrigin,1000,5,-0.003583661209866979,negligible
best1bin,SMCO_BR,SMCO_BR_EVO,Rastrigin,200,10,0.0009960588051624304,negligible
best1bin,SMCO_BR,SMCO_BR_EVO,Rastrigin,2000,3,-0.0005790243598699407,negligible
best1bin,SMCO_BR,SMCO_BR_EVO,Rastrigin,3000,2,0.09284832365621845,negligible
best1bin,SMCO_BR,SMCO_BR_EVO,Rastrigin,4000,2,0.013949717923862745,negligible
best1bin,SMCO_BR,SMCO_BR_EVO,Rastrigin,50,20,-0.02119085173197051,negligible
best1bin,SMCO_BR,SMCO_BR_EVO,Rastrigin,500,5,0.0031119894598106274,negligible
best1bin,SMCO_BR,SMCO_BR_EVO,Rastrigin,5000,2,-0.0041215514294124615,negligible
best1bin,SMCO_BR,SMCO_BR_EVO,Rosenbrock,100,15,0.6253311079325087,medium
best1bin,SMCO_BR,SMCO_BR_EVO,Rosenbrock,1000,5,3.3274489319136866,large
best1bin,SMCO_BR,SMCO_BR_EVO,Rosenbrock,200,10,0.8205295877606922,large
best1bin,SMCO_BR,SMCO_BR_EVO,Rosenbrock,2000,3,7.9537535201566865,large
best1bin,SMCO_BR,SMCO_BR_EVO,Rosenbrock,3000,2,8.756167719421441,large
best1bin,SMCO_BR,SMCO_BR_EVO,Rosenbrock,4000,2,17.986916632097092,large
best1bin,SMCO_BR,SMCO_BR_EVO,Rosenbrock,50,20,0.6913147604054378,medium
best1bin,SMCO_BR,SMCO_BR_EVO,Rosenbrock,500,5,1.1701849931819606,large
best1bin,SMCO_BR,SMCO_BR_EVO,Rosenbrock,5000,2,24.62538301220528,large
best1bin,SMCO_BR,SMCO_BR_EVO,Zakharov,100,15,1.19399232551397,large
best1bin,SMCO_BR,SMCO_BR_EVO,Zakharov,200,10,1.237560869435095,large
best1bin,SMCO_BR,SMCO_BR_EVO,Zakharov,50,20,1.2421851387777787,large
best1bin,SMCO_BR,SMCO_BR_EVO,Zakharov,500,5,0.21668235117183773,small
current-to-best1bin,SMCO,SMCO_EVO,Ackley,100,15,12.127438119422788,large
current-to-best1bin,SMCO,SMCO_EVO,Ackley,1000,5,51.44324553152261,large
current-to-best1bin,SMCO,SMCO_EVO,Ackley,200,10,19.479608372690276,large
current-to-best1bin,SMCO,SMCO_EVO,Ackley,2000,3,25.48050464452249,large
current-to-best1bin,SMCO,SMCO_EVO,Ackley,3000,2,37.57768538592036,large
current-to-best1bin,SMCO,SMCO_EVO,Ackley,4000,2,65.52851514670505,large
current-to-best1bin,SMCO,SMCO_EVO,Ackley,50,20,11.035929531938994,large
current-to-best1bin,SMCO,SMCO_EVO,Ackley,500,5,28.30433762100692,large
current-to-best1bin,SMCO,SMCO_EVO,Ackley,5000,2,74.00677332470335,large
current-to-best1bin,SMCO,SMCO_EVO,Griewank,100,15,0.14623937357714484,negligible
current-to-best1bin,SMCO,SMCO_EVO,Griewank,200,10,-0.22113635854154143,small
current-to-best1bin,SMCO,SMCO_EVO,Griewank,50,20,-0.17515628004147082,negligible
current-to-best1bin,SMCO,SMCO_EVO,Rastrigin,100,15,-0.19978518043164883,negligible
current-to-best1bin,SMCO,SMCO_EVO,Rastrigin,1000,5,-0.004122461447663803,negligible
current-to-best1bin,SMCO,SMCO_EVO,Rastrigin,200,10,-0.0004940644654416312,negligible
current-to-best1bin,SMCO,SMCO_EVO,Rastrigin,2000,3,0.004476007001732333,negligible
current-to-best1bin,SMCO,SMCO_EVO,Rastrigin,3000,2,0.5574861974181701,medium
