strategy,pair,func,dim,improve_pct,base_mean,evo_mean,n_reps
best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,3000,0.030719985687453804,86068.11548491748,86094.5555976759,2
best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,4000,0.00502631131802202,114374.76422763668,114380.51305935602,2
best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,5000,0.02005841385396837,142512.25069086358,142540.83638789976,2
best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,50,1.1736422670922824,27764812.00991679,28090671.579043888,20
best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,100,0.433661103607738,52616803.95826252,52844982.57099104,15
best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,200,1.4652750297129602,98101461.91474606,99538918.1399662,10
best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,500,0.14712281841561461,226905423.5312902,227239253.18552732,5
best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,1000,2.0298488428923402,422712947.97426564,431293381.85747737,5
best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,2000,2.4387498390460465,775822748.1332974,794743124.1546808,3
best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,3000,3.745890879397222,1094303115.940483,1135294516.5534573,2
best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,4000,3.590228352724739,1399385030.0219135,1449626148.1335459,2
best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,5000,4.055721029057737,1699574361.5793362,1768504356.366383,2
best1bin,SMCO_R_vs_SMCO_R_EVO,Zakharov,50,0.6251753887869544,1472185536847872.8,1481389278501526.8,20
best1bin,SMCO_R_vs_SMCO_R_EVO,Zakharov,100,0.5419467438219993,3.5073620183415974e+17,3.526370052594049e+17,15
best1bin,SMCO_R_vs_SMCO_R_EVO,Zakharov,200,0.6820230187491043,8.126408086905997e+19,8.181832060656185e+19,10
best1bin,SMCO_R_vs_SMCO_R_EVO,Zakharov,500,0.2302759019714715,1.0966824087560668e+23,1.0992078040645922e+23,5
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,50,0.6349557422330144,22.069994570511767,22.210129268347746,20
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,100,0.7562450484478969,22.034128689829082,22.20076069701455,15
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,200,1.0427701021506781,21.972329805821822,22.201450691782874,10
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,500,1.0407719335081533,21.947773314504367,22.17619957919172,5
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,1000,1.0830238601680418,21.941297712620617,22.178927202078803,5
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,2000,1.1556999586099195,21.921569244123116,22.174916810804092,3
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,3000,1.186018912128925,21.90992625267647,22.169782121666714,2
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,4000,1.1668935838691596,21.90941466516003,22.16507421915107,2
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,5000,1.1787675823290196,21.912597619812423,22.170896217000973,2
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Griewank,50,-0.025543750232626793,4161.670565996321,4160.607519261438,20
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Griewank,100,0.11545477996776857,8146.543018494601,8155.948591811583,15
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Griewank,200,0.149585789183222,15582.821648537065,15606.131335277043,10
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,50,-0.02846429370368655,1713.6892572955312,1713.201467752166,20
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,100,0.06054251216514589,3259.31062261035,3261.283891140544,15
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,200,0.0012651224594087279,6336.63125564698,6336.711421792165,10
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,500,0.0020235339045064893,14784.424196097865,14784.72336393406,5
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,1000,-0.0025978886079665634,29126.31025437183,29125.55358527581,5
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,2000,-0.00037129250564273234,57911.78566871155,57911.57064659148,3
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,3000,0.004978498221169264,86027.36301720096,86031.64588793849,2
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,4000,0.00507566002280574,114314.06385418148,114319.86604742098,2
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,5000,-0.0011625669613674905,142460.14573842997,142458.4895438425,2
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,50,2.9537237254100077,25826421.53841371,26589262.678818237,20
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,100,0.7830233536522586,47986687.78786815,48362434.75989135,15
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,200,3.284478705265977,87336134.89183861,90204671.64436342,10
