label,name,dim,maximize,repetitions,iter_max,n_starts,seed,evolution_strategy,best_opt,algo,time_avg,rMSE,AE50,AE95,AE99,fopt_mean,fopt_sd
Ackley_10d,Ackley,10,False,20,300,10,20260828,current-to-best1bin,0.03153000336684686,SMCO,0.8981506759446347,0.20616559505386522,0.1930029793560184,0.25933842710544897,0.26371417808612735,0.23369173527927717,0.041484134368403834
Ackley_10d,Ackley,10,False,20,300,10,20260828,current-to-best1bin,0.03153000336684686,SMCO_BR,0.9198200639511924,0.02694338815952947,0.027669215302811523,0.03539745390470746,0.035756985339105575,0.05730520075258196,0.008051502981069804
Ackley_10d,Ackley,10,False,20,300,10,20260828,current-to-best1bin,0.03153000336684686,SMCO_BR_EVO,0.9153776050021406,0.023889547870650132,0.022755164122314042,0.033825587978521025,0.03628390253054366,0.05425000610718085,0.007575026346544439
Ackley_10d,Ackley,10,False,20,300,10,20260828,current-to-best1bin,0.03153000336684686,SMCO_EVO,0.9026452775549842,0.19423223580954324,0.20109491675956015,0.2355782551757839,0.24308932039176392,0.22153849605002796,0.04133221167487103
Ackley_10d,Ackley,10,False,20,300,10,20260828,current-to-best1bin,0.03153000336684686,SMCO_R,0.9093008699972416,0.02205152661062768,0.021354880783476915,0.029506092517503826,0.030806930429749604,0.051999511298558065,0.008414840955611994
Ackley_10d,Ackley,10,False,20,300,10,20260828,current-to-best1bin,0.03153000336684686,SMCO_R_EVO,0.9011685489997034,0.022450710597054988,0.021875006075346093,0.028746109987335268,0.029644099097040414,0.05325145086639589,0.005823105053152923
Bukin6_2d,Bukin6,2,False,20,300,10,20262028,current-to-best1bin,0.040159862668839495,SMCO,0.07624104324204381,0.14805875204145333,0.1269311017512406,0.26976603254578885,0.32241862806808574,0.1649648297902512,0.08172556282362199
Bukin6_2d,Bukin6,2,False,20,300,10,20262028,current-to-best1bin,0.040159862668839495,SMCO_BR,0.07946252325200476,0.10684152666150024,0.0991180891097874,0.16165129172183754,0.17538882666409505,0.13756744060957377,0.04503654164389113
Bukin6_2d,Bukin6,2,False,20,300,10,20262028,current-to-best1bin,0.040159862668839495,SMCO_BR_EVO,0.08122258654912003,0.08548489128342197,0.06753963469724139,0.1464261013053821,0.14787009935585876,0.11378449621350621,0.044569047238402555
Bukin6_2d,Bukin6,2,False,20,300,10,20262028,current-to-best1bin,0.040159862668839495,SMCO_EVO,0.07606059680692852,0.2168221341862134,0.20050328340842605,0.36460712025909436,0.3721009509961326,0.23077024011041,0.10602642115924817
Bukin6_2d,Bukin6,2,False,20,300,10,20262028,current-to-best1bin,0.040159862668839495,SMCO_R,0.07826274494291283,0.08625566992648766,0.07707062418609631,0.12562314688581436,0.13323947280739035,0.12025598119284879,0.03284176403773969
