func,n_cases,evo_wins,base_wins,ties,evo_win_rate,mean_rel_improvement_pct,median_rel_improvement_pct,mean_time_ratio,median_time_ratio
Ackley,88,88,0,0,1.0,0.6341666281672197,0.6243566930712555,1.0077272065234164,1.0028722495479432
DixonPrice,50,21,29,0,0.42,-0.04384441773956524,-0.054389063528238565,0.9989040846094359,1.0009665388674296
Griewank,60,29,31,0,0.48333333333333334,-0.006602647014057607,-0.0026950209175405715,1.0018849757470774,1.001261431396511
Qing,50,20,30,0,0.4,-0.0467754523060799,-0.03410551738380001,1.0071501910145213,0.9976628970622583
Rastrigin,88,46,42,0,0.5227272727272727,0.002091577457657568,3.2272397489162575e-05,1.007205101133677,1.0016652286266177
Rosenbrock,88,43,45,0,0.48863636363636365,0.07318742360446108,-0.0001284826251386994,1.0203564427267344,1.002128244827712
Zakharov,83,60,23,0,0.7228915662650602,0.21735254888448752,0.09298498969451557,0.991047101477261,0.995987463757798
