source,pair,func,dim,rep,base_algo,evo_algo,base_fopt,evo_fopt,winner,rel_improvement_pct,base_time,evo_time,time_ratio
highdim-comparison-2026-05-31,SMCO_R_vs_SMCO_R_EVO,Ackley,50,0,SMCO_R,SMCO_R_EVO,22.056475837689987,22.169479829700464,evo,0.5123392913811543,5.665878978092223,4.400913315010257,0.7767397312979852
highdim-comparison-2026-05-31,SMCO_R_vs_SMCO_R_EVO,Ackley,50,1,SMCO_R,SMCO_R_EVO,22.061723205856214,22.20463544253706,evo,0.647783653830408,6.120783362071961,6.100464990944602,0.9966804296238837
highdim-comparison-2026-05-31,SMCO_R_vs_SMCO_R_EVO,Ackley,50,2,SMCO_R,SMCO_R_EVO,22.07222397493812,22.21986846469927,evo,0.6689153296414306,5.281730188988149,5.956849602982402,1.127821639848587
highdim-comparison-2026-05-31,SMCO_R_vs_SMCO_R_EVO,Ackley,50,3,SMCO_R,SMCO_R_EVO,22.070465173138878,22.14160711571468,evo,0.3223400232741231,6.346989865996875,6.064950620988384,0.9555633062344282
highdim-comparison-2026-05-31,SMCO_R_vs_SMCO_R_EVO,Ackley,50,4,SMCO_R,SMCO_R_EVO,22.076893608271543,22.12474488052445,evo,0.21674821241597894,6.044946155976504,6.09069612598978,1.0075683006651837
highdim-comparison-2026-05-31,SMCO_R_vs_SMCO_R_EVO,Ackley,50,5,SMCO_R,SMCO_R_EVO,22.06793316114699,22.14402478580151,evo,0.34480630378420596,6.046673972974531,5.413700030068867,0.8953186585328188
highdim-comparison-2026-05-31,SMCO_R_vs_SMCO_R_EVO,Ackley,50,6,SMCO_R,SMCO_R_EVO,22.078502293096772,22.151134965135554,evo,0.3289746336711087,5.488054254907183,6.095741612021811,1.1107291088770233
highdim-comparison-2026-05-31,SMCO_R_vs_SMCO_R_EVO,Ackley,50,7,SMCO_R,SMCO_R_EVO,22.083742910718186,22.08641254216732,evo,0.012088672920740333,6.0809963420033455,6.076361702056602,0.9992378485882764
highdim-comparison-2026-05-31,SMCO_R_vs_SMCO_R_EVO,Ackley,50,8,SMCO_R,SMCO_R_EVO,22.09536432853747,22.180535709439173,evo,0.38547171992859236,6.148575154016726,6.0933572800131515,0.9910194032567852
highdim-comparison-2026-05-31,SMCO_R_vs_SMCO_R_EVO,Ackley,50,9,SMCO_R,SMCO_R_EVO,22.047182414246887,22.160438347933155,evo,0.5136979935045235,4.367039412027225,5.28650690393988,1.2105471018604408
highdim-comparison-2026-05-31,SMCO_R_vs_SMCO_R_EVO,Ackley,50,10,SMCO_R,SMCO_R_EVO,22.109551629130763,22.157770677407157,evo,0.21809147957963243,6.080850476049818,5.114782448974438,0.8411294553483335
highdim-comparison-2026-05-31,SMCO_R_vs_SMCO_R_EVO,Ackley,50,11,SMCO_R,SMCO_R_EVO,22.04698402947875,22.14364700033725,evo,0.43844078958488275,6.222705745021813,6.007280427962542,0.9653807642709745
highdim-comparison-2026-05-31,SMCO_R_vs_SMCO_R_EVO,Ackley,50,12,SMCO_R,SMCO_R_EVO,22.04170823549821,22.130273364305793,evo,0.401807009970987,6.010314925923012,6.064207014045678,1.0089665997184647
highdim-comparison-2026-05-31,SMCO_R_vs_SMCO_R_EVO,Ackley,50,13,SMCO_R,SMCO_R_EVO,22.079903966198966,22.106576918841874,evo,0.12080194136596085,6.076105037005618,5.4028651039116085,0.8891987664805427
highdim-comparison-2026-05-31,SMCO_R_vs_SMCO_R_EVO,Ackley,50,14,SMCO_R,SMCO_R_EVO,22.082142714192564,22.150066719907084,evo,0.30759698727453727,5.523949210066348,5.874882056028582,1.0635293397199825
highdim-comparison-2026-05-31,SMCO_R_vs_SMCO_R_EVO,Ackley,50,15,SMCO_R,SMCO_R_EVO,22.075019442849975,22.103684700818487,evo,0.12985382886173208,6.223884920007549,5.929476985009387,0.9526970792708993
highdim-comparison-2026-05-31,SMCO_R_vs_SMCO_R_EVO,Ackley,50,16,SMCO_R,SMCO_R_EVO,22.076929871413764,22.135575329894255,evo,0.2656413678082479,5.861353044980206,6.124031570972875,1.0448153393895345
highdim-comparison-2026-05-31,SMCO_R_vs_SMCO_R_EVO,Ackley,50,17,SMCO_R,SMCO_R_EVO,22.055058217633224,22.16081576456053,evo,0.47951606331627544,6.161902557010762,5.934619322069921,0.9631147632021139
highdim-comparison-2026-05-31,SMCO_R_vs_SMCO_R_EVO,Ackley,50,18,SMCO_R,SMCO_R_EVO,22.10802373109477,22.146859185722725,evo,0.17566226226422899,5.9720073220087215,5.953167355037294,0.9968452873622582
highdim-comparison-2026-05-31,SMCO_R_vs_SMCO_R_EVO,Ackley,50,19,SMCO_R,SMCO_R_EVO,22.07553885014377,22.199153085751185,evo,0.5599602186227545,5.945891386014409,5.961717049940489,1.002661613355956
highdim-comparison-2026-05-31,SMCO_R_vs_SMCO_R_EVO,Ackley,50,20,SMCO_R,SMCO_R_EVO,22.103166538279442,22.17349469866263,evo,0.3181813803076112,6.076800627051853,6.095534709049389,1.00308288573993
highdim-comparison-2026-05-31,SMCO_R_vs_SMCO_R_EVO,Ackley,50,21,SMCO_R,SMCO_R_EVO,22.07126463051702,22.20246225187665,evo,0.5944272952000557,5.359412522055209,5.8143529100343585,1.084886241935467
highdim-comparison-2026-05-31,SMCO_R_vs_SMCO_R_EVO,Ackley,50,22,SMCO_R,SMCO_R_EVO,22.073042599044676,22.18683691860651,evo,0.5155352691013174,5.677046022959985,5.895583842997439,1.0384949882656596
highdim-comparison-2026-05-31,SMCO_R_vs_SMCO_R_EVO,Ackley,50,23,SMCO_R,SMCO_R_EVO,22.07581414329176,22.133736409395283,evo,0.26237884468295175,4.5450455989921466,4.473926455015317,0.9843523805366
highdim-comparison-2026-05-31,SMCO_R_vs_SMCO_R_EVO,Ackley,50,24,SMCO_R,SMCO_R_EVO,22.091624525275716,22.13075190436682,evo,0.17711408704388806,5.824226790922694,5.811331068049185,0.9977858480899804
highdim-comparison-2026-05-31,SMCO_R_vs_SMCO_R_EVO,Ackley,50,25,SMCO_R,SMCO_R_EVO,22.06466369682129,22.142441428875053,evo,0.35249905968413126,5.854186641983688,6.0806445949710906,1.0386830770586206
highdim-comparison-2026-05-31,SMCO_R_vs_SMCO_R_EVO,Ackley,50,26,SMCO_R,SMCO_R_EVO,22.072329516885393,22.19984751559214,evo,0.5777278678682063,6.105350424069911,6.331219054060057,1.0369951950832625
