pair,n_cases,evo_wins,base_wins,ties,evo_win_rate,mean_rel_improvement_pct,median_rel_improvement_pct,mean_time_ratio,median_time_ratio
SMCO_vs_SMCO_EVO,193,126,67,0,0.6528497409326425,0.787118750006127,0.013688297502425029,1.008930718784138,1.005127300849213
SMCO_R_vs_SMCO_R_EVO,193,126,67,0,0.6528497409326425,0.24967124194371804,0.02890418735631883,1.0134549561103758,1.0071637583383797
SMCO_BR_vs_SMCO_BR_EVO,193,130,63,0,0.6735751295336787,0.6408393226530872,0.07359905312626736,1.0039637830157795,1.0060075348591386
