source,pair,func,dim,rep,base_algo,evo_algo,base_fopt,evo_fopt,winner,rel_improvement_pct,base_time,evo_time,time_ratio
highdim-comparison-2026-05-31,SMCO_BR_vs_SMCO_BR_EVO,Ackley,100,0,SMCO_BR,SMCO_BR_EVO,22.041698064124976,22.164010278881886,evo,0.5549128492780923,9.01401932805311,9.026697034016252,1.0014064431749872
highdim-comparison-2026-05-31,SMCO_BR_vs_SMCO_BR_EVO,Ackley,100,1,SMCO_BR,SMCO_BR_EVO,22.027383059318627,22.18464992354078,evo,0.7139607269671564,9.432121441001073,9.178954428993165,0.9731590593281169
highdim-comparison-2026-05-31,SMCO_BR_vs_SMCO_BR_EVO,Ackley,100,2,SMCO_BR,SMCO_BR_EVO,22.039919665483595,22.172298118604523,evo,0.6006303794666024,9.192719204933383,9.271742998971604,1.0085963458990255
highdim-comparison-2026-05-31,SMCO_BR_vs_SMCO_BR_EVO,Ackley,100,3,SMCO_BR,SMCO_BR_EVO,22.016629129530173,22.176029277343993,evo,0.723998877739288,9.30806194897741,9.321837984025478,1.001480011104737
highdim-comparison-2026-05-31,SMCO_BR_vs_SMCO_BR_EVO,Ackley,100,4,SMCO_BR,SMCO_BR_EVO,22.046577027149144,22.187325976605653,evo,0.6384163368453244,9.264348689001054,9.16087942791637,0.9888314586855388
highdim-comparison-2026-05-31,SMCO_BR_vs_SMCO_BR_EVO,Ackley,100,5,SMCO_BR,SMCO_BR_EVO,22.06736537952594,22.195533818161564,evo,0.5808053495798848,9.593163014971651,9.172589233960025,0.9561590082066516
highdim-comparison-2026-05-31,SMCO_BR_vs_SMCO_BR_EVO,Ackley,100,6,SMCO_BR,SMCO_BR_EVO,22.039314060651826,22.161563446902186,evo,0.5546877997832939,8.96134089701809,9.091320553910919,1.0145044874853584
highdim-comparison-2026-05-31,SMCO_BR_vs_SMCO_BR_EVO,Ackley,100,7,SMCO_BR,SMCO_BR_EVO,22.032089073574,22.194789116823706,evo,0.7384685251879028,9.149348843027838,9.931771580944769,1.0855167675143536
highdim-comparison-2026-05-31,SMCO_BR_vs_SMCO_BR_EVO,Ackley,100,8,SMCO_BR,SMCO_BR_EVO,22.02562866753775,22.151755939020752,evo,0.5726386900769599,9.17920201504603,9.387773112975992,1.0227221383283736
highdim-comparison-2026-05-31,SMCO_BR_vs_SMCO_BR_EVO,Ackley,100,9,SMCO_BR,SMCO_BR_EVO,22.06049518887576,22.168704170070974,evo,0.4905102096247626,9.057365603046492,9.210315842996351,1.0168868351630207
highdim-comparison-2026-05-31,SMCO_BR_vs_SMCO_BR_EVO,Ackley,100,10,SMCO_BR,SMCO_BR_EVO,22.02152726016849,22.121614600813484,evo,0.4544977260774582,9.340445403940976,10.128757629077882,1.0843977124264648
highdim-comparison-2026-05-31,SMCO_BR_vs_SMCO_BR_EVO,Ackley,100,11,SMCO_BR,SMCO_BR_EVO,22.051686821715215,22.20343063357624,evo,0.6881279109750277,9.163444316014647,9.515140879084356,1.038380389615623
