label,name,dim,maximize,n_replications,best_opt,algo,time_avg,rMSE,AE50,AE95,AE99,fopt_mean,fopt_sd
table3_MaximumScore_d20,MaximumScore,20,True,25,0.47,SMCO,0.35657655340153727,0.03793889824441398,0.033999999999999975,0.05719999999999999,0.07319999999999993,0.4364,0.01798147194568158
table3_MaximumScore_d20,MaximumScore,20,True,25,0.47,SMCO_R,0.3718848777189851,0.03957372865930122,0.033999999999999975,0.062,0.07263999999999994,0.43448,0.017807114682994927
table3_MaximumScore_d20,MaximumScore,20,True,25,0.47,SMCO_BR,0.38238508260343224,0.04471957065983525,0.04199999999999998,0.06719999999999994,0.07407999999999994,0.42800000000000005,0.015673757260678333
table3_MaximumScore_d20,MaximumScore,20,True,25,0.47,GD,0.0026392838777974247,0.1856392199940519,0.178,0.21359999999999996,0.22311999999999996,0.28544,0.020400326794768095
table3_MaximumScore_d20,MaximumScore,20,True,25,0.47,SignGD,0.002460466716438532,0.1856392199940519,0.178,0.21359999999999996,0.22311999999999996,0.28544,0.020400326794768095
table3_MaximumScore_d20,MaximumScore,20,True,25,0.47,ADAM,0.0025339957559481264,0.1856392199940519,0.178,0.21359999999999996,0.22311999999999996,0.28544,0.020400326794768095
table3_MaximumScore_d20,MaximumScore,20,True,25,0.47,SPSA,0.0009693894255906343,0.18554913095996972,0.178,0.21359999999999996,0.22311999999999996,0.28552,0.02030008210164021
table3_MaximumScore_d20,MaximumScore,20,True,25,0.47,optimLBFGS,0.004390002635773271,0.1856392199940519,0.178,0.21359999999999996,0.22311999999999996,0.28544,0.020400326794768095
table3_MaximumScore_d20,MaximumScore,20,True,25,0.47,BOBYQA,0.21136417371686547,0.18483852412308424,0.178,0.21359999999999996,0.22311999999999996,0.28624,0.020349610970892454
table3_MaximumScore_d20,MaximumScore,20,True,25,0.47,SMCO_EVO,0.3525173631263897,0.03677390379059583,0.02999999999999997,0.05719999999999999,0.07319999999999993,0.43768,0.01790418945386806
table3_MaximumScore_d20,MaximumScore,20,True,25,0.47,SMCO_R_EVO,0.355292954989709,0.03968274184075489,0.035999999999999976,0.05759999999999999,0.07471999999999993,0.43432000000000004,0.017726439762870232
table3_MaximumScore_d20,MaximumScore,20,True,25,0.47,SMCO_BR_EVO,0.37870905827963725,0.04558947246898124,0.03999999999999998,0.06959999999999993,0.08111999999999994,0.4276,0.017097758137642884
table3_MaximumScore_d20,MaximumScore,20,True,25,0.47,GenSA,0.5594935900019482,0.07655377195148516,0.07599999999999996,0.09759999999999996,0.09951999999999997,0.39527999999999996,0.016998823488700614
table3_MaximumScore_d20,MaximumScore,20,True,25,0.47,SA,0.3394546015164815,0.19525286169477768,0.20199999999999996,0.22839999999999996,0.23759999999999995,0.27648000000000006,0.026490753103677517
table3_MaximumScore_d20,MaximumScore,20,True,25,0.47,DEoptim,5.311409755165223,0.0594010100924218,0.05199999999999999,0.07599999999999996,0.08055999999999995,0.41232,0.014487695929074885
table3_MaximumScore_d20,MaximumScore,20,True,25,0.47,GA,0.46700698051601647,0.05972738065577627,0.05399999999999999,0.07799999999999996,0.08559999999999994,0.41240000000000004,0.01612451549659709
table3_MaximumScore_d20,MaximumScore,20,True,25,0.47,PSO,0.16879555196268484,0.0945727233402951,0.09399999999999997,0.12039999999999998,0.122,0.37671999999999994,0.015904716281656843
