label,name,dim,maximize,repetitions,iter_max,n_starts,seed,best_opt,algo,time_avg,rMSE,AE50,AE95,AE99,fopt_mean,fopt_sd
Mishra6_2d,Mishra6,2,False,20,300,10,20262228,-3.9627077753458684,SMCO,0.12175773435155861,0.09963056091310794,0.06063765232150686,0.1153123701441352,0.30996707520142086,-3.9001588672519567,0.07956382915370445
Mishra6_2d,Mishra6,2,False,20,300,10,20262228,-3.9627077753458684,SMCO_R,0.1206921782460995,0.06335235409233386,0.06057808254366126,0.10243602272916277,0.10243707458717517,-3.9167958560899003,0.044787409406450096
Mishra6_2d,Mishra6,2,False,20,300,10,20262228,-3.9627077753458684,SMCO_BR,0.12577105495729485,0.0993844379405583,0.06057141729597815,0.11524737273868527,0.3099538091969458,-3.9042412032181866,0.08245526026690743
Mishra6_2d,Mishra6,2,False,20,300,10,20262228,-3.9627077753458684,SMCO_EVO,0.12137877449567895,0.0665406700383897,3.80460628790491e-05,0.1081714892195791,0.19533490467295656,-3.925301527267159,0.056460823621636805
Mishra6_2d,Mishra6,2,False,20,300,10,20262228,-3.9627077753458684,SMCO_R_EVO,0.1237238374131266,0.05961325474614767,0.030285252821516062,0.10243618853771641,0.10243647191915214,-3.9214514509700393,0.044148741895711816
Mishra6_2d,Mishra6,2,False,20,300,10,20262228,-3.9627077753458684,SMCO_BR_EVO,0.12229338566248771,0.04611860509632407,1.4629621378769997e-06,0.10243579494073496,0.10243593008795877,-3.9373094745833477,0.03949486381540113
Mishra6_2d,Mishra6,2,False,20,300,10,20262228,-3.9627077753458684,GD,0.08476876229979098,0.2504181895490923,0.21913470207315022,0.37230713248133396,0.3974755694201708,-3.748342359240943,0.13281066077694098
Mishra6_2d,Mishra6,2,False,20,300,10,20262228,-3.9627077753458684,SignGD,0.037947378153330644,0.269814257669307,0.26250552834230256,0.3741249396537689,0.42960118486669574,-3.733188806749996,0.14553269372722202
Mishra6_2d,Mishra6,2,False,20,300,10,20262228,-3.9627077753458684,ADAM,0.11380641194700729,0.275232080384527,0.22947496842499704,0.445337197218545,0.48722411713914093,-3.724478430464886,0.1414194109745615
Mishra6_2d,Mishra6,2,False,20,300,10,20262228,-3.9627077753458684,SPSA,0.09103586495912168,0.45605231287606207,0.4224574092580897,0.7003798128062712,0.7555793378756758,-3.5355153244285575,0.16380451108390878
Mishra6_2d,Mishra6,2,False,20,300,10,20262228,-3.9627077753458684,optimLBFGS,0.022137368805124423,0.12034164651394681,0.0605639717123343,0.24767469724642346,0.336439242002776,-3.883861746035629,0.09327613531138593
Mishra6_2d,Mishra6,2,False,20,300,10,20262228,-3.9627077753458684,optimNM,0.023586841256474145,0.17259692851563194,0.07673427924783516,0.35863037508780227,0.3586303750878077,-3.834852120658996,0.118954353463934
Mishra6_2d,Mishra6,2,False,20,300,10,20262228,-3.9627077753458684,BOBYQA,0.6568544412002666,0.19140433364662793,0.09310153671440147,0.3592226173803498,0.3682246780765481,-3.816399511995583,0.12661383899638928
Mishra6_2d,Mishra6,2,False,20,300,10,20262228,-3.9627077753458684,GenSA,0.04431668720499147,0.03880480899517093,2.332578574737454e-12,0.0767342792478489,0.07673427924797006,-3.939893358020128,0.03220519021979747
Mishra6_2d,Mishra6,2,False,20,300,10,20262228,-3.9627077753458684,SA,0.5986406240524957,0.24171736514980008,0.06056395759477606,0.3586303750878307,0.35863037508783613,-3.792239512917136,0.17582244668232402
Mishra6_2d,Mishra6,2,False,20,300,10,20262228,-3.9627077753458684,DEoptim,0.043469507541158234,0.02985713462299149,6.629975235483698e-09,0.06265752362776084,0.09447971761415579,-3.951529610110235,0.028404912656279136
Mishra6_2d,Mishra6,2,False,20,300,10,20262228,-3.9627077753458684,GA,0.3148394702002406,0.04421375074172091,0.005933174755117676,0.09861288889995107,0.10767507110340568,-3.937797722104334,0.03747764248827368
Mishra6_2d,Mishra6,2,False,20,300,10,20262228,-3.9627077753458684,PSO,0.05931451765063685,0.09591087708988162,0.0,0.12346595227977233,0.3115974905261914,-3.912971935539366,0.08413799806766331
