label,name,dim,maximize,n_replications,best_opt,algo,time_avg,rMSE,AE50,AE95,AE99,fopt_mean,fopt_sd
table1_Michalewicz_d2_min,Michalewicz,2,False,500,-1.8013034100985532,SMCO,0.03309885133581702,3.847208504247966e-06,1.421376552901421e-06,7.813122810362836e-06,1.5188752533885586e-05,-1.8013010285889404,3.024519909042677e-06
table1_Michalewicz_d2_min,Michalewicz,2,False,500,-1.8013034100985532,SMCO_R,0.032964984518825076,6.3599486230833165e-06,2.2423106021962624e-06,1.4606502667779958e-05,1.6198854108335767e-05,-1.8012991616991345,4.737608969114712e-06
table1_Michalewicz_d2_min,Michalewicz,2,False,500,-1.8013034100985532,SMCO_BR,0.03336979336873628,8.000475450990577e-06,3.4371901340701783e-06,1.688267324209125e-05,1.945851258572162e-05,-1.8012977484550683,5.658395122508875e-06
table1_Michalewicz_d2_min,Michalewicz,2,False,500,-1.8013034100985532,GD,0.008258257685229182,1.306520134813948,1.1437515300646561,1.8013034100985532,1.8013034100985532,-0.5729781282454828,0.4456557895959983
table1_Michalewicz_d2_min,Michalewicz,2,False,500,-1.8013034100985532,SignGD,0.02845894412160851,0.7646448286796764,0.5883753429834141,1.3885473045763437,1.388547786209403,-1.197927298565,0.4701713562795508
table1_Michalewicz_d2_min,Michalewicz,2,False,500,-1.8013034100985532,ADAM,0.01196324973006267,0.9475073779042301,0.8013034105774651,1.8013034100985532,1.8013034100985532,-1.0353132837199526,0.5582585984998737
table1_Michalewicz_d2_min,Michalewicz,2,False,500,-1.8013034100985532,SPSA,0.0030706600302364676,1.3419717759880112,1.0000003464126144,1.8013034100985532,1.8013034100985532,-0.567671420878932,0.5287717483434129
table1_Michalewicz_d2_min,Michalewicz,2,False,500,-1.8013034100985532,optimLBFGS,0.0016558829202549532,1.2668742978824077,1.0000000000000022,1.8013034100985532,1.8013034100985532,-0.652926807828689,0.5355139740725912
table1_Michalewicz_d2_min,Michalewicz,2,False,500,-1.8013034100985532,BOBYQA,0.03735043755918741,0.9293514524593575,0.8013034522891151,1.3885473433790743,1.8013034100985532,-0.9718867379739802,0.4196597846587587
table1_Michalewicz_d2_min,Michalewicz,2,False,500,-1.8013034100985532,SMCO_EVO,0.033492147623794155,3.5690285758517006e-06,1.421225362507883e-06,6.969559844327566e-06,1.3928691200804083e-05,-1.8013011343819605,2.752131432139418e-06
table1_Michalewicz_d2_min,Michalewicz,2,False,500,-1.8013034100985532,SMCO_R_EVO,0.033051768924691714,6.119288803564603e-06,2.1259717433164127e-06,1.4365585412245971e-05,1.59685593275749e-05,-1.8012993384490232,4.572656113546058e-06
table1_Michalewicz_d2_min,Michalewicz,2,False,500,-1.8013034100985532,SMCO_BR_EVO,0.033746783320559186,7.807725542650895e-06,3.3195157675969256e-06,1.6946345907153933e-05,1.940913084848228e-05,-1.801298007084874,5.641957523939163e-06
