label,name,dim,maximize,n_replications,best_opt,algo,time_avg,rMSE,AE50,AE95,AE99,fopt_mean,fopt_sd
table3_EmpiricalWelfare_d50,EmpiricalWelfare,50,True,10,3680.298547110485,SMCO,47.92244699549629,558.247232268094,502.62401062560934,822.5396129242105,883.4061552640134,3163.596931584084,222.7589949484388
table3_EmpiricalWelfare_d50,EmpiricalWelfare,50,True,10,3680.298547110485,SMCO_R,44.05093121471,409.1345390671032,392.92356066355796,642.502556109725,745.1154955003791,3319.794145072103,203.92713069078752
table3_EmpiricalWelfare_d50,EmpiricalWelfare,50,True,10,3680.298547110485,SMCO_BR,44.03637423590408,661.5688648179841,630.0135801799843,884.3149083812201,932.8599891575402,3044.015022227042,190.95269588291345
table3_EmpiricalWelfare_d50,EmpiricalWelfare,50,True,10,3680.298547110485,GD,0.13890646569780074,2788.7919563892065,2772.1854060500914,2912.688647945353,2921.841773826303,893.2713704868274,104.56307390651882
table3_EmpiricalWelfare_d50,EmpiricalWelfare,50,True,10,3680.298547110485,SignGD,0.1372606341028586,2788.7919563892065,2772.1854060500914,2912.688647945353,2921.841773826303,893.2713704868274,104.56307390651882
table3_EmpiricalWelfare_d50,EmpiricalWelfare,50,True,10,3680.298547110485,ADAM,0.13790055119316094,2788.7919563892065,2772.1854060500914,2912.688647945353,2921.841773826303,893.2713704868274,104.56307390651882
table3_EmpiricalWelfare_d50,EmpiricalWelfare,50,True,10,3680.298547110485,SPSA,0.011859748698771,2754.9410289375905,2769.9430499837354,2884.124544616718,2895.7886734251315,927.1888864794546,105.86820666283309
table3_EmpiricalWelfare_d50,EmpiricalWelfare,50,True,10,3680.298547110485,optimLBFGS,0.08461278759059496,2788.7919563892065,2772.1854060500914,2912.688647945353,2921.841773826303,893.2713704868274,104.56307390651882
table3_EmpiricalWelfare_d50,EmpiricalWelfare,50,True,10,3680.298547110485,BOBYQA,4.3729876262019385,2744.8889699109277,2739.521495175105,2876.226246882792,2896.087274747912,936.8836387292649,94.81032298657654
table3_EmpiricalWelfare_d50,EmpiricalWelfare,50,True,10,3680.298547110485,SMCO_EVO,45.87637380490778,531.2718115320769,502.09576601973254,745.0633768838765,755.4802889515333,3183.3399436192135,197.99518553231997
table3_EmpiricalWelfare_d50,EmpiricalWelfare,50,True,10,3680.298547110485,SMCO_R_EVO,43.817698258103334,447.1004052433209,430.4813780765471,686.9085492789758,733.6960977989801,3274.102596768948,196.93095884056368
table3_EmpiricalWelfare_d50,EmpiricalWelfare,50,True,10,3680.298547110485,SMCO_BR_EVO,42.64399495780235,635.9288523036063,580.2659655209798,899.8516507643924,940.8506077198301,3072.7310365390877,197.95404991579167
table3_EmpiricalWelfare_d50,EmpiricalWelfare,50,True,10,3680.298547110485,GenSA,8.675354552693898,1801.948022780159,1781.3217228667454,1979.9812479670381,2000.2939835194616,1882.7358072210784,132.4339372526473
table3_EmpiricalWelfare_d50,EmpiricalWelfare,50,True,10,3680.298547110485,SA,3.9625882435007953,2793.377291248072,2821.933020709096,3108.1035915645657,3170.179235064512,898.2540117098567,264.9630882215745
table3_EmpiricalWelfare_d50,EmpiricalWelfare,50,True,10,3680.298547110485,DEoptim,66.38253179569146,1158.0405487648047,1084.5497668871294,1556.0011818280377,1650.2451458310738,2550.45432614117,267.7269523760925
table3_EmpiricalWelfare_d50,EmpiricalWelfare,50,True,10,3680.298547110485,GA,3.2833842661988455,803.583768743954,781.6948389894822,939.285818063536,965.641658896237,2884.849148866964,120.21798822119887
table3_EmpiricalWelfare_d50,EmpiricalWelfare,50,True,10,3680.298547110485,PSO,2.4341061788087246,1494.6071056973185,1453.7535509053446,1775.839558711915,1820.1408706494626,2195.7058711915874,182.07137492045203
