experiment,algo,func,dim,rep,fopt,time,iterations,n_starts
A,SMCO_R,Ackley,50,7,22.083742910718186,6.0809963420033455,158,8
A,SMCO_R_EVO,Ackley,50,7,22.08641254216732,6.076361702056602,308,8
A,SMCO_R,Ackley,50,8,22.09536432853747,6.148575154016726,158,8
A,SMCO_R_EVO,Ackley,50,8,22.180535709439173,6.0933572800131515,308,8
A,SMCO_R,Ackley,50,9,22.047182414246887,4.367039412027225,158,8
A,SMCO_R_EVO,Ackley,50,9,22.160438347933155,5.28650690393988,308,8
A,SMCO_R,Ackley,50,10,22.109551629130763,6.080850476049818,158,8
A,SMCO_R_EVO,Ackley,50,10,22.157770677407157,5.114782448974438,308,8
A,SMCO_R,Ackley,50,11,22.04698402947875,6.222705745021813,158,8
A,SMCO_R_EVO,Ackley,50,11,22.14364700033725,6.007280427962542,308,8
A,SMCO_R,Ackley,50,12,22.04170823549821,6.010314925923012,158,8
A,SMCO_R_EVO,Ackley,50,12,22.130273364305793,6.064207014045678,308,8
A,SMCO_R,Ackley,50,13,22.079903966198966,6.076105037005618,158,8
A,SMCO_R_EVO,Ackley,50,13,22.106576918841874,5.4028651039116085,308,8
A,SMCO_R,Ackley,50,14,22.082142714192564,5.523949210066348,158,8
A,SMCO_R_EVO,Ackley,50,14,22.150066719907084,5.874882056028582,308,8
A,SMCO_R,Ackley,50,15,22.075019442849975,6.223884920007549,158,8
A,SMCO_R_EVO,Ackley,50,15,22.103684700818487,5.929476985009387,308,8
A,SMCO_R,Ackley,50,16,22.076929871413764,5.861353044980206,158,8
A,SMCO_R_EVO,Ackley,50,16,22.135575329894255,6.124031570972875,308,8
A,SMCO_R,Ackley,50,17,22.055058217633224,6.161902557010762,158,8
A,SMCO_R_EVO,Ackley,50,17,22.16081576456053,5.934619322069921,308,8
A,SMCO_R,Ackley,50,18,22.10802373109477,5.9720073220087215,158,8
A,SMCO_R_EVO,Ackley,50,18,22.146859185722725,5.953167355037294,308,8
A,SMCO_R,Ackley,50,19,22.07553885014377,5.945891386014409,158,8
A,SMCO_R_EVO,Ackley,50,19,22.199153085751185,5.961717049940489,308,8
A,SMCO_R,Ackley,50,20,22.103166538279442,6.076800627051853,158,8
A,SMCO_R_EVO,Ackley,50,20,22.17349469866263,6.095534709049389,308,8
A,SMCO_R,Ackley,50,21,22.07126463051702,5.359412522055209,158,8
A,SMCO_R_EVO,Ackley,50,21,22.20246225187665,5.8143529100343585,308,8
