strategy,pair,func,dim,base_time,evo_time,time_overhead_pct,quality_improve_pct,cost_benefit_ratio
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,4000,17899.11,19497.95,8.93,0.0039,0.0004
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,5000,31958.51,32419.09,1.44,-0.0183,-0.0127
current-to-best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,1000,542.3,533.42,-1.64,0.0118,inf
current-to-best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,2000,1684.95,1585.07,-5.93,-0.0242,inf
current-to-best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,3000,3539.64,3385.49,-4.36,-0.0272,inf
current-to-best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,4000,5863.7,5401.89,-7.88,0.0135,inf
current-to-best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,5000,8915.5,8574.39,-3.83,-0.0028,inf
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,1000,1352.37,1356.69,0.32,0.9654,3.0229
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,2000,5351.1,5515.55,3.07,1.0782,0.3508
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,3000,11720.41,11704.19,-0.14,2.6727,inf
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,4000,22241.23,22266.24,0.11,1.8293,16.2688
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,5000,37311.64,38665.96,3.63,1.7787,0.49
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,1000,1003.31,1027.6,2.42,-0.0,-0.0
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,2000,4548.0,4564.82,0.37,0.0244,0.0661
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,3000,9649.48,9836.68,1.94,0.0307,0.0158
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,4000,18240.53,18242.2,0.01,0.005,0.5477
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,5000,31211.51,31799.42,1.88,0.0201,0.0106
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,1000,544.35,531.32,-2.39,-0.0126,inf
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,2000,1698.66,1509.95,-11.11,0.0062,inf
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,3000,3523.9,3350.35,-4.92,1.4852,inf
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,4000,6252.72,5433.43,-13.1,2.4116,inf
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,5000,9206.3,8840.55,-3.97,4.0045,inf
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,1000,1367.33,1361.23,-0.45,0.9967,inf
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,2000,5511.29,5505.29,-0.11,1.0597,inf
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,3000,11547.43,11661.17,0.98,1.0912,1.1078
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,4000,21876.47,22535.36,3.01,1.0537,0.3498
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,5000,36736.77,38666.27,5.25,1.0927,0.2081
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,1000,1015.89,1035.22,1.9,-0.0026,-0.0014
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,2000,4591.43,4670.36,1.72,-0.0004,-0.0002
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,3000,9982.12,10085.83,1.04,0.005,0.0048
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,4000,18852.23,20619.16,9.37,0.0051,0.0005
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,5000,33733.0,33725.39,-0.02,-0.0012,inf
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,1000,541.46,529.39,-2.23,3.7683,inf
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,2000,1534.73,1530.9,-0.25,8.0405,inf
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,3000,3590.5,3350.64,-6.68,8.0183,inf
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,4000,6177.98,5448.01,-11.82,13.578,inf
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,5000,8689.19,8856.45,1.92,16.0541,8.3405
rand1bin,SMCO_vs_SMCO_EVO,Ackley,1000,1058.91,1079.33,1.93,3.5649,1.8485
rand1bin,SMCO_vs_SMCO_EVO,Ackley,2000,4463.81,4561.16,2.18,3.286,1.5067
rand1bin,SMCO_vs_SMCO_EVO,Ackley,3000,8537.73,8901.66,4.26,2.5728,0.6036
rand1bin,SMCO_vs_SMCO_EVO,Ackley,4000,16390.19,17053.55,4.05,2.0312,0.5019
rand1bin,SMCO_vs_SMCO_EVO,Ackley,5000,31540.94,31293.02,-0.79,1.9101,inf
rand1bin,SMCO_vs_SMCO_EVO,Rastrigin,1000,775.73,857.02,10.48,0.0011,0.0001
rand1bin,SMCO_vs_SMCO_EVO,Rastrigin,2000,3449.35,3523.22,2.14,0.0042,0.002
rand1bin,SMCO_vs_SMCO_EVO,Rastrigin,3000,6320.2,6432.17,1.77,0.0073,0.0041
rand1bin,SMCO_vs_SMCO_EVO,Rastrigin,4000,12580.61,12552.72,-0.22,0.0057,inf
rand1bin,SMCO_vs_SMCO_EVO,Rastrigin,5000,23849.14,25765.33,8.03,-0.0188,-0.0023
rand1bin,SMCO_vs_SMCO_EVO,Rosenbrock,1000,414.25,401.04,-3.19,0.0092,inf
rand1bin,SMCO_vs_SMCO_EVO,Rosenbrock,2000,1324.59,1308.68,-1.2,-0.0234,inf
rand1bin,SMCO_vs_SMCO_EVO,Rosenbrock,3000,2694.02,2626.81,-2.49,-0.0192,inf
rand1bin,SMCO_vs_SMCO_EVO,Rosenbrock,4000,4568.72,4842.14,5.98,0.0101,0.0017
rand1bin,SMCO_vs_SMCO_EVO,Rosenbrock,5000,6483.2,6422.43,-0.94,-0.0071,inf
rand1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,1000,1093.98,1071.05,-2.1,1.0421,inf
rand1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,2000,4498.22,4439.05,-1.32,1.2668,inf
rand1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,3000,8304.65,8504.02,2.4,2.8424,1.184
rand1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,4000,16156.89,16454.61,1.84,2.071,1.1239
rand1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,5000,31057.99,30009.94,-3.37,1.9665,inf
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,1000,706.49,768.85,8.83,0.0,0.0
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,2000,3405.64,3621.24,6.33,0.0264,0.0042
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,3000,6384.09,6521.89,2.16,0.0301,0.014
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,4000,12293.03,12431.64,1.13,0.0123,0.0109
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,5000,22956.83,24447.46,6.49,0.0194,0.003
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,1000,409.38,417.07,1.88,-0.0051,-0.0027
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,2000,1319.46,1344.5,1.9,0.7253,0.3822
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,3000,2681.96,2602.6,-2.96,0.2287,inf
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,4000,4446.11,4460.16,0.32,4.2362,13.3968
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,5000,6885.07,6827.02,-0.84,3.766,inf
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,1000,1026.87,1120.01,9.07,1.1471,0.1265
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,2000,4450.13,4403.16,-1.06,1.2163,inf
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,3000,8299.56,8454.32,1.86,1.2228,0.6558
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,4000,15870.07,16361.68,3.1,1.2396,0.4002
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,5000,29562.76,29967.61,1.37,1.2427,0.9074
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,1000,818.89,760.61,-7.12,-0.0,inf
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,2000,3584.23,3490.12,-2.63,0.005,inf
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,3000,6761.54,7026.94,3.93,0.0036,0.0009
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,4000,12932.25,13498.6,4.38,0.0008,0.0002
