strategy,pair,func,dim,base_cv,evo_cv,cv_ratio,evo_more_stable
sobol,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,1000,0.4878,0.4909,1.0063,0
sobol,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,2000,0.3693,0.367,0.9937,1
sobol,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,3000,0.0276,0.0318,1.1547,0
sobol,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,4000,0.1881,0.171,0.9093,1
sobol,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,5000,0.1301,0.1462,1.1239,0
sobol,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,1000,1.1008,1.0923,0.9923,1
sobol,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,2000,0.3509,0.3237,0.9226,1
sobol,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,3000,0.1286,0.1079,0.8392,1
sobol,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,4000,0.3176,0.3286,1.0347,0
sobol,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,5000,0.2278,0.2531,1.111,0
