strategy,func,dim,algo,mean,std,min,max,median,n,is_evo
best1bin,Rastrigin,1000,PSO,29165.33059818,48.87384343,29105.04008251,29220.69678724,29164.71382455,5,False
best1bin,Rastrigin,1000,SA,40353.29019378,1e-08,40353.29019377,40353.2901938,40353.29019377,5,False
best1bin,Rastrigin,1000,SMCO,29109.96616976,141.88767119,28922.36959267,29278.36342889,29108.12251926,5,False
best1bin,Rastrigin,1000,SMCO_BR,29126.31025437,142.08459791,28939.05516514,29296.60120728,29122.49215559,5,False
best1bin,Rastrigin,1000,SMCO_BR_EVO,29125.55358528,141.93450206,28937.26075646,29294.11718581,29122.68358478,5,True
best1bin,Rastrigin,1000,SMCO_EVO,29109.53341967,142.29818302,28920.67013151,29278.11114003,29108.52593224,5,True
best1bin,Rastrigin,1000,SMCO_R,29138.03230207,142.43430035,28949.1388329,29306.84325526,29136.08325289,5,False
best1bin,Rastrigin,1000,SMCO_R_EVO,29138.02210024,142.48285145,28949.04784351,29306.83649116,29135.99616427,5,True
best1bin,Rastrigin,2000,DEoptim,39049.42474348,156.54028643,38900.21049065,39212.38452316,39035.67921663,3,False
best1bin,Rastrigin,2000,GA,39985.9666256,87.99021627,39909.76353069,40082.26692222,39965.8694239,3,False
best1bin,Rastrigin,2000,GenSA,80706.5803873,1.6e-07,80706.58038711,80706.5803874,80706.58038738,3,False
best1bin,Rastrigin,2000,PSO,58152.53797893,176.28901244,58032.50900631,58354.93434683,58070.17058365,3,False
best1bin,Rastrigin,2000,SA,57849.42745157,0.0,57849.42745157,57849.42745157,57849.42745157,3,False
best1bin,Rastrigin,2000,SMCO,57881.3549303,215.4658672,57670.58391027,58101.22722018,57872.25366046,3,False
best1bin,Rastrigin,2000,SMCO_BR,57911.78566871,213.85668736,57697.64371856,58125.35594715,57912.35734043,3,False
best1bin,Rastrigin,2000,SMCO_BR_EVO,57911.57064659,212.42679582,57696.38526394,58121.12696822,57917.19970761,3,True
