strategy,pair,func,dim,n,base_mean,evo_mean,improve_pct,win_rate,wilcoxon_p,significant
best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,1000,5,21.949291370787886,22.167871895335647,0.9958,100.0,0.0625,0
best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,2000,3,21.90054567102072,22.15840880027198,1.1774,100.0,0.25,0
best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,3000,2,21.563667434577347,22.155912042043262,2.7465,100.0,nan,0
best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,4000,2,21.696596470859426,22.118838400144877,1.9461,100.0,nan,0
best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,5000,2,21.72570270016472,22.131356276340014,1.8672,100.0,nan,0
best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,1000,5,29138.03230207167,29138.02210024288,-0.0,40.0,1.0,0
best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,2000,3,57929.57599256033,57943.735655981036,0.0244,66.7,0.75,0
best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,3000,2,86068.11548491748,86094.5555976759,0.0307,100.0,nan,0
best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,4000,2,114374.76422763668,114380.51305935602,0.005,100.0,nan,0
best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,5000,2,142512.25069086358,142540.83638789976,0.0201,100.0,nan,0
best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,1000,5,422712947.97426564,431293381.85747737,2.0298,40.0,0.8125,0
best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,2000,3,775822748.1332974,794743124.1546808,2.4387,100.0,0.25,0
best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,3000,2,1094303115.940483,1135294516.5534573,3.7459,100.0,nan,0
best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,4000,2,1399385030.0219135,1449626148.1335459,3.5902,100.0,nan,0
best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,5000,2,1699574361.5793362,1768504356.366383,4.0557,100.0,nan,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,1000,5,21.941297712620617,22.178927202078803,1.083,100.0,0.0625,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,2000,3,21.921569244123116,22.174916810804092,1.1557,100.0,0.25,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,3000,2,21.90992625267647,22.169782121666714,1.186,100.0,nan,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,4000,2,21.90941466516003,22.16507421915107,1.1669,100.0,nan,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,5000,2,21.912597619812423,22.170896217000973,1.1788,100.0,nan,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,1000,5,29126.31025437183,29125.55358527581,-0.0026,80.0,0.625,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,2000,3,57911.78566871155,57911.57064659148,-0.0004,66.7,1.0,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,3000,2,86027.36301720096,86031.64588793849,0.005,50.0,nan,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,4000,2,114314.06385418148,114319.86604742098,0.0051,50.0,nan,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,5000,2,142460.14573842997,142458.4895438425,-0.0012,50.0,nan,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,1000,5,348193067.76848793,372046389.76400423,6.8506,100.0,0.0625,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,2000,3,618155929.2741712,685824638.2370745,10.9469,100.0,0.25,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,3000,2,859724697.6735848,955288955.6197197,11.1157,100.0,nan,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,4000,2,1091605069.4387069,1273971153.476194,16.7062,100.0,nan,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,5000,2,1318276891.8457017,1530155403.464967,16.0724,100.0,nan,0
