evo_algo,func,dim,strategy_1,strategy_2,s1_mean,s2_mean,winner
SMCO_EVO,Rastrigin,5000,current-to-best1bin,sobol,142432.297777,142433.693053,sobol
SMCO_EVO,Ackley,1000,current-to-best1bin,sobol,22.087345,21.897164,current-to-best1bin
SMCO_EVO,Ackley,2000,current-to-best1bin,sobol,22.088476,21.887407,current-to-best1bin
SMCO_EVO,Ackley,3000,current-to-best1bin,sobol,22.032317,21.879182,current-to-best1bin
SMCO_EVO,Ackley,4000,current-to-best1bin,sobol,22.064646,21.892276,current-to-best1bin
SMCO_EVO,Ackley,5000,current-to-best1bin,sobol,22.060943,21.879627,current-to-best1bin
SMCO_EVO,Rosenbrock,1000,current-to-best1bin,sobol,463443829.074318,463390623.246447,current-to-best1bin
SMCO_EVO,Rosenbrock,2000,current-to-best1bin,sobol,869037289.380995,869118998.160499,sobol
SMCO_EVO,Rosenbrock,3000,current-to-best1bin,sobol,1239385157.233145,1239270944.624132,current-to-best1bin
SMCO_EVO,Rosenbrock,4000,current-to-best1bin,sobol,1601826824.566375,1601691257.611319,current-to-best1bin
SMCO_EVO,Rosenbrock,5000,current-to-best1bin,sobol,1953906656.35066,1954076967.436564,sobol
SMCO_EVO,Rastrigin,1000,rand1bin,sobol,29110.286556,29110.274251,rand1bin
SMCO_EVO,Rastrigin,2000,rand1bin,sobol,57883.78754,57882.646101,rand1bin
SMCO_EVO,Rastrigin,3000,rand1bin,sobol,86027.416949,86027.190837,rand1bin
SMCO_EVO,Rastrigin,4000,rand1bin,sobol,114316.991411,114305.592686,rand1bin
SMCO_EVO,Rastrigin,5000,rand1bin,sobol,142431.546503,142433.693053,sobol
SMCO_EVO,Ackley,1000,rand1bin,sobol,22.118085,21.897164,rand1bin
SMCO_EVO,Ackley,2000,rand1bin,sobol,22.115831,21.887407,rand1bin
SMCO_EVO,Ackley,3000,rand1bin,sobol,22.086194,21.879182,rand1bin
SMCO_EVO,Ackley,4000,rand1bin,sobol,22.105049,21.892276,rand1bin
SMCO_EVO,Ackley,5000,rand1bin,sobol,22.111479,21.879627,rand1bin
SMCO_EVO,Rosenbrock,1000,rand1bin,sobol,463431517.428576,463390623.246447,rand1bin
SMCO_EVO,Rosenbrock,2000,rand1bin,sobol,869043776.630157,869118998.160499,sobol
SMCO_EVO,Rosenbrock,3000,rand1bin,sobol,1239484708.414379,1239270944.624132,rand1bin
SMCO_EVO,Rosenbrock,4000,rand1bin,sobol,1601772804.80451,1601691257.611319,rand1bin
SMCO_EVO,Rosenbrock,5000,rand1bin,sobol,1953822312.204844,1954076967.436564,sobol
SMCO_R_EVO,Rastrigin,1000,best1bin,current-to-best1bin,29138.0221,29138.0221,tie
SMCO_R_EVO,Rastrigin,2000,best1bin,current-to-best1bin,57943.735656,57943.735656,tie
SMCO_R_EVO,Rastrigin,3000,best1bin,current-to-best1bin,86094.555598,86094.555598,tie
SMCO_R_EVO,Rastrigin,4000,best1bin,current-to-best1bin,114380.513059,114380.513059,tie
SMCO_R_EVO,Rastrigin,5000,best1bin,current-to-best1bin,142540.836388,142540.836388,tie
SMCO_R_EVO,Ackley,1000,best1bin,current-to-best1bin,22.167872,22.161197,best1bin
SMCO_R_EVO,Ackley,2000,best1bin,current-to-best1bin,22.158409,22.136668,best1bin
SMCO_R_EVO,Ackley,3000,best1bin,current-to-best1bin,22.155912,22.13999,best1bin
SMCO_R_EVO,Ackley,4000,best1bin,current-to-best1bin,22.118838,22.093498,best1bin
SMCO_R_EVO,Ackley,5000,best1bin,current-to-best1bin,22.131356,22.112141,best1bin
SMCO_R_EVO,Rosenbrock,1000,best1bin,current-to-best1bin,431293381.857477,422659750.854995,best1bin
SMCO_R_EVO,Rosenbrock,2000,best1bin,current-to-best1bin,794743124.154681,775870948.417562,best1bin
SMCO_R_EVO,Rosenbrock,3000,best1bin,current-to-best1bin,1135294516.553457,1110555709.568077,best1bin
SMCO_R_EVO,Rosenbrock,4000,best1bin,current-to-best1bin,1449626148.133546,1433132239.467737,best1bin
SMCO_R_EVO,Rosenbrock,5000,best1bin,current-to-best1bin,1768504356.366383,1767633840.916448,best1bin
SMCO_R_EVO,Rastrigin,1000,best1bin,rand1bin,29138.0221,29138.0369,rand1bin
SMCO_R_EVO,Rastrigin,2000,best1bin,rand1bin,57943.735656,57944.888086,rand1bin
SMCO_R_EVO,Rastrigin,3000,best1bin,rand1bin,86094.555598,86094.044433,best1bin
SMCO_R_EVO,Rastrigin,4000,best1bin,rand1bin,114380.513059,114388.860541,rand1bin
SMCO_R_EVO,Rastrigin,5000,best1bin,rand1bin,142540.836388,142539.933912,best1bin
SMCO_R_EVO,Ackley,1000,best1bin,rand1bin,22.167872,22.178028,rand1bin
SMCO_R_EVO,Ackley,2000,best1bin,rand1bin,22.158409,22.177979,rand1bin
SMCO_R_EVO,Ackley,3000,best1bin,rand1bin,22.155912,22.176597,rand1bin
SMCO_R_EVO,Ackley,4000,best1bin,rand1bin,22.118838,22.145935,rand1bin
SMCO_R_EVO,Ackley,5000,best1bin,rand1bin,22.131356,22.152934,rand1bin
SMCO_R_EVO,Rosenbrock,1000,best1bin,rand1bin,431293381.857477,422691334.491734,best1bin
SMCO_R_EVO,Rosenbrock,2000,best1bin,rand1bin,794743124.154681,781450086.135138,best1bin
SMCO_R_EVO,Rosenbrock,3000,best1bin,rand1bin,1135294516.553457,1096805777.164142,best1bin
SMCO_R_EVO,Rosenbrock,4000,best1bin,rand1bin,1449626148.133546,1458666064.155912,rand1bin
SMCO_R_EVO,Rosenbrock,5000,best1bin,rand1bin,1768504356.366383,1763579913.236374,best1bin
SMCO_R_EVO,Rastrigin,1000,best1bin,sobol,29138.0221,29137.990211,best1bin
SMCO_R_EVO,Rastrigin,2000,best1bin,sobol,57943.735656,57943.790066,sobol
SMCO_R_EVO,Rastrigin,3000,best1bin,sobol,86094.555598,86092.236253,best1bin
SMCO_R_EVO,Rastrigin,4000,best1bin,sobol,114380.513059,114382.162828,sobol
SMCO_R_EVO,Rastrigin,5000,best1bin,sobol,142540.836388,142537.523093,best1bin
SMCO_R_EVO,Ackley,1000,best1bin,sobol,22.167872,21.961763,best1bin
SMCO_R_EVO,Ackley,2000,best1bin,sobol,22.158409,21.945558,best1bin
SMCO_R_EVO,Ackley,3000,best1bin,sobol,22.155912,21.939473,best1bin
SMCO_R_EVO,Ackley,4000,best1bin,sobol,22.118838,21.920825,best1bin
SMCO_R_EVO,Ackley,5000,best1bin,sobol,22.131356,21.917239,best1bin
SMCO_R_EVO,Rosenbrock,1000,best1bin,sobol,431293381.857477,422669231.597696,best1bin
SMCO_R_EVO,Rosenbrock,2000,best1bin,sobol,794743124.154681,776076535.772559,best1bin
SMCO_R_EVO,Rosenbrock,3000,best1bin,sobol,1135294516.553457,1094196173.155689,best1bin
SMCO_R_EVO,Rosenbrock,4000,best1bin,sobol,1449626148.133546,1399514464.695182,best1bin
SMCO_R_EVO,Rosenbrock,5000,best1bin,sobol,1768504356.366383,1699732400.750996,best1bin
SMCO_R_EVO,Rastrigin,1000,current-to-best1bin,rand1bin,29138.0221,29138.0369,rand1bin
SMCO_R_EVO,Rastrigin,2000,current-to-best1bin,rand1bin,57943.735656,57944.888086,rand1bin
SMCO_R_EVO,Rastrigin,3000,current-to-best1bin,rand1bin,86094.555598,86094.044433,current-to-best1bin
SMCO_R_EVO,Rastrigin,4000,current-to-best1bin,rand1bin,114380.513059,114388.860541,rand1bin
SMCO_R_EVO,Rastrigin,5000,current-to-best1bin,rand1bin,142540.836388,142539.933912,current-to-best1bin
