experiment,pair,algo,func,dim,rep,fopt,time,iterations
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,24,80.70618206067965,0.06414364103693515,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,25,80.70644609450885,0.044573849998414516,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,25,80.70650302166872,0.05716106400359422,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,26,80.7058681875578,0.06125737202819437,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,26,80.70625672021177,0.04608854907564819,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,27,80.70630526276094,0.04464544297661632,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,27,80.70509164263348,0.04585674300324172,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,28,80.70650882975922,0.0729851700598374,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,28,80.70550414414599,0.05873015499673784,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,29,80.7048736759581,0.04536887106951326,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,29,80.70643880706854,0.04686391702853143,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,30,80.70634626618113,0.06487834802828729,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,30,80.7064536476584,0.046710174065083265,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,31,80.70641609142918,0.04396433604415506,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,31,80.70650911925918,0.04546196002047509,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,32,80.70653122502884,0.044431765913031995,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,32,80.70612662119088,0.04575761908199638,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,33,80.70570323636079,0.04395696404390037,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,33,80.7065688228565,0.06659047305583954,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,34,80.70530194877644,0.04436086700297892,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,34,72.66572485800822,0.045668198028579354,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,35,80.70615680223929,0.04433855297975242,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,35,80.70643678976327,0.04582658095750958,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,36,80.70636777728109,0.04410776705481112,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,36,80.70598045305618,0.04534361301921308,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,37,72.66520913317359,0.045720100053586066,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,37,72.66558358320717,0.045768118114210665,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,38,80.70655848756593,0.04444862005766481,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,38,80.70648249504325,0.04602369305212051,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,39,80.70624076608166,0.04813153191935271,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,39,76.12448455431186,0.046238348935730755,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,40,80.7056102705086,0.044476545066572726,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,40,80.70638038109355,0.04598179797176272,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,41,80.70619816243665,0.04454917600378394,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,41,80.70646985870411,0.04607522103469819,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,42,80.70649445295331,0.04407361790072173,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,42,80.70651239562966,0.04570507199969143,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,43,80.70654852104633,0.044718191027641296,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,43,80.70513667316263,0.04627065104432404,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,44,80.70529274980152,0.04560579196549952,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,44,80.70633974727232,0.04643108800519258,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,45,80.70656613462421,0.04453066096175462,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,45,80.70650038199814,0.045999091933481395,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,46,80.70569203011658,0.04474636702798307,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,46,80.70629210821782,0.045992592931725085,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,47,80.70630547588792,0.04459570697508752,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,47,80.7063706132647,0.04610283498186618,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,48,80.70653198723922,0.04431558505166322,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,48,80.70638010488909,0.046199599048122764,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,49,80.70646424115841,0.044742468977347016,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,49,80.70631892039941,0.04582684999331832,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,50,80.70639547589525,0.04445331799797714,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,50,80.70628142029778,0.0459667049581185,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,51,80.70656872893615,0.04459162999410182,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,51,80.7063098704815,0.0458520749816671,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,52,80.70642254701897,0.04445978708099574,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,52,80.7033667855004,0.04593405988998711,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,53,80.7063224795858,0.044397903024218976,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,53,80.70339408895985,0.045605428982526064,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,54,80.70610277667353,0.04475010198075324,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,54,80.70585717377173,0.04780112695880234,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,55,80.70654474137521,0.04436997405719012,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,55,80.70657276552987,0.0662051549879834,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,56,80.70601883059749,0.05268708092626184,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,56,80.70633594315767,0.050920248962938786,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,57,80.70587279085612,0.06450251396745443,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,57,80.7065640851302,0.04927840502932668,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,58,72.66477657818058,0.04426087799947709,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,58,80.70388659897877,0.0459704389795661,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,59,80.70653054121442,0.0445884270593524,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,59,80.70639355921932,0.046072453958913684,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,60,80.7063918314876,0.04453414003364742,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,60,80.70582030946792,0.04595599602907896,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,61,80.70634113192423,0.04443230200558901,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,61,80.70634980729001,0.045773423044011,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,62,80.70469338025987,0.04462806798983365,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,62,80.70649426156635,0.04610487900208682,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,63,80.70014391623411,0.04468920093495399,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,63,80.70657832246886,0.04562940006144345,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,64,80.7063318679715,0.04479184502270073,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,64,80.7065695035363,0.04581711604259908,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,65,80.7064936653433,0.044527968973852694,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,65,80.70656091962638,0.04557684506289661,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,66,80.70651885986422,0.04537610104307532,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,66,80.70636361789298,0.056670284015126526,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,67,80.7052719051078,0.044764672056771815,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,67,80.70596186747352,0.04791905404999852,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,68,80.7063447947499,0.04486506595276296,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,68,80.70626712762368,0.04609791899565607,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,69,80.70614239014353,0.044537308043800294,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,69,80.70536500443683,0.04551210696808994,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,70,80.70651400937507,0.04425101703964174,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,70,80.70622228563627,0.04604620405007154,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,71,80.70641789260378,0.04469412309117615,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,71,80.7062666245297,0.045366862090304494,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,72,80.70312986559986,0.06193501502275467,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,72,80.70651093020334,0.04775338096078485,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,73,80.70643708972085,0.04621329193469137,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,73,80.70651203345409,0.05068139301147312,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,74,80.70651704888708,0.04450309998355806,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,74,80.70597133342082,0.0539491850649938,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,75,80.70648630312353,0.055523806950077415,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,75,80.70653437432087,0.0460458459565416,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,76,80.7065370545746,0.046938265091739595,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,76,80.70519267658571,0.056957626016810536,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,77,80.706361946194,0.04455676395446062,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,77,80.70593698950984,0.060653166961856186,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,78,80.7064909288064,0.04455384402535856,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,78,80.70651906846336,0.04596143995877355,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,79,66.63510226587786,0.06107725505717099,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,79,66.36764806684445,0.04559452005196363,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,80,80.70614757050065,0.044532584957778454,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,80,80.70611457968224,0.04526985401753336,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,81,80.7060680423957,0.06290109199471772,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,81,80.70626096728749,0.045630284934304655,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,82,80.70651464745814,0.04390677507035434,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,82,80.70616519298804,0.04530738806352019,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,83,80.7060567864381,0.04434701707214117,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,83,80.70416923332701,0.06807304499670863,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,84,80.7054892108511,0.04411866597365588,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,84,80.70650258846837,0.04554696602281183,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,85,80.70650893810925,0.04430900001898408,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,85,80.70626580340829,0.045559399062767625,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,86,80.70608490099706,0.044077405938878655,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,86,80.70528833092656,0.05204025004059076,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,87,72.66505656160703,0.05951704201288521,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,87,80.70649650059181,0.05708509194664657,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,88,80.70657512305465,0.044360036961734295,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,88,80.70622295203222,0.046210429980419576,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,89,80.7063713003572,0.049546646885573864,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,89,80.7063713003572,0.04677899193484336,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,90,80.70646165172256,0.04425441997591406,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,90,80.70647047383983,0.046359749045223,303
