experiment,func,dim,elimination_rate,evolution_points,rep,fopt
4,Rastrigin,10,0.1,"(0.33, 0.66)",18,379.39463595745764
4,Rastrigin,10,0.1,"(0.33, 0.66)",19,389.453335917417
4,Rastrigin,10,0.1,"(0.33, 0.66)",20,381.40590229944644
4,Rastrigin,10,0.1,"(0.33, 0.66)",21,381.4141391617769
4,Rastrigin,10,0.1,"(0.33, 0.66)",22,375.37866038203475
4,Rastrigin,10,0.1,"(0.33, 0.66)",23,385.42175885207183
4,Rastrigin,10,0.1,"(0.33, 0.66)",24,353.26715416322713
4,Rastrigin,10,0.1,"(0.33, 0.66)",25,389.45329980028094
4,Rastrigin,10,0.1,"(0.33, 0.66)",26,389.45248720170173
4,Rastrigin,10,0.1,"(0.33, 0.66)",27,377.38932464971737
4,Rastrigin,10,0.1,"(0.33, 0.66)",28,361.30759134776025
4,Rastrigin,10,0.1,"(0.33, 0.66)",29,389.44827201697467
4,Rastrigin,10,0.1,"(0.25, 0.5, 0.75)",0,373.3730338606228
4,Rastrigin,10,0.1,"(0.25, 0.5, 0.75)",1,355.27755473197396
4,Rastrigin,10,0.1,"(0.25, 0.5, 0.75)",2,385.4236174270515
4,Rastrigin,10,0.1,"(0.25, 0.5, 0.75)",3,387.4410710386098
4,Rastrigin,10,0.1,"(0.25, 0.5, 0.75)",4,385.42280528121785
4,Rastrigin,10,0.1,"(0.25, 0.5, 0.75)",5,371.3550060490055
4,Rastrigin,10,0.1,"(0.25, 0.5, 0.75)",6,395.47908061172336
4,Rastrigin,10,0.1,"(0.25, 0.5, 0.75)",7,389.4510208351685
4,Rastrigin,10,0.1,"(0.25, 0.5, 0.75)",8,377.38503567214684
4,Rastrigin,10,0.1,"(0.25, 0.5, 0.75)",9,381.4083716062815
4,Rastrigin,10,0.1,"(0.25, 0.5, 0.75)",10,377.3892453431289
4,Rastrigin,10,0.1,"(0.25, 0.5, 0.75)",11,385.4339863466095
4,Rastrigin,10,0.1,"(0.25, 0.5, 0.75)",12,355.27319458296233
4,Rastrigin,10,0.1,"(0.25, 0.5, 0.75)",13,385.4205108727211
4,Rastrigin,10,0.1,"(0.25, 0.5, 0.75)",14,375.38292667671567
4,Rastrigin,10,0.1,"(0.25, 0.5, 0.75)",15,381.4090885176158
4,Rastrigin,10,0.1,"(0.25, 0.5, 0.75)",16,387.44194452900354
4,Rastrigin,10,0.1,"(0.25, 0.5, 0.75)",17,403.525179983492
4,Rastrigin,10,0.1,"(0.25, 0.5, 0.75)",18,377.3850300335267
4,Rastrigin,10,0.1,"(0.25, 0.5, 0.75)",19,369.35003200068024
4,Rastrigin,10,0.1,"(0.25, 0.5, 0.75)",20,381.4096897460964
4,Rastrigin,10,0.1,"(0.25, 0.5, 0.75)",21,387.43699918132114
4,Rastrigin,10,0.1,"(0.25, 0.5, 0.75)",22,377.3880326359259
4,Rastrigin,10,0.1,"(0.25, 0.5, 0.75)",23,359.2968481775866
4,Rastrigin,10,0.1,"(0.25, 0.5, 0.75)",24,403.51637961876526
4,Rastrigin,10,0.1,"(0.25, 0.5, 0.75)",25,359.30158435551306
4,Rastrigin,10,0.1,"(0.25, 0.5, 0.75)",26,395.4745091887999
4,Rastrigin,10,0.1,"(0.25, 0.5, 0.75)",27,381.4072978285484
4,Rastrigin,10,0.1,"(0.25, 0.5, 0.75)",28,377.39259213618794
4,Rastrigin,10,0.1,"(0.25, 0.5, 0.75)",29,389.44259793473424
4,Rastrigin,10,0.25,"(0.5,)",0,381.4124169961131
4,Rastrigin,10,0.25,"(0.5,)",1,395.4779332018406
4,Rastrigin,10,0.25,"(0.5,)",2,363.31468940657254
4,Rastrigin,10,0.25,"(0.5,)",3,377.38880794310813
4,Rastrigin,10,0.25,"(0.5,)",4,389.4484058153774
4,Rastrigin,10,0.25,"(0.5,)",5,385.42823979402925
4,Rastrigin,10,0.25,"(0.5,)",6,389.4501178261955
4,Rastrigin,10,0.25,"(0.5,)",7,395.4820495586382
4,Rastrigin,10,0.25,"(0.5,)",8,367.33609041329805
4,Rastrigin,10,0.25,"(0.5,)",9,377.39035891046916
4,Rastrigin,10,0.25,"(0.5,)",10,385.43261853837623
4,Rastrigin,10,0.25,"(0.5,)",11,387.43710985567316
4,Rastrigin,10,0.25,"(0.5,)",12,395.4833314808072
4,Rastrigin,10,0.25,"(0.5,)",13,377.390092464071
4,Rastrigin,10,0.25,"(0.5,)",14,387.44504963872555
4,Rastrigin,10,0.25,"(0.5,)",15,377.3886750893916
4,Rastrigin,10,0.25,"(0.5,)",16,385.43352638549675
4,Rastrigin,10,0.25,"(0.5,)",17,367.3301738766136
4,Rastrigin,10,0.25,"(0.5,)",18,381.412723676578
4,Rastrigin,10,0.25,"(0.5,)",19,395.47545429339067
4,Rastrigin,10,0.25,"(0.5,)",20,369.35035615922254
4,Rastrigin,10,0.25,"(0.5,)",21,389.45440683458094
4,Rastrigin,10,0.25,"(0.5,)",22,389.44818350073416
4,Rastrigin,10,0.25,"(0.5,)",23,381.41102209359326
4,Rastrigin,10,0.25,"(0.5,)",24,351.2524602728333
4,Rastrigin,10,0.25,"(0.5,)",25,381.41127661434945
