experiment,strategy,func,dim,rep,fopt,time
3,rand1bin,Rastrigin,10,0,371.3565035377312,0.1981512460624799
3,rand1bin,Rastrigin,10,1,377.3856865284576,0.19709465198684484
3,rand1bin,Rastrigin,10,2,369.3516523786927,0.19762803404591978
3,rand1bin,Rastrigin,10,3,385.4254471594719,0.23690962605178356
3,rand1bin,Rastrigin,10,4,387.4466467960132,0.21512052905745804
3,rand1bin,Rastrigin,10,5,379.39031137874,0.22235404001548886
3,rand1bin,Rastrigin,10,6,385.4313077918522,0.21191320498473942
3,rand1bin,Rastrigin,10,7,357.2916161122286,0.1979626709362492
3,rand1bin,Rastrigin,10,8,375.37351977800927,0.21315925696399063
3,rand1bin,Rastrigin,10,9,379.3947062964785,0.2105043480405584
3,rand1bin,Rastrigin,10,10,403.5159652706055,0.2003804410342127
3,rand1bin,Rastrigin,10,11,389.4489722650979,0.1997690920252353
3,rand1bin,Rastrigin,10,12,373.37363585932025,0.2006881859852001
3,rand1bin,Rastrigin,10,13,377.3920504953719,0.19992024800740182
3,rand1bin,Rastrigin,10,14,371.3560131887252,0.20066126598976552
3,rand1bin,Rastrigin,10,15,395.48559903448523,0.1999121360713616
3,rand1bin,Rastrigin,10,16,389.44511041464614,0.19831158395390958
3,rand1bin,Rastrigin,10,17,371.3612200448163,0.19745573797263205
3,rand1bin,Rastrigin,10,18,403.51656212515167,0.20031180302612484
3,rand1bin,Rastrigin,10,19,363.31759510972955,0.1972964130109176
3,rand1bin,Rastrigin,10,20,395.4772263102112,0.19756329897791147
3,rand1bin,Rastrigin,10,21,387.44293361576,0.19887143094092607
3,rand1bin,Rastrigin,10,22,387.43847493076674,0.19837983406614512
3,rand1bin,Rastrigin,10,23,373.3678696100788,0.1968416360905394
3,rand1bin,Rastrigin,10,24,395.48068819702837,0.19740796799305826
3,rand1bin,Rastrigin,10,25,379.39896680414864,0.1994649840053171
3,rand1bin,Rastrigin,10,26,377.387326717544,0.19725973496679217
3,rand1bin,Rastrigin,10,27,385.4260091335587,0.21321650594472885
3,rand1bin,Rastrigin,10,28,371.3635051415527,0.21650632191449404
3,rand1bin,Rastrigin,10,29,395.47816618105816,0.21023721108213067
3,rand1bin,Rastrigin,10,30,363.32047303983927,0.21256826305761933
3,rand1bin,Rastrigin,10,31,345.22513962841816,0.21007763198576868
3,rand1bin,Rastrigin,10,32,403.5142782198429,0.21429892198648304
3,rand1bin,Rastrigin,10,33,389.4530620948325,0.21994090802036226
3,rand1bin,Rastrigin,10,34,395.4761963462728,0.19805958308279514
3,rand1bin,Rastrigin,10,35,375.37820353537876,0.19823053595609963
3,rand1bin,Rastrigin,10,36,381.410072424271,0.19889357790816575
3,rand1bin,Rastrigin,10,37,403.5223235623636,0.1990321580087766
3,rand1bin,Rastrigin,10,38,377.3947108423263,0.2005215889075771
3,rand1bin,Rastrigin,10,39,395.47906027034196,0.1975473939673975
3,rand1bin,Rastrigin,10,40,395.4822680322666,0.20001600496470928
3,rand1bin,Rastrigin,10,41,389.45031099542194,0.20134316198527813
3,rand1bin,Rastrigin,10,42,353.26482411532703,0.1975662560435012
3,rand1bin,Rastrigin,10,43,395.4766687062137,0.2019995730370283
3,rand1bin,Rastrigin,10,44,381.4114458839814,0.19709987996611744
3,rand1bin,Rastrigin,10,45,387.43858658101055,0.19745863100979477
3,rand1bin,Rastrigin,10,46,381.4077692733185,0.1980009840335697
3,rand1bin,Rastrigin,10,47,385.4262276799924,0.19865782000124454
3,rand1bin,Rastrigin,10,48,395.4770546244029,0.19648074894212186
3,rand1bin,Rastrigin,10,49,403.51117789196854,0.19723554491065443
3,current-to-best1bin,Rastrigin,10,0,395.48623482340656,0.19769075396470726
3,current-to-best1bin,Rastrigin,10,1,373.3671314911797,0.20054047892335802
3,current-to-best1bin,Rastrigin,10,2,377.38338695217294,0.21920203999616206
3,current-to-best1bin,Rastrigin,10,3,387.43965939118794,0.21873316902201623
3,current-to-best1bin,Rastrigin,10,4,395.4803791185882,0.21846884896513075
3,current-to-best1bin,Rastrigin,10,5,377.3915746019539,0.20935089699923992
3,current-to-best1bin,Rastrigin,10,6,385.4256726093023,0.21789584204088897
3,current-to-best1bin,Rastrigin,10,7,373.36920817537606,0.21866631298325956
3,current-to-best1bin,Rastrigin,10,8,375.3785499112889,0.20040750806219876
3,current-to-best1bin,Rastrigin,10,9,385.42491300517355,0.2214901780243963
3,current-to-best1bin,Rastrigin,10,10,353.2704677679198,0.19923336198553443
3,current-to-best1bin,Rastrigin,10,11,377.3883442878749,0.19889260397758335
3,current-to-best1bin,Rastrigin,10,12,395.4824416332265,0.1969603350153193
3,current-to-best1bin,Rastrigin,10,13,375.38395176905783,0.19842279399745166
3,current-to-best1bin,Rastrigin,10,14,359.29438328316854,0.20198313891887665
3,current-to-best1bin,Rastrigin,10,15,363.31218260494495,0.19763028691522777
3,current-to-best1bin,Rastrigin,10,16,389.44930849491084,0.1995748500339687
3,current-to-best1bin,Rastrigin,10,17,387.43499147437166,0.20244677504524589
3,current-to-best1bin,Rastrigin,10,18,377.3850681723478,0.1984932100167498
3,current-to-best1bin,Rastrigin,10,19,381.40776919733526,0.19756914605386555
3,current-to-best1bin,Rastrigin,10,20,385.4310222764846,0.19870065699797124
3,current-to-best1bin,Rastrigin,10,21,389.44511752354134,0.1977222120622173
3,current-to-best1bin,Rastrigin,10,22,395.47453014723544,0.19745649897959083
3,current-to-best1bin,Rastrigin,10,23,371.35928147217913,0.19779741403181106
3,current-to-best1bin,Rastrigin,10,24,403.5139111170901,0.19796402601059526
3,current-to-best1bin,Rastrigin,10,25,385.42351896036223,0.19752185698598623
3,current-to-best1bin,Rastrigin,10,26,377.38513640807884,0.19861697894521058
3,current-to-best1bin,Rastrigin,10,27,365.3303471178464,0.21532773203216493
3,current-to-best1bin,Rastrigin,10,28,377.38351349864894,0.2130007368978113
3,current-to-best1bin,Rastrigin,10,29,389.4532186724348,0.21188205108046532
3,current-to-best1bin,Rastrigin,10,30,381.4086912921704,0.21317748096771538
3,current-to-best1bin,Rastrigin,10,31,371.3536257741642,0.2213659369153902
3,current-to-best1bin,Rastrigin,10,32,371.3572721832555,0.21947210701182485
3,current-to-best1bin,Rastrigin,10,33,377.39650805597125,0.20081760291941464
3,current-to-best1bin,Rastrigin,10,34,371.35993049505146,0.1989940860075876
3,current-to-best1bin,Rastrigin,10,35,403.5176580375357,0.19814180699177086
3,current-to-best1bin,Rastrigin,10,36,389.4449126621873,0.19913376006297767
3,current-to-best1bin,Rastrigin,10,37,363.3148999314464,0.1985401560086757
3,current-to-best1bin,Rastrigin,10,38,353.26541112483915,0.2005997559754178
3,current-to-best1bin,Rastrigin,10,39,367.3386476825809,0.2000209999969229
3,current-to-best1bin,Rastrigin,10,40,379.39798468074844,0.19800659909378737
3,current-to-best1bin,Rastrigin,10,41,365.3268549781263,0.20038566004950553
3,current-to-best1bin,Rastrigin,10,42,403.517024075682,0.20379377796780318
3,current-to-best1bin,Rastrigin,10,43,389.4469159214507,0.1988131629768759
3,current-to-best1bin,Rastrigin,10,44,395.47680861887693,0.19763219403102994
3,current-to-best1bin,Rastrigin,10,45,371.3577121809493,0.19714521896094084
3,current-to-best1bin,Rastrigin,10,46,377.39023823705986,0.19765476102475077
3,current-to-best1bin,Rastrigin,10,47,379.3992471498763,0.19989838998299092
3,current-to-best1bin,Rastrigin,10,48,367.3334463058425,0.19754715997260064
3,current-to-best1bin,Rastrigin,10,49,373.373514763676,0.19696956605184823
3,best1bin,Rastrigin,10,0,381.4106438684899,0.19650130404625088
3,best1bin,Rastrigin,10,1,385.43131034199666,0.21349429897964
3,best1bin,Rastrigin,10,2,355.2785107810224,0.2231534420279786
3,best1bin,Rastrigin,10,3,395.48608118858596,0.21169913199264556
3,best1bin,Rastrigin,10,4,375.3836685736269,0.21004344103857875
3,best1bin,Rastrigin,10,5,375.3756762741185,0.2001078980974853
3,best1bin,Rastrigin,10,6,387.4404068687057,0.21109245298430324
3,best1bin,Rastrigin,10,7,403.51642075453316,0.21741811698302627
3,best1bin,Rastrigin,10,8,385.42379575204393,0.19564221205655485
3,best1bin,Rastrigin,10,9,377.3891325599182,0.19739637104794383
3,best1bin,Rastrigin,10,10,375.3813535941496,0.19644271000288427
3,best1bin,Rastrigin,10,11,395.4854983967679,0.19552435097284615
3,best1bin,Rastrigin,10,12,385.4289716285329,0.19537984591443092
3,best1bin,Rastrigin,10,13,377.3819926897602,0.19576209597289562
3,best1bin,Rastrigin,10,14,403.5163085963603,0.1956797739258036
3,best1bin,Rastrigin,10,15,377.3892661657325,0.19534730701707304
3,best1bin,Rastrigin,10,16,395.48298206269254,0.19538600707892329
