function,dim,variant,rep,seed,best_value,iterations,wall_time_sec,gap_to_known
NegativeSquaredNorm,2,smco,10,20261537,-3.3871023556363833e-07,310,0.08809234399814159,3.3871023556363833e-07
NegativeSquaredNorm,2,smco_evo,10,20261537,-3.3871023556363833e-07,310,0.08992297196527943,3.3871023556363833e-07
NegativeSquaredNorm,2,smco,11,20261538,-1.0578813518518232e-06,310,0.08946052700048313,1.0578813518518232e-06
NegativeSquaredNorm,2,smco_evo,11,20261538,-8.106538347470285e-07,310,0.08964679995551705,8.106538347470285e-07
NegativeSquaredNorm,2,smco,12,20261539,-1.0773028896440352e-06,310,0.08805358299287036,1.0773028896440352e-06
NegativeSquaredNorm,2,smco_evo,12,20261539,-2.2889595159726312e-07,310,0.09009451197925955,2.2889595159726312e-07
NegativeSquaredNorm,2,smco,13,20261540,-5.881423825512842e-07,310,0.08818057598546147,5.881423825512842e-07
NegativeSquaredNorm,2,smco_evo,13,20261540,-5.626375771252573e-07,310,0.08958841802086681,5.626375771252573e-07
NegativeSquaredNorm,2,smco,14,20261541,-8.001677697366243e-07,310,0.08829682896612212,8.001677697366243e-07
NegativeSquaredNorm,2,smco_evo,14,20261541,-3.3206711930255605e-07,310,0.08985119702992961,3.3206711930255605e-07
NegativeSquaredNorm,2,smco,15,20261542,-4.1295170889122637e-07,310,0.08970851002959535,4.1295170889122637e-07
NegativeSquaredNorm,2,smco_evo,15,20261542,-4.1295170889122637e-07,310,0.09035081800539047,4.1295170889122637e-07
NegativeSquaredNorm,2,smco,16,20261543,-6.331555559612649e-07,310,0.08839663700200617,6.331555559612649e-07
NegativeSquaredNorm,2,smco_evo,16,20261543,-6.331555559612649e-07,310,0.09112195199122652,6.331555559612649e-07
NegativeSquaredNorm,2,smco,17,20261544,-6.255159290595194e-07,310,0.08865825098473579,6.255159290595194e-07
NegativeSquaredNorm,2,smco_evo,17,20261544,-4.226244891624086e-07,310,0.09017721301643178,4.226244891624086e-07
NegativeSquaredNorm,2,smco,18,20261545,-1.8592206497189942e-08,310,0.08849350397940725,1.8592206497189942e-08
NegativeSquaredNorm,2,smco_evo,18,20261545,-1.8592206497189942e-08,310,0.09029085101792589,1.8592206497189942e-08
NegativeSquaredNorm,2,smco,19,20261546,-3.380448970883258e-07,310,0.0892199719673954,3.380448970883258e-07
NegativeSquaredNorm,2,smco_evo,19,20261546,-3.380448970883258e-07,310,0.09083434502827004,3.380448970883258e-07
Rastrigin,2,smco,0,20262527,-0.020707896419295935,310,0.12868715700460598,0.020707896419295935
Rastrigin,2,smco_evo,0,20262527,-0.0006435462124798619,310,0.14095433498732746,0.0006435462124798619
Rastrigin,2,smco,1,20262528,-0.01811232580798361,310,0.16964740300318226,0.01811232580798361
Rastrigin,2,smco_evo,1,20262528,-0.0006948094073031541,310,0.1815498560317792,0.0006948094073031541
Rastrigin,2,smco,2,20262529,-0.002566206259054127,310,0.1712291490403004,0.002566206259054127
Rastrigin,2,smco_evo,2,20262529,-0.002566206259054127,310,0.13186575198778883,0.002566206259054127
Rastrigin,2,smco,3,20262530,-0.021686034604947224,310,0.14829461695626378,0.021686034604947224
Rastrigin,2,smco_evo,3,20262530,-0.010871294705296464,310,0.13074523699469864,0.010871294705296464
Rastrigin,2,smco,4,20262531,-0.006597013211710134,310,0.1510419270489365,0.006597013211710134
Rastrigin,2,smco_evo,4,20262531,-0.0011383386515717575,310,0.13234104303410277,0.0011383386515717575
Rastrigin,2,smco,5,20262532,-0.000736813465643138,310,0.1283863100106828,0.000736813465643138
Rastrigin,2,smco_evo,5,20262532,-0.000736813465643138,310,0.1296838279813528,0.000736813465643138
Rastrigin,2,smco,6,20262533,-0.004570070576612295,310,0.12649659701855853,0.004570070576612295
Rastrigin,2,smco_evo,6,20262533,-0.004570070576612295,310,0.12922834500204772,0.004570070576612295
Rastrigin,2,smco,7,20262534,-0.029837262820002763,310,0.12780534999910742,0.029837262820002763
Rastrigin,2,smco_evo,7,20262534,-0.0011940753538226545,310,0.12883447099011391,0.0011940753538226545
