strategy,dim_groups,algo,func,dim,rep,fopt,time,iterations,seed
rand1bin,1,SMCO_EVO,Ackley,3000,0,-0.3461074236448707,11502.258162908256,355,1182358643
rand1bin,2,SMCO_EVO,Ackley,3000,0,-0.3475836681821822,11388.124700475484,355,1182358643
rand1bin,8,SMCO_EVO,Ackley,3000,0,-0.34779255573979073,11044.807374497876,355,1182358643
rand1bin,8,SMCO_R_EVO,Ackley,3000,0,-0.07324478921768973,10971.271364718676,355,1182358643
rand1bin,1,SMCO_BR_EVO,Ackley,3000,0,-0.07960359327975697,12040.835945772007,205,1182358643
rand1bin,2,SMCO_BR_EVO,Ackley,3000,0,-0.07970792970725471,12413.35419641994,205,1182358643
rand1bin,4,SMCO_BR_EVO,Ackley,3000,0,-0.07977878324926069,12321.205821273848,205,1182358643
rand1bin,8,SMCO_BR_EVO,Ackley,3000,0,-0.07998519969515572,11804.718538798392,205,1182358643
best1bin,1,SMCO_EVO,Ackley,3000,0,-0.34855947716243607,7460.7315967250615,355,1182358643
best1bin,1,SMCO_R_EVO,Ackley,3000,0,-0.0738545542553557,7448.793531635776,355,1182358643
best1bin,2,SMCO_EVO,Ackley,3000,0,-0.3474939569190352,7454.467743292451,355,1182358643
best1bin,2,SMCO_R_EVO,Ackley,3000,0,-0.07353852589882637,7459.138998739421,355,1182358643
best1bin,4,SMCO_EVO,Ackley,3000,0,-0.34684859574207794,7410.35152823478,355,1182358643
best1bin,1,SMCO_BR_EVO,Ackley,3000,0,-0.08000921142520712,8601.507660280913,205,1182358643
best1bin,4,SMCO_R_EVO,Ackley,3000,0,-0.07369844810946491,7444.99559526518,355,1182358643
best1bin,2,SMCO_BR_EVO,Ackley,3000,0,-0.07966567503870836,8554.690303411335,205,1182358643
best1bin,8,SMCO_EVO,Ackley,3000,0,-0.34727371277780295,7460.045757422224,355,1182358643
best1bin,8,SMCO_R_EVO,Ackley,3000,0,-0.07287344254886152,7494.9097186513245,355,1182358643
rand1bin,1,SMCO_EVO,Ackley,3000,1,-0.346624505456536,7325.020266642794,355,1229620669
rand1bin,1,SMCO_R_EVO,Ackley,3000,1,-0.0735324943128437,7430.670054022223,355,1229620669
best1bin,4,SMCO_BR_EVO,Ackley,3000,0,-0.0801443335837182,8418.699881104752,205,1182358643
rand1bin,2,SMCO_EVO,Ackley,3000,1,-0.34637838100948715,7316.3928657677025,355,1229620669
best1bin,8,SMCO_BR_EVO,Ackley,3000,0,-0.07983840872898584,8351.323370231315,205,1182358643
rand1bin,2,SMCO_R_EVO,Ackley,3000,1,-0.07319183782592775,7554.660368558019,355,1229620669
rand1bin,4,SMCO_EVO,Ackley,3000,1,-0.3491679219090078,7323.834557596594,355,1229620669
rand1bin,1,SMCO_BR_EVO,Ackley,3000,1,-0.08015524743930103,8422.625853929669,205,1229620669
rand1bin,4,SMCO_R_EVO,Ackley,3000,1,-0.07253461239111347,7461.506285211071,355,1229620669
rand1bin,2,SMCO_BR_EVO,Ackley,3000,1,-0.0791050567364846,8512.91875560768,205,1229620669
rand1bin,1,SMCO_EVO,Rosenbrock,3000,0,-677.3318292175168,2200.0879060924053,355,832555659
