table,direction,function,algo,paper_rmse,rerun_rmse,rmse_ratio,paper_ae99,rerun_ae99,ae99_ratio,paper_time,rerun_time,time_ratio,rerun_best_opt,n_replications
table1,min,Rastrigin,SMCO,7.8,0.11775372960897101,0.01509663200115013,13.0,0.9949663661601242,0.07653587432000955,0.016,0.026302000173251145,1.6438750108281965,0.0,500
table1,min,Rastrigin,SMCO_R,2.8,0.18353049170681712,0.06554660418100612,8.0,0.9954191362890207,0.12442739203612758,0.016,0.026115263521205634,1.6322039700753521,0.0,500
table1,min,Rastrigin,SMCO_BR,2.7,0.14762197497184223,0.05467480554512675,8.0,0.9952251402427602,0.12440314253034503,0.016,0.05220762632391415,3.2629766452446343,0.0,500
table1,min,Rastrigin,GD,36.7,22.008145069901765,0.5996769773815195,104.7,42.34948276397488,0.40448407606470754,0.01,0.011931214288226329,1.1931214288226328,0.0,500
table1,min,Rastrigin,SignGD,62.3,21.090295283283503,0.33852801417790535,156.2,49.74744590490608,0.3184855691735345,0.035,0.0229582969637122,0.6559513418203485,0.0,500
table1,min,Rastrigin,SPSA,39.6,11.211386884737315,0.2831158304226595,135.4,44.177760324977314,0.32627592559067436,0.002,0.007572327359230258,3.786163679615129,0.0,500
table1,min,Rastrigin,ADAM,15.4,21.08677544206298,1.3692711326014921,48.5,49.74744587133612,1.0257205334296107,0.008,0.010443133946158924,1.3053917432698654,0.0,500
table1,min,Rastrigin,optimLBFGS,43.8,17.862100955696846,0.4078105241026677,115.5,49.747445869084494,0.4307138170483506,0.0004,0.002374456562567502,5.936141406418755,0.0,500
table1,min,Rastrigin,BOBYQA,42.9,21.157591365511312,0.4931839479140166,135.4,49.74744630502515,0.3674109771419878,0.002,0.03362182880949695,16.810914404748473,0.0,500
table1,min,Ackley,SMCO,3.1,0.04461221366561804,0.014391036666328398,19.8,0.12974824004382193,0.006552941416354643,0.018,0.04226039522560313,2.34779973475573,0.0003222563314229099,500
table1,min,Ackley,SMCO_R,2.3,0.04335433845808843,0.018849712373081928,19.5,0.08167068300520401,0.004188240154113026,0.019,0.041773843783070336,2.198623357003702,0.0003222563314229099,500
table1,min,Ackley,SMCO_BR,2.6,0.0380252127545223,0.014625081828662423,19.4,0.08023925642117312,0.004136044145421295,0.018,0.08172583139396739,4.540323966331521,0.0003222563314229099,500
table1,min,Ackley,GD,19.0,18.71434083402795,0.9849653070541027,20.3,20.844255276760137,1.026810604766509,0.021,0.0185298262067372,0.8823726765112951,0.0003222563314229099,500
table1,min,Ackley,SignGD,19.0,18.774507364109493,0.9881319665320786,20.0,20.843966353558233,1.0421983176779117,0.034,0.03595211119879969,1.0574150352588143,0.0003222563314229099,500
table1,min,Ackley,SPSA,19.0,18.78934810507115,0.9889130581616394,20.0,20.844251736417693,1.0422125868208847,0.002,0.0016892863502725958,0.8446431751362978,0.0003222563314229099,500
table1,min,Ackley,ADAM,19.1,18.773803939710817,0.9829216722361683,20.7,20.843966353670098,1.0069548963125652,0.001,0.016099669400253334,16.099669400253333,0.0003222563314229099,500
table1,min,Ackley,optimLBFGS,18.8,18.29004742757964,0.9728748631691297,20.4,20.88602230215039,1.023824622654431,0.0005,0.002790387595654465,5.58077519130893,0.0003222563314229099,500
table1,min,Ackley,BOBYQA,15.1,18.77267698039605,1.243223641085831,20.2,20.844250837456705,1.0318936058146884,0.002,0.034712220305460506,17.356110152730253,0.0003222563314229099,500
table1,min,Griewank,SMCO,9.9,0.014643355052381471,0.0014791267729678253,11.6,0.036278839297591466,0.003127486146344092,0.017,0.03183917284407653,1.8728925202397957,5.097440197032732e-05,500
table1,min,Griewank,SMCO_R,0.04,0.016895630843275427,0.42239077108188566,0.12,0.047392990835346455,0.3949415902945538,0.017,0.031425644665025176,1.848567333236775,5.097440197032732e-05,500
table1,min,Griewank,SMCO_BR,0.06,0.011202141645483612,0.1867023607580602,0.16,0.029794485131639854,0.18621553207274907,0.018,0.06207458048535045,3.448587804741692,5.097440197032732e-05,500
table1,min,Griewank,GD,196.2,71.63373445385996,0.3651056801929662,437.4,161.48490239787895,0.3691927352489231,0.032,0.023011537776561453,0.7191105555175453,5.097440197032732e-05,500
table1,min,Griewank,SignGD,208.4,71.62407815422974,0.34368559574966284,492.5,161.4840325842595,0.3278863605771766,0.026,0.024352648111060263,0.9366403119638563,5.097440197032732e-05,500
table1,min,Griewank,SPSA,137.9,72.00050256017892,0.5221211208134802,330.7,161.61761877304906,0.48871369450574254,0.003,0.02418128097197041,8.060426990656802,5.097440197032732e-05,500
table1,min,Griewank,ADAM,211.5,71.62382468999827,0.33864692524821877,506.2,161.4840350435206,0.31901231735187796,0.014,0.028109784395433962,2.007841742530997,5.097440197032732e-05,500
table1,min,Griewank,optimLBFGS,141.9,68.10106521663636,0.47992294021590104,333.8,159.96589927396357,0.4792267803294295,0.0005,0.0021634061180520804,4.3268122361041605,5.097440197032732e-05,500
table1,min,Griewank,BOBYQA,18.9,71.4509235544122,3.7804721457360957,15.9,161.48403258373762,10.156228464386013,0.002,0.04304569640383124,21.522848201915618,5.097440197032732e-05,500
