label,name,dim,maximize,repetitions,iter_max,n_starts,seed,best_opt,algo,time_avg,rMSE,AE50,AE95,AE99,fopt_mean,fopt_sd
McCormick_2d,McCormick,2,False,20,300,10,20261728,-1.9132229549810367,SMCO,0.07799030425667297,3.032519383037168e-07,1.0773540881636734e-07,6.564930598029762e-07,7.325574406413791e-07,-1.9132227405262967,2.1997823462737638e-07
McCormick_2d,McCormick,2,False,20,300,10,20261728,-1.9132229549810367,SMCO_R,0.08178876414895057,1.650597297108771e-08,6.375344252518289e-09,3.0868562506114484e-08,4.1519196907202607e-08,-1.913222943567717,1.2233830549512354e-08
McCormick_2d,McCormick,2,False,20,300,10,20261728,-1.9132229549810367,SMCO_BR,0.08350794005091303,7.789181329271018e-08,3.228555511824993e-08,1.7051707668080954e-07,1.8666485046558987e-07,-1.9132229013842035,5.798832990870861e-08
McCormick_2d,McCormick,2,False,20,300,10,20261728,-1.9132229549810367,SMCO_EVO,0.0831201146094827,2.0341591024808308e-07,7.76351414266685e-08,3.925302470175753e-07,5.729791436959172e-07,-1.9132228209145326,1.5695861014199807e-07
McCormick_2d,McCormick,2,False,20,300,10,20261728,-1.9132229549810367,SMCO_R_EVO,0.08444984435336664,3.004847719012328e-08,7.162089810108796e-09,6.716590519317835e-08,8.623241470218087e-08,-1.9132229365079827,2.4314978129045436e-08
McCormick_2d,McCormick,2,False,20,300,10,20261728,-1.9132229549810367,SMCO_BR_EVO,0.08697588240611367,4.577134885564282e-08,1.0065607236597884e-08,1.1147446501436068e-07,1.4226508251891085e-07,-1.9132229290788723,3.871752283244758e-08
McCormick_2d,McCormick,2,False,20,300,10,20261728,-1.9132229549810367,GD,0.06438201240671333,1.1324974195909596e-05,4.006642195797383e-08,2.7824057012382232e-05,3.951016444081022e-05,-1.913218941462652,1.0865043450052093e-05
McCormick_2d,McCormick,2,False,20,300,10,20261728,-1.9132229549810367,SignGD,0.021639498355216346,0.00015647386657160272,4.39839196042513e-06,0.0003103006305512635,0.00036906497922559726,-1.9131328433819994,0.00013124493228840398
McCormick_2d,McCormick,2,False,20,300,10,20261728,-1.9132229549810367,ADAM,0.09039960920345039,0.016762559718522963,1.0216965051768057e-09,0.01000731037811962,0.06173731731022612,-1.9091076591339884,0.016671682528303672
McCormick_2d,McCormick,2,False,20,300,10,20261728,-1.9132229549810367,SPSA,0.08898215154767967,0.0067932096408135755,0.0009865488194222838,0.01421980818196136,0.017145216386592964,-1.90911308642649,0.00554945968810352
McCormick_2d,McCormick,2,False,20,300,10,20261728,-1.9132229549810367,optimLBFGS,0.01694303134281654,4.150513505993808e-12,3.863576125695545e-14,6.333111812750767e-12,1.53303947314498e-11,-1.9132229549797206,4.038505636139965e-12
McCormick_2d,McCormick,2,False,20,300,10,20261728,-1.9132229549810367,optimNM,0.02406250070198439,7.472280992164595e-14,5.0182080713057076e-14,1.296296403552333e-13,1.5595524871514494e-13,-1.9132229549809758,4.438063050311843e-14
McCormick_2d,McCormick,2,False,20,300,10,20261728,-1.9132229549810367,BOBYQA,0.4828827853867551,1.2034241116647093e-09,9.124947464300703e-10,2.0399263611636797e-09,2.1138527195319057e-09,-1.9132229540486265,7.805803294000242e-10
McCormick_2d,McCormick,2,False,20,300,10,20261728,-1.9132229549810367,GenSA,0.038264523894758894,1.0615653331592357e-11,2.9976021664879227e-14,3.0031888087478366e-11,3.080005583910861e-11,-1.9132229549763977,9.796398257430159e-12
McCormick_2d,McCormick,2,False,20,300,10,20261728,-1.9132229549810367,SA,0.46592073335777967,2.221441469079183,1.5707963267948968,3.141592653589793,3.141592653589793,-0.34242662818614006,1.6116030268264412
McCormick_2d,McCormick,2,False,20,300,10,20261728,-1.9132229549810367,DEoptim,0.03483708670828491,5.3881989839206244e-09,1.9413570750970166e-09,1.0686330864650984e-08,1.1157159982566611e-08,-1.9132229511323675,3.8689636895313e-09
McCormick_2d,McCormick,2,False,20,300,10,20261728,-1.9132229549810367,GA,0.2942396998521872,1.7927143472029585e-06,3.1736850258923255e-08,3.977231462481968e-06,4.966441997051872e-06,-1.9132220206889001,1.5697545682446455e-06
McCormick_2d,McCormick,2,False,20,300,10,20261728,-1.9132229549810367,PSO,0.03369563714950345,0.0,0.0,0.0,0.0,-1.913222954981037,2.278129578503827e-16
