strategy,algo,func,dim,rep,fopt,time,iterations,seed,source
rand1bin,PSO,Ackley,1000,2,21.8019274410369,2.44599999999991,300,2001027,215early
rand1bin,GenSA,Ackley,1000,2,21.983311529901,4443.329,1078618,2001027,215early
rand1bin,SA,Ackley,1000,2,21.934105774323,32.5429999999997,300,2001027,215early
rand1bin,SMCO,Ackley,1000,3,21.3795364417695,562.176,332,3001030,215early
rand1bin,SMCO_R,Ackley,1000,3,21.9453754401255,493.215,182,3001030,215early
rand1bin,SMCO_BR,Ackley,1000,3,21.9372750039086,496.188,107,3001030,215early
rand1bin,SMCO_EVO,Ackley,1000,3,22.1007687825195,706.976,139,3001030,215early
rand1bin,DEoptim,Ackley,1000,3,21.4817956555668,0.271000000000186,300,3001030,215early
rand1bin,GA,Ackley,1000,3,21.526481035292,1.96799999999985,300,3001030,215early
rand1bin,PSO,Ackley,1000,3,21.7903831603748,2.59799999999996,300,3001030,215early
rand1bin,GenSA,Ackley,1000,3,22.0020601810361,5855.729,1118284,3001030,215early
rand1bin,SA,Ackley,1000,3,21.9433666207199,31.2380000000003,300,3001030,215early
rand1bin,SMCO,Ackley,1000,4,21.3682939785765,561.67,332,4001033,215early
rand1bin,SMCO_R,Ackley,1000,4,21.9495884150103,493.503,182,4001033,215early
rand1bin,SMCO_BR,Ackley,1000,4,21.9428603482627,496.077,107,4001033,215early
rand1bin,SMCO_EVO,Ackley,1000,4,22.1061951972535,706.1,139,4001033,215early
rand1bin,DEoptim,Ackley,1000,4,21.5034265798273,0.257999999999811,300,4001033,215early
rand1bin,GA,Ackley,1000,4,21.5071601900631,1.92599999999993,300,4001033,215early
rand1bin,PSO,Ackley,1000,4,21.7843794824389,2.49800000000005,300,4001033,215early
rand1bin,GenSA,Ackley,1000,4,22.0034750566283,5680.989,1092681,4001033,215early
rand1bin,SA,Ackley,1000,4,21.9470273146125,32.7579999999998,300,4001033,215early
rand1bin,SMCO,Rosenbrock,1000,0,464478404.360027,433.364,332,1021,215early
rand1bin,SMCO_R,Rosenbrock,1000,0,422963837.219289,428.179,182,1021,215early
rand1bin,SMCO_BR,Rosenbrock,1000,0,346837234.135891,423.355,107,1021,215early
rand1bin,SMCO_EVO,Rosenbrock,1000,0,11991450903.9376,589.009,139,1021,215early
rand1bin,DEoptim,Rosenbrock,1000,0,174662513.990205,0.243999999999915,300,1021,215early
rand1bin,GA,Rosenbrock,1000,0,150917917.869632,1.55300000000011,300,1021,215early
rand1bin,PSO,Rosenbrock,1000,0,539288778.868492,2.04199999999992,300,1021,215early
rand1bin,GenSA,Rosenbrock,1000,0,798282150.823116,11582.876,1179597,1021,215early
rand1bin,SA,Rosenbrock,1000,0,560378979.0,4.08799999999974,300,1021,215early
rand1bin,SMCO,Rosenbrock,1000,1,466214534.397068,427.126,332,1001024,215early
rand1bin,SMCO_R,Rosenbrock,1000,1,426735829.13284,420.659,182,1001024,215early
rand1bin,SMCO_BR,Rosenbrock,1000,1,352137058.156112,419.445,107,1001024,215early
rand1bin,SMCO_EVO,Rosenbrock,1000,1,12104344101.8444,594.4,139,1001024,215early
rand1bin,DEoptim,Rosenbrock,1000,1,172636916.072405,0.192999999999984,300,1001024,215early
rand1bin,GA,Rosenbrock,1000,1,153989726.137764,1.58900000000017,300,1001024,215early
rand1bin,PSO,Rosenbrock,1000,1,523634454.0,2.221,300,1001024,215early
rand1bin,GenSA,Rosenbrock,1000,1,798502550.472405,10953.718,1205191,1001024,215early
rand1bin,SA,Rosenbrock,1000,1,566521839.0,4.60499999999956,300,1001024,215early
rand1bin,SMCO,Rosenbrock,1000,2,459450287.8898,467.539000000001,332,2001027,215early
rand1bin,SMCO_R,Rosenbrock,1000,2,419485020.124936,467.634,182,2001027,215early
rand1bin,SMCO_BR,Rosenbrock,1000,2,346659575.172023,454.982,107,2001027,215early
rand1bin,SMCO_EVO,Rosenbrock,1000,2,12261040885.2244,616.49,139,2001027,215early
rand1bin,DEoptim,Rosenbrock,1000,2,180523475.831298,0.253000000000611,300,2001027,215early
rand1bin,GA,Rosenbrock,1000,2,160428394.075123,1.6299999999992,300,2001027,215early
rand1bin,PSO,Rosenbrock,1000,2,518369139.0,2.21000000000095,300,2001027,215early
rand1bin,GenSA,Rosenbrock,1000,2,798261541.448502,8331.981,1186923,2001027,215early
rand1bin,SA,Rosenbrock,1000,2,558038889.0,4.14800000000105,300,2001027,215early
rand1bin,SMCO,Rosenbrock,1000,3,463706688.615933,486.611999999999,332,3001030,215early
rand1bin,SMCO_R,Rosenbrock,1000,3,424504946.910416,471.329000000001,182,3001030,215early
rand1bin,SMCO_BR,Rosenbrock,1000,3,353072246.201106,463.742999999999,107,3001030,215early
rand1bin,SMCO_EVO,Rosenbrock,1000,3,13831907771.1023,656.168000000001,139,3001030,215early
rand1bin,DEoptim,Rosenbrock,1000,3,172999864.717578,0.208999999998923,300,3001030,215early
rand1bin,GA,Rosenbrock,1000,3,161722949.824559,1.83500000000095,300,3001030,215early
rand1bin,PSO,Rosenbrock,1000,3,529851167.079283,2.3179999999993,300,3001030,215early
rand1bin,GenSA,Rosenbrock,1000,3,798240593.555147,9093.88,1175558,3001030,215early
rand1bin,SA,Rosenbrock,1000,3,561278979.0,3.86699999999837,300,3001030,215early
rand1bin,SMCO,Rosenbrock,1000,4,472300038.628611,486.951,332,4001033,215early
rand1bin,SMCO_R,Rosenbrock,1000,4,433216303.32653,474.782999999999,182,4001033,215early
rand1bin,SMCO_BR,Rosenbrock,1000,4,360174468.257253,459.953000000001,107,4001033,215early
rand1bin,SMCO_EVO,Rosenbrock,1000,4,13129761895.8597,621.616,139,4001033,215early
rand1bin,DEoptim,Rosenbrock,1000,4,165957147.522267,0.202000000001135,300,4001033,215early
rand1bin,GA,Rosenbrock,1000,4,155002472.387411,1.77099999999882,300,4001033,215early
rand1bin,PSO,Rosenbrock,1000,4,507331282.12554,2.14800000000105,300,4001033,215early
rand1bin,GenSA,Rosenbrock,1000,4,799093157.081221,8197.33,1114024,4001033,215early
rand1bin,SA,Rosenbrock,1000,4,564316659.0,4.13700000000244,300,4001033,215early
rand1bin,SMCO_R_EVO,Rastrigin,1000,0,41034.1981372048,622.57,252,1021,215early
rand1bin,SMCO_BR_EVO,Rastrigin,1000,0,43716.2198014636,670.157,158,1021,215early
rand1bin,SMCO_R_EVO,Rastrigin,1000,1,44359.0865899243,737.791,252,1001024,215early
rand1bin,SMCO_BR_EVO,Rastrigin,1000,1,48740.9980868536,681.128,158,1001024,215early
rand1bin,SMCO_R_EVO,Rastrigin,1000,2,39686.8975071765,623.414,252,2001027,215early
rand1bin,SMCO_BR_EVO,Rastrigin,1000,2,52252.396084804,656.551,158,2001027,215early
rand1bin,SMCO_R_EVO,Rastrigin,1000,3,43802.9172593112,630.136,252,3001030,215early
rand1bin,SMCO_BR_EVO,Rastrigin,1000,3,47615.3178027689,651.636,158,3001030,215early
rand1bin,SMCO_R_EVO,Rastrigin,1000,4,42849.3112461323,728.474,252,4001033,215early
rand1bin,SMCO_BR_EVO,Rastrigin,1000,4,49922.7476309451,703.877,158,4001033,215early
rand1bin,SMCO_R_EVO,Ackley,1000,0,22.0898914632303,689.469,252,1021,215early
rand1bin,SMCO_BR_EVO,Ackley,1000,0,22.1215182434335,706.759,158,1021,215early
rand1bin,SMCO_R_EVO,Ackley,1000,1,22.0996957177535,681.107,252,1001024,215early
rand1bin,SMCO_BR_EVO,Ackley,1000,1,22.1229547954493,710.752,158,1001024,215early
rand1bin,SMCO_R_EVO,Ackley,1000,2,22.0962862082125,763.738,252,2001027,215early
rand1bin,SMCO_BR_EVO,Ackley,1000,2,22.119529693338,700.184,226,2001027,215early
rand1bin,SMCO_R_EVO,Ackley,1000,3,22.0874512427305,818.386,252,3001030,215early
rand1bin,SMCO_BR_EVO,Ackley,1000,3,22.1226673663156,729.288,158,3001030,215early
rand1bin,SMCO_R_EVO,Ackley,1000,4,22.0889060512059,767.021,252,4001033,215early
rand1bin,SMCO_BR_EVO,Ackley,1000,4,22.1179993377604,703.681,226,4001033,215early
rand1bin,SMCO_R_EVO,Rosenbrock,1000,0,6431354499.55573,609.002,252,1021,215early
rand1bin,SMCO_BR_EVO,Rosenbrock,1000,0,4360865835.13049,650.862,158,1021,215early
rand1bin,SMCO_R_EVO,Rosenbrock,1000,1,8681197431.77095,742.515,252,1001024,215early
rand1bin,SMCO_BR_EVO,Rosenbrock,1000,1,5268644080.35797,684.646,158,1001024,215early
rand1bin,SMCO_R_EVO,Rosenbrock,1000,2,6729351919.46297,721.821,252,2001027,215early
rand1bin,SMCO_BR_EVO,Rosenbrock,1000,2,5894939746.58385,712.713,158,2001027,215early
rand1bin,SMCO_R_EVO,Rosenbrock,1000,3,6543430101.08594,741.087,252,3001030,215early
rand1bin,SMCO_BR_EVO,Rosenbrock,1000,3,4982007468.0653,667.637,158,3001030,215early
rand1bin,SMCO_R_EVO,Rosenbrock,1000,4,5893944114.42282,606.419,252,4001033,215early
rand1bin,SMCO_BR_EVO,Rosenbrock,1000,4,6541908433.2788,643.659,158,4001033,215early
rand1bin,SMCO,Rastrigin,3000,0,85824.303345843,6060.978,355,3021,251
rand1bin,SMCO_R,Rastrigin,3000,0,85871.534114763,6065.186,205,3021,251
rand1bin,SMCO_BR,Rastrigin,3000,0,85846.1175916,6405.202,130,3021,251
rand1bin,SMCO_EVO,Rastrigin,3000,0,144497.054365882,8591.583,185,3021,251
rand1bin,DEoptim,Rastrigin,3000,0,58840.873155567,0.704999999998108,300,3021,251
rand1bin,GA,Rastrigin,3000,0,58498.2928077257,5.16500000000087,300,3021,251
rand1bin,PSO,Rastrigin,3000,0,85284.7732234124,5.59900000000198,300,3021,251
rand1bin,GenSA,Rastrigin,3000,0,120996.102918279,565695.848,8645940,3021,251
rand1bin,SA,Rastrigin,3000,0,86787.1718110477,109.229999999981,300,3021,251
rand1bin,SMCO,Rastrigin,3000,1,85749.3907601919,6053.619,355,1003024,251
rand1bin,SMCO_R,Rastrigin,3000,1,85808.5115530212,6059.672,205,1003024,251
rand1bin,SMCO_BR,Rastrigin,3000,1,85769.8384451059,6399.929,130,1003024,251
rand1bin,SMCO_EVO,Rastrigin,3000,1,139446.131071118,8583.727,185,1003024,251
rand1bin,DEoptim,Rastrigin,3000,1,58900.0096959305,0.697000000000116,300,1003024,251
rand1bin,GA,Rastrigin,3000,1,58625.9638836906,5.15499999999884,300,1003024,251
rand1bin,PSO,Rastrigin,3000,1,86169.7857030817,5.54699999999866,300,1003024,251
rand1bin,GenSA,Rastrigin,3000,1,120991.128561517,562223.376,8516129,1003024,251
rand1bin,SA,Rastrigin,3000,1,86822.0900467261,111.985000000102,300,1003024,251
rand1bin,SMCO,Ackley,3000,0,21.5385804331826,7025.034,355,3021,251
rand1bin,SMCO_R,Ackley,3000,0,21.56470301324,7067.023,205,3021,251
rand1bin,SMCO_BR,Ackley,3000,0,21.913781012255,6856.955,130,3021,251
rand1bin,SMCO_EVO,Ackley,3000,0,22.09969487105,9930.095,185,3021,251
rand1bin,DEoptim,Ackley,3000,0,21.3716080457947,0.68999999999869,300,3021,251
rand1bin,GA,Ackley,3000,0,21.3725630741493,5.28000000000247,300,3021,251
rand1bin,PSO,Ackley,3000,0,21.7543991956603,5.85499999999956,300,3021,251
rand1bin,GenSA,Ackley,3000,0,21.5577547081904,88671.805,2915513,3021,251
rand1bin,SA,Ackley,3000,0,21.9248494917857,414.171000000002,300,3021,251
rand1bin,SMCO,Ackley,3000,1,21.5282376934726,7020.563,355,1003024,251
rand1bin,SMCO_R,Ackley,3000,1,21.5600843919054,7071.354,205,1003024,251
rand1bin,SMCO_BR,Ackley,3000,1,21.9049766646253,6858.698,130,1003024,251
rand1bin,SMCO_EVO,Ackley,3000,1,22.0982007584278,9933.114,185,1003024,251
rand1bin,DEoptim,Ackley,3000,1,21.3665026418953,0.69800000000032,300,1003024,251
rand1bin,GA,Ackley,3000,1,21.367124413881,5.27300000000105,300,1003024,251
rand1bin,PSO,Ackley,3000,1,21.7627983866167,5.79999999999927,300,1003024,251
rand1bin,GenSA,Ackley,3000,1,21.5971058152674,114472.802,3202316,1003024,251
rand1bin,SA,Ackley,3000,1,21.9177325626293,402.991999999998,300,1003024,251
rand1bin,SMCO,Rosenbrock,3000,0,1246668998.46489,4888.06,355,3021,251
rand1bin,SMCO_R,Rosenbrock,3000,0,1098352260.29963,4935.811,205,3021,251
rand1bin,SMCO_BR,Rosenbrock,3000,0,861641089.445202,4991.792,130,3021,251
rand1bin,SMCO_EVO,Rosenbrock,3000,0,27972088419.5126,6796.049,185,3021,251
rand1bin,DEoptim,Rosenbrock,3000,0,453066877.659751,0.477999999999156,300,3021,251
rand1bin,GA,Rosenbrock,3000,0,430482684.783458,4.33100000000195,300,3021,251
rand1bin,PSO,Rosenbrock,3000,0,1593180053.98485,5.19099999999889,300,3021,251
rand1bin,GenSA,Rosenbrock,3000,0,2395348558.77237,503942.269,4732197,3021,251
rand1bin,SA,Rosenbrock,3000,0,1667388159.0,56.6720000000205,300,3021,251
rand1bin,SMCO,Rosenbrock,3000,1,1242863766.82264,4894.588,355,1003024,251
rand1bin,SMCO_R,Rosenbrock,3000,1,1095311927.74628,4933.377,205,1003024,251
rand1bin,SMCO_BR,Rosenbrock,3000,1,863089571.729366,4988.123,130,1003024,251
rand1bin,SMCO_EVO,Rosenbrock,3000,1,33088273288.2946,6803.636,185,1003024,251
rand1bin,DEoptim,Rosenbrock,3000,1,453225748.79025,0.470000000001164,300,1003024,251
rand1bin,GA,Rosenbrock,3000,1,426190874.63615,4.45300000000134,300,1003024,251
rand1bin,PSO,Rosenbrock,3000,1,1517327724.60317,4.82200000000012,300,1003024,251
rand1bin,GenSA,Rosenbrock,3000,1,2395220121.15166,473295.279,4592619,1003024,251
rand1bin,SA,Rosenbrock,3000,1,1654450029.0,56.0100000000093,300,1003024,251
rand1bin,SMCO,Rastrigin,5000,0,142456.179020845,21383.936,371,5021,251
rand1bin,SMCO_R,Rastrigin,5000,0,142498.841794459,21515.217,221,5021,251
rand1bin,SMCO_BR,Rastrigin,5000,0,142423.255190279,23220.819,146,5021,251
rand1bin,SMCO_EVO,Rastrigin,5000,0,244548.145822312,30961.684,217,5021,251
rand1bin,DEoptim,Rastrigin,5000,0,97141.4289810187,1.37399999999616,300,5021,251
rand1bin,GA,Rastrigin,5000,0,95694.8599412425,9.02300000000105,300,5021,251
rand1bin,PSO,Rastrigin,5000,0,144098.199677731,8.96399999999267,300,5021,251
rand1bin,GenSA,Rastrigin,5000,0,187432.179590326,1957763.404,10021935,5021,251
rand1bin,SA,Rastrigin,5000,0,144646.425781865,399.46399999992,300,5021,251
rand1bin,SMCO,Rastrigin,5000,1,142694.793870656,21401.875,371,1005024,251
rand1bin,SMCO_R,Rastrigin,5000,1,142818.707987679,21591.242,221,1005024,251
rand1bin,SMCO_BR,Rastrigin,5000,1,142710.091571469,23244.695,146,1005024,251
rand1bin,SMCO_EVO,Rastrigin,5000,1,247399.566735938,30971.953,217,1005024,251
rand1bin,DEoptim,Rastrigin,5000,1,95881.8412229783,1.36900000000605,300,1005024,251
rand1bin,GA,Rastrigin,5000,1,96192.1846090012,9.18299999998999,300,1005024,251
