func,dim,evo_fopt,nextbest_algo,nextbest_fopt,evo_x_nextbest
Rastrigin,1000,50579.961308364946,GenSA,40331.6458279202,1.2541010977873408
Rastrigin,3000,141971.5927185,GenSA,120993.615739898,1.173380858571073
Rastrigin,5000,245973.856279125,GenSA,188147.5730108365,1.3073453584488064
Ackley,1000,22.107244492717122,GenSA,21.99598997771638,1.0050579453397392
Ackley,3000,22.0989478147389,SA,21.921291027207502,1.0081043031320964
Ackley,5000,22.098187880608002,SA,21.922079480631503,1.0080333802334807
Rosenbrock,1000,12663701111.59368,GenSA,798475998.6760782,15.85983940981428
Rosenbrock,3000,30530180853.903603,GenSA,2395284339.962015,12.745952680669117
Rosenbrock,5000,51217235903.1779,GenSA,3991464583.707775,12.83168992961498
