source,scenario,name,dim,maximize,base_algo,evo_algo,base_gap,evo_gap,gap_improvement,winner
r_synced,Qing_10d,Qing,10,False,SMCO_R,SMCO_R_EVO,5.447268579731333,5.284714274702378,0.16255430502895507,SMCO_R_EVO
r_synced,Qing_10d,Qing,10,False,SMCO_BR,SMCO_BR_EVO,5.776034092330997,6.4410446404209525,-0.6650105480899553,SMCO_BR
r_synced,Rastrigin_10d,Rastrigin,10,False,SMCO,SMCO_EVO,4.168757501710032,4.266160078922054,-0.09740257721202195,SMCO
r_synced,Rastrigin_10d,Rastrigin,10,False,SMCO_R,SMCO_R_EVO,3.9876080822354774,4.0865226710880895,-0.09891458885261217,SMCO_R
r_synced,Rastrigin_10d,Rastrigin,10,False,SMCO_BR,SMCO_BR_EVO,4.13790641655937,4.087807746006621,0.050098670552749525,SMCO_BR_EVO
r_synced,Rosenbrock_10d,Rosenbrock,10,False,SMCO,SMCO_EVO,0.8318590301100286,0.7442618752487925,0.08759715486123609,SMCO_EVO
r_synced,Rosenbrock_10d,Rosenbrock,10,False,SMCO_R,SMCO_R_EVO,0.14118615377698956,0.14258615322627238,-0.0013999994492828183,SMCO_R
r_synced,Rosenbrock_10d,Rosenbrock,10,False,SMCO_BR,SMCO_BR_EVO,0.1749131508790566,0.1310302765803011,0.04388287429875548,SMCO_BR_EVO
r_synced,Shubert_2d,Shubert,2,False,SMCO,SMCO_EVO,7.155348144542444,2.1915650036384307,4.963783140904013,SMCO_EVO
r_synced,Shubert_2d,Shubert,2,False,SMCO_R,SMCO_R_EVO,3.1578612798467987,3.1578265437525204,3.4736094278287055e-05,SMCO_R_EVO
r_synced,Shubert_2d,Shubert,2,False,SMCO_BR,SMCO_BR_EVO,6.315690048233932,0.00012251655653017224,6.315567531677402,SMCO_BR_EVO
r_synced,SixHumpCamel_2d,SixHumpCamel,2,False,SMCO,SMCO_EVO,4.1724797150699544e-07,6.426376022439229e-07,-2.2538963073692742e-07,SMCO
r_synced,SixHumpCamel_2d,SixHumpCamel,2,False,SMCO_R,SMCO_R_EVO,2.2758408269041297e-08,1.9608753509814392e-08,3.1496547592269053e-09,SMCO_R_EVO
r_synced,SixHumpCamel_2d,SixHumpCamel,2,False,SMCO_BR,SMCO_BR_EVO,3.768601430920171e-08,2.36029029654361e-08,1.4083111343765609e-08,SMCO_BR_EVO
r_synced,SquaredNorm_10d,SquaredNorm,10,True,SMCO,SMCO_EVO,0.22582461107868035,0.18663748935363955,0.0391871217250408,SMCO_EVO
r_synced,SquaredNorm_10d,SquaredNorm,10,True,SMCO_R,SMCO_R_EVO,0.3697185357701205,0.3112560945691545,0.058462441200966,SMCO_R_EVO
r_synced,SquaredNorm_10d,SquaredNorm,10,True,SMCO_BR,SMCO_BR_EVO,0.7260524018369594,0.6225639819748672,0.10348841986209223,SMCO_BR_EVO
r_synced,Zakharov_10d,Zakharov,10,False,SMCO,SMCO_EVO,0.03701624035563857,0.03360884764294159,0.00340739271269698,SMCO_EVO
r_synced,Zakharov_10d,Zakharov,10,False,SMCO_R,SMCO_R_EVO,0.029723489347343205,0.03149499809980669,-0.001771508752463482,SMCO_R
r_synced,Zakharov_10d,Zakharov,10,False,SMCO_BR,SMCO_BR_EVO,0.06296014201971924,0.05997035530587166,0.0029897867138475795,SMCO_BR_EVO
