label,algo,best_strategy,best_gap_to_reference
table1_Rastrigin_d2_min,SMCO_BR_EVO,best1bin,0.013231884369643261
table1_Rastrigin_d2_min,SMCO_EVO,best1bin,0.016686439270163375
table1_Rastrigin_d2_min,SMCO_R_EVO,rand1bin,0.01486070827394932
table2_Ackley_d200_max,SMCO_BR_EVO,best1bin,0.12682512332010987
table2_Ackley_d200_max,SMCO_EVO,best1bin,0.1557196095408706
table2_Ackley_d200_max,SMCO_R_EVO,best1bin,0.12798029556673995
table2_Ackley_d200_min,SMCO_BR_EVO,best1bin,0.0736960628783482
table2_Ackley_d200_min,SMCO_EVO,rand1bin,0.1994894886375782
table2_Ackley_d200_min,SMCO_R_EVO,sobol,0.06501298322343345
table2_Griewank_d200_max,SMCO_BR_EVO,sobol,994.3187440198344
table2_Griewank_d200_max,SMCO_EVO,rand1bin,16.23707511354587
table2_Griewank_d200_max,SMCO_R_EVO,best1bin,257.1324942370993
table2_Griewank_d200_min,SMCO_BR_EVO,best1bin,0.021104815658081838
table2_Griewank_d200_min,SMCO_EVO,current-to-best1bin,0.47150003047109645
table2_Griewank_d200_min,SMCO_R_EVO,best1bin,0.0184985362628457
table2_Michalewicz_d200_max,SMCO_BR_EVO,sobol,9.577980627909074e-13
table2_Michalewicz_d200_max,SMCO_EVO,rand1bin,4.99091020891326e-07
table2_Michalewicz_d200_max,SMCO_R_EVO,best1bin,8.001022562467606e-14
table2_Michalewicz_d200_min,SMCO_BR_EVO,sobol,3.72970082900801
table2_Michalewicz_d200_min,SMCO_EVO,best1bin,33.18769448464164
table2_Michalewicz_d200_min,SMCO_R_EVO,rand1bin,0.7115596403895665
table2_Rastrigin_d200_max,SMCO_BR_EVO,sobol,1736.9286083262377
table2_Rastrigin_d200_max,SMCO_EVO,best1bin,1738.9684918316325
table2_Rastrigin_d200_max,SMCO_R_EVO,best1bin,1736.8334185832773
table2_Rastrigin_d200_min,SMCO_BR_EVO,best1bin,318.6775402213557
table2_Rastrigin_d200_min,SMCO_EVO,sobol,314.36290843163675
table2_Rastrigin_d200_min,SMCO_R_EVO,sobol,316.3169916164357
table3_EmpiricalWelfare_d10,SMCO_BR_EVO,rand1bin,449.5259785319315
table3_EmpiricalWelfare_d10,SMCO_EVO,best1bin,441.25322888431106
table3_EmpiricalWelfare_d10,SMCO_R_EVO,rand1bin,414.750357801149
table3_EmpiricalWelfare_d20,SMCO_BR_EVO,best1bin,358.4561335790954
table3_EmpiricalWelfare_d20,SMCO_EVO,rand1bin,327.3496302721451
table3_EmpiricalWelfare_d20,SMCO_R_EVO,rand1bin,277.05279410170215
table3_EmpiricalWelfare_d5,SMCO_BR_EVO,rand1bin,94.06597907405353
table3_EmpiricalWelfare_d5,SMCO_EVO,rand1bin,86.2470318768294
table3_EmpiricalWelfare_d5,SMCO_R_EVO,rand1bin,87.604817304564
table3_EmpiricalWelfare_d50,SMCO_BR_EVO,rand1bin,607.5675105713972
table3_EmpiricalWelfare_d50,SMCO_EVO,rand1bin,496.95860349127133
table3_EmpiricalWelfare_d50,SMCO_R_EVO,rand1bin,406.1959503415369
table3_MaximumScore_d10,SMCO_BR_EVO,best1bin,0.044359999999999955
table3_MaximumScore_d10,SMCO_EVO,best1bin,0.04056000000000004
table3_MaximumScore_d10,SMCO_R_EVO,rand1bin,0.04028000000000004
table3_MaximumScore_d20,SMCO_BR_EVO,best1bin,0.041599999999999915
table3_MaximumScore_d20,SMCO_EVO,best1bin,0.031039999999999957
table3_MaximumScore_d20,SMCO_R_EVO,current-to-best1bin,0.034959999999999936
table3_MaximumScore_d5,SMCO_BR_EVO,best1bin,0.061259999999999926
table3_MaximumScore_d5,SMCO_EVO,rand1bin,0.059279999999999944
table3_MaximumScore_d5,SMCO_R_EVO,rand1bin,0.058539999999999925
table3_MaximumScore_d50,SMCO_BR_EVO,current-to-best1bin,0.07739999999999997
table3_MaximumScore_d50,SMCO_EVO,rand1bin,0.0746
table3_MaximumScore_d50,SMCO_R_EVO,best1bin,0.07140000000000002
