source,label,name,dim,algo,strategy,reference_best_opt,fopt_mean,gap_to_reference
paper_tables,table2_Michalewicz_d200_max,Michalewicz,200,SMCO_BR_EVO,rand1bin,-4.888254196900523e-14,-1.2077880522606225e-12,1.1589055102916174e-12
paper_tables,table2_Michalewicz_d200_min,Michalewicz,200,SMCO_EVO,rand1bin,-185.79379842143862,-152.20240569552055,33.59139272591807
paper_tables,table2_Michalewicz_d200_min,Michalewicz,200,SMCO_R_EVO,rand1bin,-185.79379842143862,-185.08223878104906,0.7115596403895665
paper_tables,table2_Michalewicz_d200_min,Michalewicz,200,SMCO_BR_EVO,rand1bin,-185.79379842143862,-181.90159431065734,3.892204110781279
paper_tables,table2_Rastrigin_d200_max,Rastrigin,200,SMCO_EVO,rand1bin,8070.65803876756,6325.337987295135,1745.3200514724258
paper_tables,table2_Rastrigin_d200_max,Rastrigin,200,SMCO_R_EVO,rand1bin,8070.65803876756,6327.578214585503,1743.0798241820576
paper_tables,table2_Rastrigin_d200_max,Rastrigin,200,SMCO_BR_EVO,rand1bin,8070.65803876756,6327.484152820929,1743.1738859466313
paper_tables,table2_Rastrigin_d200_min,Rastrigin,200,SMCO_EVO,rand1bin,4.547473508864641e-12,324.23905412340827,324.2390541234037
paper_tables,table2_Rastrigin_d200_min,Rastrigin,200,SMCO_R_EVO,rand1bin,4.547473508864641e-12,322.2901258306416,322.29012583063707
paper_tables,table2_Rastrigin_d200_min,Rastrigin,200,SMCO_BR_EVO,rand1bin,4.547473508864641e-12,322.3903935177533,322.39039351774875
table3,table3_EmpiricalWelfare_d10,EmpiricalWelfare,10,SMCO_EVO,rand1bin,2278.0709638946128,1835.8281383497788,442.242825544834
table3,table3_EmpiricalWelfare_d10,EmpiricalWelfare,10,SMCO_R_EVO,rand1bin,2278.0709638946128,1863.3206060934638,414.750357801149
table3,table3_EmpiricalWelfare_d10,EmpiricalWelfare,10,SMCO_BR_EVO,rand1bin,2278.0709638946128,1828.5449853626812,449.5259785319315
table3,table3_EmpiricalWelfare_d20,EmpiricalWelfare,20,SMCO_EVO,rand1bin,2652.9475224981034,2325.5978922259583,327.3496302721451
table3,table3_EmpiricalWelfare_d20,EmpiricalWelfare,20,SMCO_R_EVO,rand1bin,2652.9475224981034,2375.894728396401,277.05279410170215
