source,scenario,name,dim,maximize,base_algo,evo_algo,base_gap,evo_gap,gap_improvement,winner
paper_tables,table2_Rastrigin_d200_max,Rastrigin,200,True,SMCO_BR,SMCO_BR_EVO,1743.1664718824768,1743.1738859466313,-0.0074140641545454855,SMCO_BR
paper_tables,table2_Rastrigin_d200_min,Rastrigin,200,False,SMCO,SMCO_EVO,321.7586903973133,324.2390541234037,-2.480363726090445,SMCO
paper_tables,table2_Rastrigin_d200_min,Rastrigin,200,False,SMCO_R,SMCO_R_EVO,322.48498919655447,322.29012583063707,0.19486336591739928,SMCO_R_EVO
paper_tables,table2_Rastrigin_d200_min,Rastrigin,200,False,SMCO_BR,SMCO_BR_EVO,319.0119434599577,322.39039351774875,-3.378450057791042,SMCO_BR
paper_tables,table3_EmpiricalWelfare_d10,EmpiricalWelfare,10,True,SMCO,SMCO_EVO,439.67467201561294,442.242825544834,-2.5681535292210356,SMCO
paper_tables,table3_EmpiricalWelfare_d10,EmpiricalWelfare,10,True,SMCO_R,SMCO_R_EVO,433.3864371679497,414.750357801149,18.636079366800686,SMCO_R_EVO
paper_tables,table3_EmpiricalWelfare_d10,EmpiricalWelfare,10,True,SMCO_BR,SMCO_BR_EVO,454.4841494090863,449.5259785319315,4.958170877154771,SMCO_BR_EVO
paper_tables,table3_EmpiricalWelfare_d20,EmpiricalWelfare,20,True,SMCO,SMCO_EVO,334.987910658137,327.3496302721451,7.638280385991948,SMCO_EVO
paper_tables,table3_EmpiricalWelfare_d20,EmpiricalWelfare,20,True,SMCO_R,SMCO_R_EVO,284.474695869023,277.05279410170215,7.421901767320833,SMCO_R_EVO
paper_tables,table3_EmpiricalWelfare_d20,EmpiricalWelfare,20,True,SMCO_BR,SMCO_BR_EVO,365.12292529545675,365.41876179117435,-0.2958364957175945,SMCO_BR
paper_tables,table3_EmpiricalWelfare_d5,EmpiricalWelfare,5,True,SMCO,SMCO_EVO,84.31532364740269,86.2470318768294,-1.9317082294267038,SMCO
paper_tables,table3_EmpiricalWelfare_d5,EmpiricalWelfare,5,True,SMCO_R,SMCO_R_EVO,86.26284831399721,87.604817304564,-1.3419689905667838,SMCO_R
paper_tables,table3_EmpiricalWelfare_d5,EmpiricalWelfare,5,True,SMCO_BR,SMCO_BR_EVO,92.19153691857264,94.06597907405353,-1.8744421554808923,SMCO_BR
paper_tables,table3_EmpiricalWelfare_d50,EmpiricalWelfare,50,True,SMCO,SMCO_EVO,516.7016155264009,496.95860349127133,19.743012035129595,SMCO_EVO
paper_tables,table3_EmpiricalWelfare_d50,EmpiricalWelfare,50,True,SMCO_R,SMCO_R_EVO,360.5044020383816,406.1959503415369,-45.69154830315529,SMCO_R
paper_tables,table3_EmpiricalWelfare_d50,EmpiricalWelfare,50,True,SMCO_BR,SMCO_BR_EVO,636.2835248834426,607.5675105713972,28.716014312045445,SMCO_BR_EVO
paper_tables,table3_MaximumScore_d10,MaximumScore,10,True,SMCO,SMCO_EVO,0.04059999999999997,0.0406399999999999,-3.999999999992898e-05,SMCO
paper_tables,table3_MaximumScore_d10,MaximumScore,10,True,SMCO_R,SMCO_R_EVO,0.04079999999999995,0.04028000000000004,0.0005199999999999094,SMCO_R_EVO
paper_tables,table3_MaximumScore_d10,MaximumScore,10,True,SMCO_BR,SMCO_BR_EVO,0.043319999999999914,0.045040000000000024,-0.0017200000000001103,SMCO_BR
paper_tables,table3_MaximumScore_d20,MaximumScore,20,True,SMCO,SMCO_EVO,0.03359999999999996,0.03231999999999996,0.0012800000000000034,SMCO_EVO
paper_tables,table3_MaximumScore_d20,MaximumScore,20,True,SMCO_R,SMCO_R_EVO,0.035519999999999996,0.035679999999999934,-0.00015999999999993797,SMCO_R
paper_tables,table3_MaximumScore_d20,MaximumScore,20,True,SMCO_BR,SMCO_BR_EVO,0.041999999999999926,0.04239999999999999,-0.00040000000000006697,SMCO_BR
paper_tables,table3_MaximumScore_d5,MaximumScore,5,True,SMCO,SMCO_EVO,0.05857999999999991,0.059279999999999944,-0.0007000000000000339,SMCO
paper_tables,table3_MaximumScore_d5,MaximumScore,5,True,SMCO_R,SMCO_R_EVO,0.05799999999999983,0.058539999999999925,-0.000540000000000096,SMCO_R
paper_tables,table3_MaximumScore_d5,MaximumScore,5,True,SMCO_BR,SMCO_BR_EVO,0.060399999999999954,0.06217999999999996,-0.0017800000000000038,SMCO_BR
paper_tables,table3_MaximumScore_d50,MaximumScore,50,True,SMCO,SMCO_EVO,0.07339999999999997,0.0746,-0.0012000000000000344,SMCO
paper_tables,table3_MaximumScore_d50,MaximumScore,50,True,SMCO_R,SMCO_R_EVO,0.07599999999999996,0.07619999999999999,-0.00020000000000003348,SMCO_R
paper_tables,table3_MaximumScore_d50,MaximumScore,50,True,SMCO_BR,SMCO_BR_EVO,0.0756,0.08039999999999997,-0.004799999999999971,SMCO_BR
