label,algo,baseline_strategy,strategy,baseline_gap,strategy_gap,gap_improvement_vs_baseline,winner
table1_Michalewicz_d2_max,SMCO_BR_EVO,rand1bin,sobol,4.193326252415732e-35,2.7409333520066233e-33,-2.699000089482466e-33,rand1bin
table1_Michalewicz_d2_min,SMCO_EVO,rand1bin,current-to-best1bin,2.2757165927256295e-06,2.0658634498627038e-06,2.0985314286292578e-07,current-to-best1bin
table1_Michalewicz_d2_min,SMCO_EVO,rand1bin,best1bin,2.2757165927256295e-06,2.0658634498627038e-06,2.0985314286292578e-07,best1bin
table1_Michalewicz_d2_min,SMCO_EVO,rand1bin,sobol,2.2757165927256295e-06,2.0658634498627038e-06,2.0985314286292578e-07,sobol
table1_Michalewicz_d2_min,SMCO_R_EVO,rand1bin,current-to-best1bin,4.071649529979737e-06,4.544189867283777e-06,-4.725403373040393e-07,rand1bin
table1_Michalewicz_d2_min,SMCO_R_EVO,rand1bin,best1bin,4.071649529979737e-06,4.544189867283777e-06,-4.725403373040393e-07,rand1bin
table1_Michalewicz_d2_min,SMCO_R_EVO,rand1bin,sobol,4.071649529979737e-06,4.544189867283777e-06,-4.725403373040393e-07,rand1bin
table1_Michalewicz_d2_min,SMCO_BR_EVO,rand1bin,current-to-best1bin,5.403013679128321e-06,5.229449006938225e-06,1.735646721900963e-07,current-to-best1bin
table1_Michalewicz_d2_min,SMCO_BR_EVO,rand1bin,best1bin,5.403013679128321e-06,5.229449006938225e-06,1.735646721900963e-07,best1bin
table1_Michalewicz_d2_min,SMCO_BR_EVO,rand1bin,sobol,5.403013679128321e-06,5.229449006938225e-06,1.735646721900963e-07,sobol
table1_Rastrigin_d2_max,SMCO_EVO,rand1bin,current-to-best1bin,1.0286449157303394,0.8313029667578036,0.19734194897253587,current-to-best1bin
table1_Rastrigin_d2_max,SMCO_EVO,rand1bin,best1bin,1.0286449157303394,0.8313029667578036,0.19734194897253587,best1bin
table1_Rastrigin_d2_max,SMCO_EVO,rand1bin,sobol,1.0286449157303394,0.8313029667578036,0.19734194897253587,sobol
table1_Rastrigin_d2_max,SMCO_R_EVO,rand1bin,current-to-best1bin,0.7362784048767992,0.8889094855551605,-0.15263108067836129,rand1bin
table1_Rastrigin_d2_max,SMCO_R_EVO,rand1bin,best1bin,0.7362784048767992,0.8889094855551605,-0.15263108067836129,rand1bin
table1_Rastrigin_d2_max,SMCO_R_EVO,rand1bin,sobol,0.7362784048767992,0.8889094855551605,-0.15263108067836129,rand1bin
table1_Rastrigin_d2_max,SMCO_BR_EVO,rand1bin,current-to-best1bin,0.7286147602502098,0.9079285673074935,-0.17931380705728373,rand1bin
table1_Rastrigin_d2_max,SMCO_BR_EVO,rand1bin,best1bin,0.7286147602502098,0.9079285673074935,-0.17931380705728373,rand1bin
table1_Rastrigin_d2_max,SMCO_BR_EVO,rand1bin,sobol,0.7286147602502098,0.9079285673074935,-0.17931380705728373,rand1bin
table1_Rastrigin_d2_min,SMCO_EVO,rand1bin,current-to-best1bin,0.022612240548659592,0.016686439270163375,0.005925801278496217,current-to-best1bin
table1_Rastrigin_d2_min,SMCO_EVO,rand1bin,best1bin,0.022612240548659592,0.016686439270163375,0.005925801278496217,best1bin
table1_Rastrigin_d2_min,SMCO_EVO,rand1bin,sobol,0.022612240548659592,0.016686439270163375,0.005925801278496217,sobol
table1_Rastrigin_d2_min,SMCO_R_EVO,rand1bin,current-to-best1bin,0.01486070827394932,0.026719917183811424,-0.011859208909862104,rand1bin
table1_Rastrigin_d2_min,SMCO_R_EVO,rand1bin,best1bin,0.01486070827394932,0.026719917183811424,-0.011859208909862104,rand1bin
table1_Rastrigin_d2_min,SMCO_R_EVO,rand1bin,sobol,0.01486070827394932,0.026719917183811424,-0.011859208909862104,rand1bin
table1_Rastrigin_d2_min,SMCO_BR_EVO,rand1bin,current-to-best1bin,0.01527196543543571,0.013231884369643261,0.0020400810657924488,current-to-best1bin
table1_Rastrigin_d2_min,SMCO_BR_EVO,rand1bin,best1bin,0.01527196543543571,0.013231884369643261,0.0020400810657924488,best1bin
table1_Rastrigin_d2_min,SMCO_BR_EVO,rand1bin,sobol,0.01527196543543571,0.013231884369643261,0.0020400810657924488,sobol
table2_Ackley_d200_max,SMCO_EVO,rand1bin,current-to-best1bin,0.1743672801256757,0.16959731010688373,0.00476997001879198,current-to-best1bin
table2_Ackley_d200_max,SMCO_EVO,rand1bin,best1bin,0.1743672801256757,0.1557196095408706,0.0186476705848051,best1bin
table2_Ackley_d200_max,SMCO_EVO,rand1bin,sobol,0.1743672801256757,0.3591823016487048,-0.1848150215230291,rand1bin
table2_Ackley_d200_max,SMCO_R_EVO,rand1bin,current-to-best1bin,0.1402763861684022,0.14696820408386913,-0.006691817915466913,rand1bin
table2_Ackley_d200_max,SMCO_R_EVO,rand1bin,best1bin,0.1402763861684022,0.12798029556673995,0.012296090601662257,best1bin
table2_Ackley_d200_max,SMCO_R_EVO,rand1bin,sobol,0.1402763861684022,0.3310311619715769,-0.19075477580317468,rand1bin
table2_Ackley_d200_max,SMCO_BR_EVO,rand1bin,current-to-best1bin,0.13192810851505854,0.15959919648474497,-0.027671087969686425,rand1bin
table2_Ackley_d200_max,SMCO_BR_EVO,rand1bin,best1bin,0.13192810851505854,0.12682512332010987,0.005102985194948673,best1bin
table2_Ackley_d200_max,SMCO_BR_EVO,rand1bin,sobol,0.13192810851505854,0.3051652738193553,-0.17323716530429678,rand1bin
table2_Ackley_d200_min,SMCO_EVO,rand1bin,current-to-best1bin,0.1994894886375782,0.20020305405144506,-0.0007135654138668568,rand1bin
table2_Ackley_d200_min,SMCO_EVO,rand1bin,best1bin,0.1994894886375782,0.20003772747937204,-0.0005482388417938355,rand1bin
table2_Ackley_d200_min,SMCO_EVO,rand1bin,sobol,0.1994894886375782,0.20219840653073112,-0.002708917893152918,rand1bin
table2_Ackley_d200_min,SMCO_R_EVO,rand1bin,current-to-best1bin,0.06591994611994671,0.06541120245540846,0.0005087436645382498,current-to-best1bin
table2_Ackley_d200_min,SMCO_R_EVO,rand1bin,best1bin,0.06591994611994671,0.0651568614589241,0.0007630846610226089,best1bin
table2_Ackley_d200_min,SMCO_R_EVO,rand1bin,sobol,0.06591994611994671,0.06501298322343345,0.0009069628965132637,sobol
table2_Ackley_d200_min,SMCO_BR_EVO,rand1bin,current-to-best1bin,0.07466899776030296,0.07558116042138607,-0.000912162661083113,rand1bin
table2_Ackley_d200_min,SMCO_BR_EVO,rand1bin,best1bin,0.07466899776030296,0.0736960628783482,0.000972934881954754,best1bin
table2_Ackley_d200_min,SMCO_BR_EVO,rand1bin,sobol,0.07466899776030296,0.07514213755944858,-0.0004731397991456221,rand1bin
table2_Griewank_d200_max,SMCO_EVO,rand1bin,current-to-best1bin,16.23707511354587,16.453687608976907,-0.21661249543103622,rand1bin
table2_Griewank_d200_max,SMCO_EVO,rand1bin,best1bin,16.23707511354587,16.453687608976907,-0.21661249543103622,rand1bin
table2_Griewank_d200_max,SMCO_EVO,rand1bin,sobol,16.23707511354587,16.474215860325785,-0.23714074677991448,rand1bin
