label,name,dim,maximize,n_replications,best_opt,algo,time_avg,rMSE,AE50,AE95,AE99,fopt_mean,fopt_sd
table2_Rastrigin_d200_max,Rastrigin,200,True,10,8070.6580387676495,SMCO,28.575080767582403,1745.2334754009003,1753.4515125388161,1783.8889368592236,1785.341386905281,6325.85009861957,40.622047326856055
table2_Rastrigin_d200_max,Rastrigin,200,True,10,8070.6580387676495,SMCO_R,28.543819244304906,1743.091896526452,1751.2956247291677,1781.6787314547214,1783.1226093221812,6327.991679453409,40.59720639862787
table2_Rastrigin_d200_max,Rastrigin,200,True,10,8070.6580387676495,SMCO_BR,57.11711520629469,1743.0842048485326,1751.293685306805,1781.6541375160225,1783.0999965439505,6327.999347834866,40.5960056721181
table2_Rastrigin_d200_max,Rastrigin,200,True,10,8070.6580387676495,GenSA,11.07006598849548,1.087253918688505e-09,3.751665644813329e-10,2.1593223209492844e-09,2.7761780074797575e-09,8070.658038766926,8.559944046884101e-10
table2_Rastrigin_d200_max,Rastrigin,200,True,10,8070.6580387676495,SA,711.0038255894033,2354.907689038722,2347.7714556806045,2451.5129338252113,2491.1276877277182,5716.6213946141615,67.50886259742481
table2_Rastrigin_d200_max,Rastrigin,200,True,10,8070.6580387676495,DEoptim,150.34203860490234,3623.389431926098,3624.635841820161,3676.9308490587982,3685.8217135502455,4447.4736154085695,40.62853023112501
table2_Rastrigin_d200_max,Rastrigin,200,True,10,8070.6580387676495,GA,0.8909358942939434,3887.0443983241007,3897.128778637428,3939.2628629055353,3944.7076365593402,4183.8832495541055,48.25732502575853
table2_Rastrigin_d200_max,Rastrigin,200,True,10,8070.6580387676495,PSO,0.26630167349940165,2173.807809875729,2188.5723936320196,2194.2866818660464,2194.286681866047,5897.028499980615,29.345118639730604
