section,group,subgroup,n_cases,evo_wins,base_wins,ties,evo_win_rate,mean_rel_improvement_pct,median_rel_improvement_pct,mean_time_ratio,median_time_ratio
expA,overall,all,507,307,200,0,0.6055226824457594,0.1490026126360326,0.033452695538161464,1.0054795498666904,1.000519668835412
expA,dimension,50D,210,119,91,0,0.5666666666666667,0.07586179242970802,0.05997728612502537,1.0038666208840648,0.9991954879898564
expA,dimension,100D,140,81,59,0,0.5785714285714286,0.08903519534468521,0.03605281963649798,0.9982336202075173,0.9996768121867601
expA,dimension,200D,50,33,17,0,0.66,0.20736371790069902,0.020703683867348156,1.0020864773024885,1.0008361320468304
expA,dimension,500D,60,42,18,0,0.7,0.2675618329213298,0.04247248643235976,1.02840182721158,1.0058976063599705
expA,dimension,1000D,29,20,9,0,0.6896551724137931,0.2599519223441716,0.0031376728832954214,1.0020962296938094,1.0083568451381637
expA,dimension,2000D,12,7,5,0,0.5833333333333334,0.280808782066944,0.004939898034817275,1.0171152301358786,1.0120101873314216
expA,dimension,5000D,6,5,1,0,0.8333333333333334,1.636368974145812,1.2764499625600871,1.0231379411892914,1.0233031456913944
expA,function,Ackley,88,88,0,0,1.0,0.6341666281672197,0.6243566930712555,1.0077272065234164,1.0028722495479432
expA,function,DixonPrice,50,21,29,0,0.42,-0.04384441773956524,-0.054389063528238565,0.9989040846094359,1.0009665388674296
expA,function,Griewank,60,29,31,0,0.48333333333333334,-0.006602647014057607,-0.0026950209175405715,1.0018849757470774,1.001261431396511
expA,function,Qing,50,20,30,0,0.4,-0.0467754523060799,-0.03410551738380001,1.0071501910145213,0.9976628970622583
expA,function,Rastrigin,88,46,42,0,0.5227272727272727,0.002091577457657568,3.2272397489162575e-05,1.007205101133677,1.0016652286266177
expA,function,Rosenbrock,88,43,45,0,0.48863636363636365,0.07318742360446108,-0.0001284826251386994,1.0203564427267344,1.002128244827712
expA,function,Zakharov,83,60,23,0,0.7228915662650602,0.21735254888448752,0.09298498969451557,0.991047101477261,0.995987463757798
expB,overall,all_pairs,579,382,197,0,0.6597582037996546,0.5592097715343107,0.029464802348003936,1.0087831526367645,1.0066738103637425
expB,pair,SMCO_vs_SMCO_EVO,193,126,67,0,0.6528497409326425,0.787118750006127,0.013688297502425029,1.008930718784138,1.005127300849213
expB,pair_dimension,SMCO_vs_SMCO_EVO:100D,60,37,23,0,0.6166666666666667,0.661312693846865,0.04293322018712795,1.0092037426061886,1.0018688226620414
expB,pair_dimension,SMCO_vs_SMCO_EVO:200D,40,28,12,0,0.7,0.7916233934237336,0.011361876421311059,0.9964377719394845,1.0016186513468068
expB,pair_dimension,SMCO_vs_SMCO_EVO:500D,55,36,19,0,0.6545454545454545,0.9238437422916446,0.015471560719770709,1.0196501205198458,1.0212169752060065
expB,pair_dimension,SMCO_vs_SMCO_EVO:1000D,20,13,7,0,0.65,0.8653759816224296,0.003998291262823304,1.003059082979862,1.0008419043440302
expB,pair_dimension,SMCO_vs_SMCO_EVO:2000D,12,8,4,0,0.6666666666666666,0.7517012350272338,0.00584340267399759,1.0160263183605263,1.016009156863424
expB,pair_dimension,SMCO_vs_SMCO_EVO:5000D,6,4,2,0,0.6666666666666666,0.5718135174342337,0.015529497091468464,0.9966065304788169,1.0116421985305726
expB,pair,SMCO_R_vs_SMCO_R_EVO,193,126,67,0,0.6528497409326425,0.24967124194371804,0.02890418735631883,1.0134549561103758,1.0071637583383797
expB,pair_dimension,SMCO_R_vs_SMCO_R_EVO:100D,60,36,24,0,0.6,0.11885905897958285,0.0725385939187546,1.018931819089988,1.0066322957451987
expB,pair_dimension,SMCO_R_vs_SMCO_R_EVO:200D,40,26,14,0,0.65,0.19903530548952184,0.007226639554704107,1.0064498746979842,1.0105405922999706
expB,pair_dimension,SMCO_R_vs_SMCO_R_EVO:500D,55,39,16,0,0.7090909090909091,0.2758990100661092,0.04241494695029252,1.0088547064834148,1.0026147853991614
expB,pair_dimension,SMCO_R_vs_SMCO_R_EVO:1000D,20,13,7,0,0.65,0.23656145767337647,0.006826704051599965,1.032534682601272,1.0349372229116032
expB,pair_dimension,SMCO_R_vs_SMCO_R_EVO:2000D,12,7,5,0,0.5833333333333334,0.280808782066944,0.004939898034817275,1.0022116144181556,1.0150069336711087
expB,pair_dimension,SMCO_R_vs_SMCO_R_EVO:5000D,6,5,1,0,0.8333333333333334,1.636368974145812,1.2764499625600871,1.0064434190587985,1.0135126711663762
expB,pair,SMCO_BR_vs_SMCO_BR_EVO,193,130,63,0,0.6735751295336787,0.6408393226530872,0.07359905312626736,1.0039637830157795,1.0060075348591386
