label,name,dim,maximize,repetitions,iter_max,n_starts,seed,best_opt,algo,time_avg,rMSE,AE50,AE95,AE99,fopt_mean,fopt_sd
SixHumpCamel_2d,SixHumpCamel,2,False,20,300,10,20261828,-1.0316284534898774,SMCO,0.07965802774124313,5.469641006410153e-07,4.2683516932040533e-07,1.0166197375038877e-06,1.035899954926478e-06,-1.031628036241906,3.6284527327182616e-07
SixHumpCamel_2d,SixHumpCamel,2,False,20,300,10,20261828,-1.0316284534898774,SMCO_R,0.0856813529971987,3.117573885845688e-08,1.7686517916892797e-08,5.2556896923405844e-08,8.314521326546748e-08,-1.0316284307314691,2.1860359059302276e-08
SixHumpCamel_2d,SixHumpCamel,2,False,20,300,10,20261828,-1.0316284534898774,SMCO_BR,0.0828668166010175,4.6090084656014396e-08,4.1740109812948845e-08,7.458021128448068e-08,8.609778897605833e-08,-1.031628415803863,2.7223446064775586e-08
SixHumpCamel_2d,SixHumpCamel,2,False,20,300,10,20261828,-1.0316284534898774,SMCO_EVO,0.08421083734720014,8.865747547484861e-07,3.954833308617012e-07,1.742131901938393e-06,1.7822121121291445e-06,-1.0316278108522752,6.266298396350722e-07
SixHumpCamel_2d,SixHumpCamel,2,False,20,300,10,20261828,-1.0316284534898774,SMCO_R_EVO,0.08122831535001751,3.461112769843313e-08,8.552309749276787e-09,5.22558883386815e-08,1.1259138560371074e-07,-1.031628433881124,2.9261559929680704e-08
SixHumpCamel_2d,SixHumpCamel,2,False,20,300,10,20261828,-1.0316284534898774,SMCO_BR_EVO,0.08319185059517623,3.4486183508722235e-08,1.6556790605193328e-08,8.105135341773819e-08,9.625212436192852e-08,-1.0316284298869745,2.579677305656991e-08
SixHumpCamel_2d,SixHumpCamel,2,False,20,300,10,20261828,-1.0316284534898774,GD,0.0511380911921151,0.0017979376692080658,1.8389280117547813e-06,0.0010021362633835405,0.006609721482998425,-1.0311740666754217,0.0017847637276051434
SixHumpCamel_2d,SixHumpCamel,2,False,20,300,10,20261828,-1.0316284534898774,SignGD,0.023112429605680516,0.0009595639562125864,4.85773294922609e-08,0.0016498337983724583,0.0023333360023772365,-1.0310824995104675,0.000809611497752646
SixHumpCamel_2d,SixHumpCamel,2,False,20,300,10,20261828,-1.0316284534898774,ADAM,0.07919530899671372,5.335545066471941e-06,1.879385536085465e-11,1.2024297523338837e-06,1.932951064101071e-05,-1.0316272598226592,5.335403080351232e-06
SixHumpCamel_2d,SixHumpCamel,2,False,20,300,10,20261828,-1.0316284534898774,SPSA,0.03545104889781214,1.6461591825104313e-06,1.569384506128202e-06,2.302784693963833e-06,2.3090130887148953e-06,-1.0316268523346148,3.922162128623518e-07
SixHumpCamel_2d,SixHumpCamel,2,False,20,300,10,20261828,-1.0316284534898774,optimLBFGS,0.020199582749046385,1.0972078471196146e-12,1.2656542480726785e-14,1.578570607563281e-12,3.948719129454044e-12,-1.0316284534894677,1.0443409095394215e-12
SixHumpCamel_2d,SixHumpCamel,2,False,20,300,10,20261828,-1.0316284534898774,optimNM,0.022325071151135488,3.720803240219393e-13,2.9243274468626623e-13,5.874856157106479e-13,6.779377059729085e-13,-1.0316284534895392,1.5946373307379094e-13
SixHumpCamel_2d,SixHumpCamel,2,False,20,300,10,20261828,-1.0316284534898774,BOBYQA,0.40402762864832764,6.124286172742432e-09,2.5169095696497834e-09,1.3509407148504243e-08,1.8980877714014344e-08,-1.031628449642613,4.888809600133951e-09
SixHumpCamel_2d,SixHumpCamel,2,False,20,300,10,20261828,-1.0316284534898774,GenSA,0.03679447265458293,2.332715258157621e-12,4.75175454539567e-14,6.2009064549783955e-12,7.697416037899526e-12,-1.0316284534889353,2.1894896655127845e-12
SixHumpCamel_2d,SixHumpCamel,2,False,20,300,10,20261828,-1.0316284534898774,SA,0.6254904010507744,4.965068306494546e-17,0.0,1.1102230246251723e-17,1.7985612998927508e-16,-1.031628453489877,4.47001301444951e-16
SixHumpCamel_2d,SixHumpCamel,2,False,20,300,10,20261828,-1.0316284534898774,DEoptim,0.03681724120106082,1.3546466789520252e-09,4.936316910786331e-10,3.2622050172292917e-09,3.5745694981770265e-09,-1.031628452592017,1.0407053238240784e-09
SixHumpCamel_2d,SixHumpCamel,2,False,20,300,10,20261828,-1.0316284534898774,GA,0.30017763885261955,5.161359717642568e-07,1.195620991101265e-08,7.118617399548566e-07,1.8781835167480646e-06,-1.0316282651162731,4.930162020141455e-07
SixHumpCamel_2d,SixHumpCamel,2,False,20,300,10,20261828,-1.0316284534898774,PSO,0.03593518189736642,0.0,0.0,0.0,0.0,-1.0316284534898772,2.278129578503827e-16
