strategy,start_fraction,n_starts,algo,func,dim,rep,fopt,time,iterations,seed
rand1bin,3/4,24,SMCO_R_EVO,Rastrigin,1000,3,29403.34614085372,786.5099799819291,324,172460067
rand1bin,4/5,25,SMCO_EVO,Rastrigin,1000,3,29346.83070761987,807.7188809160143,325,172460067
rand1bin,2/3,21,SMCO_R_EVO,Rastrigin,1000,4,29702.73775223623,688.5122375979554,321,1626558576
rand1bin,4/5,25,SMCO_R_EVO,Rastrigin,1000,3,29377.077957708367,817.3296382769477,325,172460067
rand1bin,4/5,25,SMCO_BR_EVO,Rastrigin,1000,3,29364.112752514906,824.4191702341195,175,172460067
rand1bin,2/3,21,SMCO_BR_EVO,Rastrigin,1000,4,29695.823389970814,700.4625306138769,171,1626558576
rand1bin,1/2,16,SMCO_EVO,Ackley,1000,0,22.10485326311123,726.932732335059,316,1120682288
rand1bin,1/2,16,SMCO_R_EVO,Ackley,1000,0,22.14836757560361,728.1391482020263,316,1120682288
rand1bin,3/4,24,SMCO_R_EVO,Rastrigin,1000,4,29154.14521873718,798.9201630121097,324,1626558576
rand1bin,3/4,24,SMCO_BR_EVO,Rastrigin,1000,4,29134.988625771715,801.6120136049576,174,1626558576
rand1bin,3/4,24,SMCO_EVO,Rastrigin,1000,4,29124.29581960245,807.819684383925,324,1626558576
rand1bin,1/2,16,SMCO_BR_EVO,Ackley,1000,0,22.18247516944593,765.6364681581035,166,1120682288
rand1bin,4/5,25,SMCO_R_EVO,Rastrigin,1000,4,29133.88886109748,808.0920565179549,325,1626558576
rand1bin,4/5,25,SMCO_EVO,Rastrigin,1000,4,29105.14362463922,837.3478636480868,325,1626558576
rand1bin,1/2,16,SMCO_EVO,Ackley,1000,1,22.1125398874096,733.4845346279908,316,1434004311
rand1bin,4/5,25,SMCO_BR_EVO,Rastrigin,1000,4,29118.229634670508,825.2776208240539,175,1626558576
rand1bin,1/2,16,SMCO_R_EVO,Ackley,1000,1,22.166571589347168,737.0549766861368,316,1434004311
rand1bin,1/2,16,SMCO_BR_EVO,Ackley,1000,1,22.175191134191696,767.8322414711583,166,1434004311
rand1bin,2/3,21,SMCO_EVO,Ackley,1000,0,22.12095144190896,1001.1003105668351,321,1120682288
rand1bin,2/3,21,SMCO_BR_EVO,Ackley,1000,0,22.185793408871252,974.5117510741111,171,1120682288
rand1bin,2/3,21,SMCO_R_EVO,Ackley,1000,0,22.168846029567998,1008.2522973681334,321,1120682288
rand1bin,2/3,21,SMCO_EVO,Ackley,1000,1,22.112348415290306,939.3830977061298,321,1434004311
rand1bin,2/3,21,SMCO_BR_EVO,Ackley,1000,1,22.183151229300446,946.8521098911297,171,1434004311
rand1bin,2/3,21,SMCO_R_EVO,Ackley,1000,1,22.1731433002878,954.8737520410214,321,1434004311
rand1bin,3/4,24,SMCO_R_EVO,Ackley,1000,0,22.171321060710948,1073.9151690818835,324,1120682288
rand1bin,3/4,24,SMCO_EVO,Ackley,1000,0,22.089152701959534,1099.2656747479923,324,1120682288
rand1bin,1/2,16,SMCO_EVO,Ackley,1000,2,22.10128712930654,753.8833130600397,316,531629005
rand1bin,3/4,24,SMCO_R_EVO,Ackley,1000,1,22.166935662765056,1081.4716239019763,324,1434004311
rand1bin,3/4,24,SMCO_BR_EVO,Ackley,1000,0,22.198950016226714,1161.651534209028,174,1120682288
rand1bin,1/2,16,SMCO_R_EVO,Ackley,1000,2,22.126222850094095,709.1325002380181,316,531629005
rand1bin,3/4,24,SMCO_EVO,Ackley,1000,1,22.111667884812572,1124.5546427289955,324,1434004311
rand1bin,4/5,25,SMCO_R_EVO,Ackley,1000,0,22.16561890789138,1168.7002357770689,325,1120682288
rand1bin,4/5,25,SMCO_EVO,Ackley,1000,0,22.102691450917263,1182.2796406310517,325,1120682288
rand1bin,4/5,25,SMCO_BR_EVO,Ackley,1000,0,22.20326721839554,1210.636495718034,175,1120682288
rand1bin,1/2,16,SMCO_BR_EVO,Ackley,1000,2,22.169886729075113,778.9100489879493,166,531629005
rand1bin,4/5,25,SMCO_EVO,Ackley,1000,1,22.103011178597413,1100.1415229109116,325,1434004311
rand1bin,3/4,24,SMCO_BR_EVO,Ackley,1000,1,22.175507932658746,1134.1406343118288,174,1434004311
rand1bin,4/5,25,SMCO_R_EVO,Ackley,1000,1,22.156190398042746,1150.5001802879851,325,1434004311
rand1bin,1/2,16,SMCO_EVO,Ackley,1000,3,22.084048837152984,774.2077186361421,316,1600534947
rand1bin,1/2,16,SMCO_BR_EVO,Ackley,1000,3,22.16752312917608,773.7501461219508,166,1600534947
rand1bin,1/2,16,SMCO_R_EVO,Ackley,1000,3,22.15427125765207,779.2800808469765,316,1600534947
rand1bin,2/3,21,SMCO_EVO,Ackley,1000,2,22.092956998153472,991.3851183690131,321,531629005
rand1bin,1/2,16,SMCO_EVO,Rosenbrock,1000,0,489832329.3839272,323.0226702580694,316,1738798582
rand1bin,2/3,21,SMCO_BR_EVO,Ackley,1000,2,22.184659860673335,946.9490778311156,171,531629005
rand1bin,2/3,21,SMCO_R_EVO,Ackley,1000,2,22.14676658786176,1005.5907222230453,321,531629005
rand1bin,4/5,25,SMCO_BR_EVO,Ackley,1000,1,22.180106560059492,1165.052942720009,175,1434004311
rand1bin,1/2,16,SMCO_R_EVO,Rosenbrock,1000,0,463647521.12503743,331.55441730003804,316,1738798582
rand1bin,1/2,16,SMCO_BR_EVO,Rosenbrock,1000,0,407469115.6143533,340.2234966009855,166,1738798582
rand1bin,3/4,24,SMCO_R_EVO,Ackley,1000,2,22.16147345136226,1060.1399816768244,324,531629005
rand1bin,2/3,21,SMCO_R_EVO,Ackley,1000,3,22.151104243343802,926.6221193461679,321,1600534947
rand1bin,3/4,24,SMCO_BR_EVO,Ackley,1000,2,22.174081683322125,1085.6283830769826,174,531629005
rand1bin,1/2,16,SMCO_BR_EVO,Ackley,1000,4,22.1884157323378,716.1000501848757,166,961780609
rand1bin,1/2,16,SMCO_R_EVO,Ackley,1000,4,22.140975602877244,728.1358683900908,316,961780609
rand1bin,3/4,24,SMCO_EVO,Ackley,1000,2,22.10056858867856,1149.6040572619531,324,531629005
