label,name,dim,maximize,n_replications,best_opt,algo,time_avg,rMSE,AE50,AE95,AE99,fopt_mean,fopt_sd
table3_MaximumScore_d10,MaximumScore,10,True,50,0.47,SMCO,0.14355144327972083,0.0455850852801659,0.03799999999999998,0.07439999999999994,0.08407999999999995,0.4294,0.02093819866333554
table3_MaximumScore_d10,MaximumScore,10,True,50,0.47,SMCO_R,0.15058922441210598,0.046474078796679745,0.035999999999999976,0.08109999999999995,0.09301999999999996,0.4292,0.022479015157452507
table3_MaximumScore_d10,MaximumScore,10,True,50,0.47,SMCO_BR,0.1612690705957357,0.0483859483734689,0.04099999999999998,0.07819999999999995,0.09007999999999995,0.42668000000000006,0.021772890839532637
table3_MaximumScore_d10,MaximumScore,10,True,50,0.47,GD,0.0012300103006418794,0.1868822088910552,0.184,0.22659999999999994,0.24011999999999994,0.28488,0.025863566684288786
table3_MaximumScore_d10,MaximumScore,10,True,50,0.47,SignGD,0.0010684873780701309,0.1868822088910552,0.184,0.22659999999999994,0.24011999999999994,0.28488,0.025863566684288786
table3_MaximumScore_d10,MaximumScore,10,True,50,0.47,ADAM,0.0010996772791258991,0.1868822088910552,0.184,0.22659999999999994,0.24011999999999994,0.28488,0.025863566684288786
table3_MaximumScore_d10,MaximumScore,10,True,50,0.47,SPSA,0.0007585928775370121,0.1868822088910552,0.184,0.22659999999999994,0.24011999999999994,0.28488,0.025863566684288786
table3_MaximumScore_d10,MaximumScore,10,True,50,0.47,optimLBFGS,0.0024557899811770765,0.1868822088910552,0.184,0.22659999999999994,0.24011999999999994,0.28488,0.025863566684288786
table3_MaximumScore_d10,MaximumScore,10,True,50,0.47,BOBYQA,0.07954066606122069,0.18615155116194973,0.183,0.22569999999999993,0.24011999999999994,0.28564,0.026025701582419302
table3_MaximumScore_d10,MaximumScore,10,True,50,0.47,SMCO_EVO,0.14422262242645956,0.04569814000591269,0.03799999999999998,0.07419999999999995,0.08407999999999995,0.4293600000000001,0.02110978107756822
table3_MaximumScore_d10,MaximumScore,10,True,50,0.47,SMCO_R_EVO,0.14896109999739565,0.04585455266383042,0.03699999999999998,0.08109999999999995,0.08905999999999996,0.42971999999999994,0.022135058534517832
table3_MaximumScore_d10,MaximumScore,10,True,50,0.47,SMCO_BR_EVO,0.1632081660546828,0.050145388621487395,0.04299999999999998,0.07799999999999996,0.09509999999999995,0.42495999999999995,0.022268271562187913
table3_MaximumScore_d10,MaximumScore,10,True,50,0.47,GenSA,0.2788151303026825,0.08996088038697707,0.08399999999999996,0.122,0.14411999999999994,0.3836,0.025314350209527645
table3_MaximumScore_d10,MaximumScore,10,True,50,0.47,SA,0.26473967525875197,0.1967211224042807,0.19399999999999995,0.23729999999999996,0.26211999999999996,0.27544,0.02937454124696057
table3_MaximumScore_d10,MaximumScore,10,True,50,0.47,DEoptim,1.7587193065637257,0.07595051020236794,0.06999999999999995,0.10799999999999998,0.12623999999999994,0.39872,0.026489150647780617
table3_MaximumScore_d10,MaximumScore,10,True,50,0.47,GA,0.4619303646800108,0.07831934626897748,0.07199999999999995,0.11619999999999998,0.1363199999999999,0.3956,0.024713872828921037
table3_MaximumScore_d10,MaximumScore,10,True,50,0.47,PSO,0.16880130337551236,0.09988713630893617,0.09699999999999998,0.13309999999999994,0.1513399999999999,0.3728,0.02324668069349485
