label,name,dim,maximize,n_replications,best_opt,algo,time_avg,rMSE,AE50,AE95,AE99,fopt_mean,fopt_sd
table1_Michalewicz_d2_min,Michalewicz,2,False,500,1.8013034100985532,SMCO,0.027936039550229906,6.010650078762048e-05,3.7069762188091104e-05,0.0001138960680650447,0.00012304174875528594,1.8012572229949253,3.850334935083644e-05
table1_Michalewicz_d2_min,Michalewicz,2,False,500,1.8013034100985532,SMCO_R,0.027920947530306876,7.280321774264952e-06,3.6688573575860417e-06,1.4788187954184458e-05,1.6112303515056767e-05,1.8012980751922933,4.958935613607345e-06
table1_Michalewicz_d2_min,Michalewicz,2,False,500,1.8013034100985532,SMCO_BR,0.055314291223417966,6.411983259148548e-06,2.3992042494924704e-06,1.4385429942143091e-05,1.5878850301986878e-05,1.80129903620379,4.693253367211181e-06
table1_Michalewicz_d2_min,Michalewicz,2,False,500,1.8013034100985532,GD,0.0010276983673684298,1.6642987878352133,1.8004503027122647,1.8013034100985532,1.8013034100985532,0.15772223406736527,0.26204715302119025
table1_Michalewicz_d2_min,Michalewicz,2,False,500,1.8013034100985532,SignGD,0.0030393240939592943,1.533863407733126,1.675690935267442,1.8013034093080273,1.8013034100985532,0.3169150579431585,0.38681704774340014
table1_Michalewicz_d2_min,Michalewicz,2,False,500,1.8013034100985532,ADAM,0.011585977925220505,1.6125821337913109,1.7816609275745054,1.8013034100985506,1.8013034100985532,0.22383566490667262,0.3350240787897469
table1_Michalewicz_d2_min,Michalewicz,2,False,500,1.8013034100985532,SPSA,0.003021683114231564,1.5909719086414873,1.7851564025706983,1.8013034100985506,1.8013034100985532,0.25450576272309366,0.3726746905950296
table1_Michalewicz_d2_min,Michalewicz,2,False,500,1.8013034100985532,optimLBFGS,0.0015577023528749122,1.2311021105042874,1.000000000000003,1.8013034100985506,1.8013034100985532,0.6887298517148377,0.5275880798857974
table1_Michalewicz_d2_min,Michalewicz,2,False,500,1.8013034100985532,BOBYQA,0.03635451166750863,0.9148500974796256,0.8013034534263647,1.3885473395354353,1.3885474137397853,0.9932657854565367,0.4294120252114049
table1_Michalewicz_d2_min,Michalewicz,2,False,500,1.8013034100985532,SMCO_EVO,0.03836370024771895,3.201366409046092e-06,1.2311486786709125e-06,7.258536004561827e-06,1.222681561181993e-05,-1.8013013442351034,2.44805037061589e-06
table1_Michalewicz_d2_min,Michalewicz,2,False,500,1.8013034100985532,SMCO_R_EVO,0.03830891266628168,6.486417148274454e-06,2.6619263465699206e-06,1.4130626731900791e-05,1.5900450320478488e-05,-1.801298865908686,4.633238699175638e-06
table1_Michalewicz_d2_min,Michalewicz,2,False,500,1.8013034100985532,SMCO_BR_EVO,0.03922377356456127,7.561488741901706e-06,2.965605486848766e-06,1.607998987422919e-05,1.921880562184119e-05,-1.8012981806495463,5.4670629219201795e-06
